protocol,representation,repeat,fold,train_rows,test_rows,train_compounds,test_compounds,mae,rmse,r2,spearman
band_room_only,Morgan,0,0,328,129,77,20,15.80106188420732,19.79736735084448,-1.2465833595490716,-0.2692634868251015
band_room_only,Physical,0,0,328,129,77,20,18.707810244005778,22.068834615700332,-1.7916852659006017,0.5341175799905006
band_room_only,Morgan+Physical,0,0,328,129,77,20,8.309259865930837,9.80603209563924,0.44881895349169376,0.5057784148328935
band_room_only,Morgan,0,1,321,136,77,20,13.270327840625537,17.482831436499804,-0.31308848270569967,-0.022933490707184263
band_room_only,Physical,0,1,321,136,77,20,3.428869516310972,5.53189024207353,0.8685327553259132,0.8481192909406743
band_room_only,Morgan+Physical,0,1,321,136,77,20,7.839173476376252,10.562870067864445,0.5206703138537356,0.36187862555591604
band_room_only,Morgan,0,2,385,72,78,19,6.268117459636264,8.857746930671421,0.02993889940388106,0.0495327547692496
band_room_only,Physical,0,2,385,72,78,19,8.945496932856242,12.393051971798998,-0.8989306106858601,0.22511629796957838
band_room_only,Morgan+Physical,0,2,385,72,78,19,5.9120675322002825,9.694086800105929,-0.1618936053547555,0.2204951900098126
band_room_only,Morgan,0,3,411,46,78,19,9.867929656318998,26.08893468095654,0.08617721016724211,0.5992786766114082
band_room_only,Physical,0,3,411,46,78,19,8.52724353242957,24.42468719819851,0.19904647897859884,0.7093651627132864
band_room_only,Morgan+Physical,0,3,411,46,78,19,8.169022655818775,24.957106263192273,0.16374688167566387,0.8192838059082257
band_room_only,Morgan,0,4,383,74,78,19,16.23708513894571,23.56896636951814,-0.15007120440533428,0.26297376646379506
band_room_only,Physical,0,4,383,74,78,19,8.52862388536711,12.198760840372474,0.6919117820505831,0.8885283237138828
band_room_only,Morgan+Physical,0,4,383,74,78,19,10.953391586412998,17.163096858912656,0.3901332403782234,0.8242179464778916
band_room_only,Morgan,1,0,355,102,77,20,7.422386764436608,9.0745583131983,0.20807070838327002,0.8218613040372529
band_room_only,Physical,1,0,355,102,77,20,7.04940995862624,11.172940600748136,-0.20052275194450497,0.45330834802895514
band_room_only,Morgan+Physical,1,0,355,102,77,20,5.323196221063651,8.653252333709396,0.2798977770127249,0.8844221581548171
band_room_only,Morgan,1,1,379,78,77,20,10.373795394035241,24.03312431702561,0.05557654826417158,0.40165403100884084
band_room_only,Physical,1,1,379,78,77,20,6.941951966878452,22.07595653208704,0.20313388925174014,0.9072576085729132
band_room_only,Morgan+Physical,1,1,379,78,77,20,8.330839296297905,22.788814896817318,0.1508395106870407,0.8926405144919384
band_room_only,Morgan,1,2,365,92,78,19,14.909710118003515,17.71454997500406,-0.09923459961854486,0.8444538729664535
band_room_only,Physical,1,2,365,92,78,19,5.952657193681468,7.184900104319601,0.8191695301957583,0.9033169763385194
