cohort,inchikey,compound_name,alpha_1e5,alpha_kind,nbs_tabulated_T_K,nbs_tabulated_epsilon,nbs_slope_at_tabulated_epsilon,nbs_slope_at_observed_mean_epsilon,empirical_slope,n_points,n_distinct_temperatures,temperature_span_K,mean_temperature_K,empirical_mean_epsilon,empirical_r2,signed_deviation_at_observed,absolute_deviation_at_observed,symmetric_relative_deviation_at_observed,signed_deviation_at_tabulated,symmetric_relative_deviation_at_tabulated,same_sign
v11_all_bands,LCGLNKUTAGEVQW-UHFFFAOYSA-N,Methyl ether,2380.0,a,298.15,5.02,-0.0238,-0.0238,-0.022330158539858334,145,10,89.30000000000001,348.0075862068965,4.459655172413793,0.8982364524147843,0.0014698414601416673,0.0014698414601416673,0.06372583605459169,0.0014698414601416673,0.06372583605459169,True
lowfreq_primary_gate,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Aniline,148.0,alpha,293.15,6.89,-0.023479920710278886,-0.023805936058312275,-0.0261000000000003,3,3,10.0,298.15,6.985666666666667,0.9998776836213477,-0.002294063941688025,0.002294063941688025,0.09193551400408669,-0.0026200792897214144,0.10569114480968522,True
lowfreq_primary_gate,VLKZOEOYAKHREP-UHFFFAOYSA-N,n-Hexane,155.0,a,293.15,1.89,-0.0015500000000000002,-0.0015500000000000002,-0.0015000000000000178,3,3,20.0,298.15,1.8933333333333333,0.9642857142857143,4.999999999998235e-05,4.999999999998235e-05,0.03278688524588987,4.999999999998235e-05,0.03278688524588987,True
lowfreq_primary_gate,WEVYAHXRMPXWCK-UHFFFAOYSA-N,Acetonitrile,16000.0,a,293.15,37.5,-0.16,-0.16,-0.15213333333333284,10,10,45.0,310.65,34.249,0.9818331242582187,0.00786666666666716,0.00786666666666716,0.050405809483130115,0.00786666666666716,0.050405809483130115,True
lowfreq_primary_gate,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,2-Butanone,207.0,alpha,293.15,18.51,-0.08822515964763199,-0.0839223361537422,-0.10250569465756097,4,4,20.05000000000001,305.6875,17.60725,0.9995747397575812,-0.018583358503818773,0.018583358503818773,0.19936227854735308,-0.014280535009928985,0.14974541022165572,True
lowfreq_extended_gate,LQNUZADURLCDLV-UHFFFAOYSA-N,Nitrobenzene,225.0,alpha,298.15,34.82,-0.18039602911061856,-0.17647933186743567,-0.16300000000000017,5,5,20.0,303.15,34.064,0.974777374040963,0.013479331867435496,0.013479331867435496,0.07941179684363862,0.017396029110618383,0.10131759039656554,True
lowfreq_extended_gate,VFWCMGCRMGJXDK-UHFFFAOYSA-N,1-Chlorobutane,173.0,alpha,293.15,7.39,-0.02943785963840098,-0.028503071492914547,-0.026499999999999933,3,3,30.0,298.15,7.155333333333334,0.9999868150414007,0.002003071492914614,0.002003071492914614,0.07283489589022862,0.0029378596384010483,0.1050401162072433,True
lowfreq_extended_gate,VLKZOEOYAKHREP-UHFFFAOYSA-N,n-Hexane,155.0,a,293.15,1.89,-0.0015500000000000002,-0.0015500000000000002,-0.0010666666666666747,2,2,30.0,298.15,1.889,1.0,0.0004833333333333254,0.0004833333333333254,0.36942675159234944,0.0004833333333333254,0.36942675159234944,True
