protocol,representation,repeat,fold,test_rows,mae,r2,spearman
lever_3_target_transform_and_robust_loss,Morgan+Physical,3,3,91,0.46599581131009793,0.7236366198396147,0.9291694906559825
lever_3_target_transform_and_robust_loss,Physical,3,3,91,0.4206872682822741,0.8031634343715,0.9723993267974603
lever_3_target_transform_and_robust_loss,Morgan,3,4,55,0.6694974392073952,0.03261650609872846,0.6690995706010534
lever_3_target_transform_and_robust_loss,Morgan+Physical,3,4,55,0.45527697965893754,0.47505260094833746,0.9238853289646516
lever_3_target_transform_and_robust_loss,Physical,3,4,55,0.15060577732880862,0.9661329634497526,0.9246103429558347
lever_3_target_transform_and_robust_loss,Morgan,4,0,59,0.5548568245767993,0.17435214567572876,0.24802361625646113
lever_3_target_transform_and_robust_loss,Morgan+Physical,4,0,59,0.44494747781688404,0.38611807211659976,0.5829280419136039
lever_3_target_transform_and_robust_loss,Physical,4,0,59,0.33433562190148464,0.5368077725581113,0.6236712726797288
lever_3_target_transform_and_robust_loss,Morgan,4,1,117,0.5346866100775608,0.181080319356974,0.5663073602493633
lever_3_target_transform_and_robust_loss,Morgan+Physical,4,1,117,0.4330039553048396,0.5022043985315142,0.7994874601232904
lever_3_target_transform_and_robust_loss,Physical,4,1,117,0.32191669490975616,0.8508956929425836,0.9300519962647865
lever_3_target_transform_and_robust_loss,Morgan,4,2,111,0.5871633044381948,0.507032450649612,0.5758506567279897
lever_3_target_transform_and_robust_loss,Morgan+Physical,4,2,111,0.41320445084247476,0.667985322576633,0.6776845272149793
lever_3_target_transform_and_robust_loss,Physical,4,2,111,0.49233089661746715,0.6375643374132356,0.7235203494973194
lever_3_target_transform_and_robust_loss,Morgan,4,3,73,0.4519244055848228,0.5576322169506005,0.8628030197231964
lever_3_target_transform_and_robust_loss,Morgan+Physical,4,3,73,0.42417363118009216,0.6339865086186265,0.8799387784993702
lever_3_target_transform_and_robust_loss,Physical,4,3,73,0.8573293490205578,-0.21844103943271653,0.7778477265141717
lever_3_target_transform_and_robust_loss,Morgan,4,4,97,0.5886223692556111,0.1799247712735007,0.572813528826091
lever_3_target_transform_and_robust_loss,Morgan+Physical,4,4,97,0.5378307137858922,0.3640101127921014,0.7256489173510872
lever_3_target_transform_and_robust_loss,Physical,4,4,97,0.48967582586631364,0.5329159871931238,0.7944152679765775
lever_3_target_transform_and_robust_loss,Morgan,5,0,63,0.29126893689285116,0.587060586796939,0.8346091990884382
lever_3_target_transform_and_robust_loss,Morgan+Physical,5,0,63,0.28614453809895213,0.5085527121661139,0.7511875288240156
lever_3_target_transform_and_robust_loss,Physical,5,0,63,0.34046571275163723,0.2319513016592073,0.49850956266450636
lever_3_target_transform_and_robust_loss,Morgan,5,1,81,0.5243039968483231,0.7269829719357142,0.839302144529172
lever_3_target_transform_and_robust_loss,Morgan+Physical,5,1,81,0.40697780160533775,0.8222270164882161,0.8630266297643828
lever_3_target_transform_and_robust_loss,Physical,5,1,81,0.386267671746149,0.8358898564460704,0.8358582938717468
lever_3_target_transform_and_robust_loss,Morgan,5,2,111,0.8290713870750372,0.2491217928188043,0.4639424335707398
lever_3_target_transform_and_robust_loss,Morgan+Physical,5,2,111,0.593710030221813,0.5936961675973536,0.837697894447157
lever_3_target_transform_and_robust_loss,Physical,5,2,111,0.31947486731444064,0.8810909669013207,0.9465762134225651
lever_3_target_transform_and_robust_loss,Morgan,5,3,128,0.39213777979548425,0.2965129926094322,0.6070403716959029
lever_3_target_transform_and_robust_loss,Morgan+Physical,5,3,128,0.2734946326248503,0.6651807982495022,0.914253467149028
lever_3_target_transform_and_robust_loss,Physical,5,3,128,0.5471761498763199,-0.07900835891586078,0.8967800177189635
lever_3_target_transform_and_robust_loss,Morgan,5,4,74,0.6579033827447428,0.38155741957892475,0.558599021406206
lever_3_target_transform_and_robust_loss,Morgan+Physical,5,4,74,0.5140656713898304,0.6121672164270787,0.8172783859722594
lever_3_target_transform_and_robust_loss,Physical,5,4,74,0.3162388977459126,0.8335806403089707,0.8147723977432638
lever_3_target_transform_and_robust_loss,Morgan,6,0,43,0.4739144337043701,0.49020856523866463,0.41950577988769333
lever_3_target_transform_and_robust_loss,Morgan+Physical,6,0,43,0.45720803432537843,0.4083281263956712,0.4808657747486282
lever_3_target_transform_and_robust_loss,Physical,6,0,43,0.5133695867002123,0.007519109855988693,0.39736847759189875
lever_3_target_transform_and_robust_loss,Morgan,6,1,60,0.5576143424768689,0.6197791135802453,0.7039082645001858
lever_3_target_transform_and_robust_loss,Morgan+Physical,6,1,60,0.43614384870597717,0.770510072374718,0.854100987949711
lever_3_target_transform_and_robust_loss,Physical,6,1,60,0.3234316442730974,0.854754499787441,0.8764915841319004
lever_3_target_transform_and_robust_loss,Morgan,6,2,126,1.2146436467575417,-2.133017691085924,-0.5561914927843193
lever_3_target_transform_and_robust_loss,Morgan+Physical,6,2,126,1.0054801516203529,-1.1077836245562933,-0.3492234890730816
lever_3_target_transform_and_robust_loss,Physical,6,2,126,0.6678216053906337,0.12208318257313167,0.7619316221065184
lever_3_target_transform_and_robust_loss,Morgan,6,3,124,0.3905828916424724,0.5146087217935428,0.7510114223510138
lever_3_target_transform_and_robust_loss,Morgan+Physical,6,3,124,0.2767742410923304,0.7112366922806457,0.8879635708947776
lever_3_target_transform_and_robust_loss,Physical,6,3,124,0.672243669284781,-0.17551097358580425,0.8612815630352005
lever_3_target_transform_and_robust_loss,Morgan,6,4,104,0.7315209173807383,0.049729637577789254,0.3518782081554831
lever_3_target_transform_and_robust_loss,Morgan+Physical,6,4,104,0.5709183022888802,0.4341488088021518,0.7235499305676117
lever_3_target_transform_and_robust_loss,Physical,6,4,104,0.44041302309848895,0.6942665806331046,0.8143470908755218
lever_3_target_transform_and_robust_loss,Morgan,7,0,114,0.5224192135672143,0.27035135046461334,0.6556917764408613
lever_3_target_transform_and_robust_loss,Morgan+Physical,7,0,114,0.3591965876902265,0.6389542440666361,0.8618128639379777
lever_3_target_transform_and_robust_loss,Physical,7,0,114,0.2646830618502245,0.824602023669693,0.9184179914912398
lever_3_target_transform_and_robust_loss,Morgan,7,1,77,0.8034716612069068,0.393825625558883,0.44998557876648404
lever_3_target_transform_and_robust_loss,Morgan+Physical,7,1,77,0.5922414840662626,0.6446176728878077,0.5464062539699621
lever_3_target_transform_and_robust_loss,Physical,7,1,77,0.39004126369502434,0.7653668053929638,0.6823297071086566
lever_3_target_transform_and_robust_loss,Morgan,7,2,80,0.5949103005929356,0.4414402562791455,0.7833758192716019
lever_3_target_transform_and_robust_loss,Morgan+Physical,7,2,80,0.48503327319604866,0.6308259898186241,0.8695473714092103
lever_3_target_transform_and_robust_loss,Physical,7,2,80,0.38836654408775023,0.7621028745736392,0.8760008727885414
lever_3_target_transform_and_robust_loss,Morgan,7,3,78,0.5877466211810912,-0.15873692119537153,0.4581053572026697
lever_3_target_transform_and_robust_loss,Morgan+Physical,7,3,78,0.5443441974945278,0.2204873612254149,0.6241756848031965
lever_3_target_transform_and_robust_loss,Physical,7,3,78,0.7230855333875169,0.16125300606117277,0.7085389233133914
lever_3_target_transform_and_robust_loss,Morgan,7,4,108,0.6304728288047997,-0.5223834902921871,0.15624230228156136
lever_3_target_transform_and_robust_loss,Morgan+Physical,7,4,108,0.38072538920931576,0.44253733115941973,0.7865558919526877
lever_3_target_transform_and_robust_loss,Physical,7,4,108,0.2519942464209024,0.6280348715977683,0.8141095914138831
lever_3_target_transform_and_robust_loss,Morgan,8,0,136,0.5457949215562209,0.11571873084314899,0.3933870376209753
lever_3_target_transform_and_robust_loss,Morgan+Physical,8,0,136,0.4601221355812632,0.49334525265334617,0.6455107776744059
lever_3_target_transform_and_robust_loss,Physical,8,0,136,0.4853398650191276,0.355807318239335,0.825889526961053
lever_3_target_transform_and_robust_loss,Morgan,8,1,82,0.6846735786351416,0.39480077039805783,0.8685957368623534
lever_3_target_transform_and_robust_loss,Morgan+Physical,8,1,82,0.509841220917609,0.6612109425143823,0.8764612461847227
lever_3_target_transform_and_robust_loss,Physical,8,1,82,0.26926752397237574,0.9102433225043122,0.8952401452629806
lever_3_target_transform_and_robust_loss,Morgan,8,2,80,0.4817901587693513,0.6228113182717012,0.8606732263492608
lever_3_target_transform_and_robust_loss,Morgan+Physical,8,2,80,0.41118289865629964,0.7447019167855552,0.9195140528632877
lever_3_target_transform_and_robust_loss,Physical,8,2,80,0.3368139728528582,0.848760659257908,0.8788971252264901
lever_3_target_transform_and_robust_loss,Morgan,8,3,51,0.6288411006630196,0.011557156352336673,0.21708553212782775
lever_3_target_transform_and_robust_loss,Morgan+Physical,8,3,51,0.5404071364123547,0.13116683554805275,0.4749060697303413
lever_3_target_transform_and_robust_loss,Physical,8,3,51,0.5661048045762362,-0.2534295729405538,0.5105993295851279
