protocol,representation,repeat,r2,mae,rmse,spearman,mae_lt20,mae_20_60,mae_gt60
paired_base,Morgan,0,-0.10955067846774535,13.019420330315722,19.29801633754066,-0.024082866512766792,8.975032754701457,15.610682947193494,66.92909739274245
paired_base,Physical,0,0.2404842594351414,9.94984885091819,15.966417727729096,0.8131515335495735,5.7081447841004405,14.863240753543739,38.62106198237493
paired_base,Morgan+Physical,0,0.447193425246294,8.205726471275481,13.621523936390433,0.7274667773318803,6.590620488366021,7.425199110828746,52.775079064002405
paired_base,Morgan,1,0.1312278281744378,10.82084767119468,17.07623208564563,0.6903750201015879,6.630249428593489,13.4448939475782,67.4523302929218
paired_base,Physical,1,0.08357211616344884,9.87859218751853,17.538330324177956,0.8618857964214333,4.7104592574611095,15.160028085928253,53.76106636047363
paired_base,Morgan+Physical,1,0.4129203868816147,7.459565915250215,14.037429811406994,0.8647419254568515,4.5248847840328965,8.23449510414817,60.606698179978586
paired_base,Morgan,2,0.16586799903427585,10.219297826947434,16.73233263055218,0.6825982144686984,6.256650406746813,12.360265123864377,68.08999215346115
paired_base,Physical,2,0.441190855167954,7.479817159911642,13.695277936975549,0.7946631685961453,5.8299166824794755,7.028752950125028,48.61426545363206
paired_base,Morgan+Physical,2,0.4269432849639294,7.2815270939526044,13.868768568453676,0.8094551741940366,5.2217600641601996,6.745924561471651,58.28532856867863
paired_base,Morgan,3,0.13483978348900205,10.878001237707492,17.040697551591425,0.5631610111443214,6.846105137037052,13.328223651169287,66.30971768892728
paired_base,Physical,3,0.34818503250642197,8.206996570018042,14.791126879830848,0.7997476566778329,6.592283312135375,8.192524978868889,43.0449051460853
paired_base,Morgan+Physical,3,0.42315691979046577,8.404712812864608,13.914510783091092,0.7832827706135533,6.0732934935692136,8.701211041629675,54.677311454186075
paired_base,Morgan,4,0.10228847111567263,10.446928256421915,17.35831236979647,0.6229287783046534,5.687227205736167,13.854489476614289,69.34761993408202
paired_base,Physical,4,0.006028035832564171,10.631932307137088,18.265272907622993,0.8276503194750764,5.70389137886102,16.044972443366774,47.691301269531245
paired_base,Morgan+Physical,4,0.40477687156569253,7.922797434143801,14.134452709954113,0.8138933275295599,4.7782850211812775,9.253478318093041,58.51946030836838
paired_base,Morgan,5,0.1819019920720838,9.992052015241294,16.5707347536201,0.669731757150507,5.360427274860122,13.381867859534061,66.36925880432128
paired_base,Physical,5,0.35542228795722963,8.8587984744251,14.708782984224936,0.8460775353675989,4.906319789610558,12.78444790284128,43.859521349393404
paired_base,Morgan+Physical,5,0.44795602450286376,7.654803534821357,13.61212521587295,0.8461743348167768,4.916755691409641,8.545353395912862,55.1143897834191
paired_base,Morgan,6,-0.07369182949900233,12.563958212004147,18.98361520462125,0.1533333128633057,9.350563764867749,13.709805134721236,66.98490501990685
paired_base,Physical,6,0.40102862913623094,9.036051225689945,14.178886644848323,0.8449610225166484,5.6225041920627055,12.317479474986683,40.64712516784668
paired_base,Morgan+Physical,6,0.3699048728984914,9.162477515642763,14.542603339220948,0.7318860695652335,7.1516800717359965,9.044395681577742,53.81601516723633
paired_base,Morgan,7,0.11419280513887242,10.48661671082745,17.242836089364275,0.6366178391073837,5.52368649722301,14.242007690984552,69.3341565469595
paired_base,Physical,7,0.2908051173616335,8.37593072782362,15.428435692862209,0.8468664900928691,5.540231041290529,10.75646919472434,39.019881920447716
paired_base,Morgan+Physical,7,0.4686873069965476,7.630161535386768,13.354086767647564,0.8339374011534331,5.250267758554984,7.994520784690162,54.08178365854117
paired_base,Morgan,8,0.16145600051707287,10.361733294957533,16.776525675190435,0.6469044049348538,6.18529058954273,12.91185976187966,67.62762927715595
paired_base,Physical,8,0.5745864971299884,6.70808889658254,11.949362420519337,0.8654999441802018,4.64819712164438,7.1235217158462065,45.643734283447266
paired_base,Morgan+Physical,8,0.5097062933273586,6.546446323301453,12.828245347114217,0.8715869936927935,4.655020756736127,5.8107991417162355,56.47640924893892
paired_base,Morgan,9,-0.15979373447372613,12.06339841265121,19.730108666333848,0.30838053714777547,9.348350758694338,12.505457174682617,64.72175223717322
paired_base,Physical,9,-0.20964283539590012,13.286200063991922,20.14965788685321,0.5266832924065501,11.232999893240706,14.58737528889974,40.83611818166879
paired_base,Morgan+Physical,9,0.17993455717788576,10.138519827359154,16.59064817722101,0.4801400063470832,9.658116663311647,7.591290031941733,52.77893513606145
lever_3_target_transform_and_robust_loss,Morgan,0,-0.11613289226534884,12.90380131627442,19.355172735262986,-0.020860766985419006,7.983355899336629,16.746721807643272,69.72860056625765
lever_3_target_transform_and_robust_loss,Morgan,1,0.15311135984876967,9.959897154810756,16.85979352899356,0.7221479122872997,5.06608718682622,13.526868466274014,69.71549059144523
lever_3_target_transform_and_robust_loss,Morgan,2,0.11215689986329047,10.326540364371121,17.26263985334369,0.676026912237061,4.989964162933171,14.54994880054789,71.2528763822189
lever_3_target_transform_and_robust_loss,Morgan,3,0.18264790437136946,9.758240343527737,16.563178731328918,0.6918875863631051,4.872516461626967,13.25980219871052,70.17049087777042
lever_3_target_transform_and_robust_loss,Morgan,4,0.12130376957305777,9.777425660386541,17.173486764804036,0.6438462404332916,4.154498451890863,14.420881796992244,71.51792017041375
lever_3_target_transform_and_robust_loss,Morgan,5,0.1287460178065446,9.8773271981634,17.10060541836882,0.6691647593133557,4.1483024932458665,14.999050347751787,67.82452512046403
lever_3_target_transform_and_robust_loss,Morgan,6,-0.14771753533498466,12.837892673344985,19.627121303432762,0.16335881921302153,9.64523480541954,13.80229292625867,69.11677755184056
lever_3_target_transform_and_robust_loss,Morgan,7,0.05091398815218562,10.707296857255642,17.848095635485922,0.5391286939407001,4.941981518215624,15.700062241769677,71.07011925320555
lever_3_target_transform_and_robust_loss,Morgan,8,0.2041266526850376,9.535750499578851,16.344102550254792,0.704436130588044,5.148438769695293,12.221849940302086,69.60140933943877
lever_3_target_transform_and_robust_loss,Morgan,9,0.030910541754759602,11.59305432891953,18.03520290650294,0.3926679294480444,8.484382240265482,12.59374859872702,65.6088203455537
lever_3_target_transform_and_robust_loss,Morgan+Physical,0,0.3244528380436681,8.076793580003521,15.057987593371626,0.7231185953753538,5.177192886049877,8.386721444414261,66.3729855788724
lever_3_target_transform_and_robust_loss,Morgan+Physical,1,0.31605937780677373,7.038851672168451,15.151244187896774,0.8778584781526655,3.08335799267106,8.741369305472759,70.32095375559625
lever_3_target_transform_and_robust_loss,Morgan+Physical,2,0.2874372514565987,7.954441903568257,15.465026030096574,0.8445961424309701,3.5263241004088877,10.625983091515607,69.08063967819528
lever_3_target_transform_and_robust_loss,Morgan+Physical,3,0.36878525121646144,7.122502428339692,14.555518045848391,0.8722425131047455,3.319993124284768,8.800165065046905,67.43679171869613
lever_3_target_transform_and_robust_loss,Morgan+Physical,4,0.21702684827941243,8.307177631573463,16.211101807769428,0.7937398835092166,3.275384530498203,11.972882472280896,69.77094505336346
lever_3_target_transform_and_robust_loss,Morgan+Physical,5,0.37382594218899656,7.049514242595269,14.49728355926953,0.8706010809819472,3.55993115112747,8.395616506283076,64.85619185882815
lever_3_target_transform_and_robust_loss,Morgan+Physical,6,0.17923140094701573,9.946053568465457,16.597759388973284,0.5231568170278283,6.3844264648847115,11.583091336302713,65.60626358430244
lever_3_target_transform_and_robust_loss,Morgan+Physical,7,0.330328071326622,8.022374834576324,14.992364947000063,0.8574282013829169,3.723184433230989,10.705282584208543,66.23732431811727
lever_3_target_transform_and_robust_loss,Morgan+Physical,8,0.37935122457628934,7.161137615146943,14.433180719129357,0.8516508014925674,4.163585699876927,7.496902426421562,67.23158303822561
lever_3_target_transform_and_robust_loss,Morgan+Physical,9,0.26095850952602495,8.229390483276374,15.749744341034509,0.6939958363924307,5.80661180558834,7.6904109949680555,67.06684176372517
lever_3_target_transform_and_robust_loss,Physical,0,0.37933047508003026,7.6823000289974415,14.433421981771112,0.8355069043837015,4.79020374607879,8.212839093372823,63.01737059148713
lever_3_target_transform_and_robust_loss,Physical,1,0.3209562489925265,7.143548925099018,15.096906889417044,0.8590170246024721,3.434275190414145,8.390276731442365,70.92641691974723
lever_3_target_transform_and_robust_loss,Physical,2,0.3292659503883171,6.976525141119756,15.004249419956244,0.833402211825402,3.4589317813292375,8.172005378563725,67.29608731060439
lever_3_target_transform_and_robust_loss,Physical,3,0.4028854777265405,6.327996801977487,14.156891869058262,0.8678948799370979,3.571213383448638,6.39021697725126,64.70309255962184
lever_3_target_transform_and_robust_loss,Physical,4,0.09967414926748952,9.476956484670602,17.383569494547647,0.8031170425135162,4.029738746927856,14.074911478360738,68.02396993631321
lever_3_target_transform_and_robust_loss,Physical,5,0.32445126314998307,7.879067302172187,15.05800514559972,0.8721548867040853,3.326639080921548,11.321571465164107,61.88785859719227
lever_3_target_transform_and_robust_loss,Physical,6,0.19525160735792013,9.624334921145905,16.43497913417813,0.8290186215819347,4.836178722114422,13.586560305914052,62.09574961676435
lever_3_target_transform_and_robust_loss,Physical,7,0.43056335073299423,6.777949500770477,13.824893858046659,0.866172545321995,3.36789623090953,8.240127220902862,61.40452938302899
lever_3_target_transform_and_robust_loss,Physical,8,0.3817742421914603,6.889146683817723,14.404979543282577,0.8479678633488763,3.8331064528618994,7.489093918636774,64.86175673701244
lever_3_target_transform_and_robust_loss,Physical,9,0.006583799889727349,8.064553198388987,18.260165821151585,0.7845160660583338,5.275160158444316,7.566412019355484,74.25178032801138
dummy_control,Morgan,0,-0.15666157051351703,12.993808404452444,20.071564172444802,-0.05266733735929752,6.3748492242911325,22.990544420406845,76.45583752511153
dummy_control,Morgan,1,-0.14318511065590167,12.660502437889496,19.95429298821732,0.0571394623836288,5.8003914921088775,23.275985041808088,76.19844117844748
dummy_control,Morgan,2,-0.13168450045749736,12.733591207406409,19.853667712412687,-0.025640195334007524,6.1252621248942685,22.7977171269383,75.36057822893943
dummy_control,Morgan,3,-0.16642882697622952,12.789440073538715,20.15613168630481,0.007256654308241259,5.839907287943349,23.606780859557244,76.59783826712714
dummy_control,Morgan,4,-0.16572079014224217,13.026666947946152,20.150013246112056,-0.013940846177025694,6.346644569875787,23.196094810674538,76.36720508129797
