protocol,representation,repeat,r2,mae,rmse,spearman,mae_lt20,mae_20_60,mae_gt60
band_room_only,Morgan,0,-0.10955067846774535,13.019420330315722,19.29801633754066,-0.024082866512766792,8.975032754701457,15.610682947193494,66.92909739274245
band_room_only,Physical,0,0.2404842594351414,9.94984885091819,15.966417727729096,0.8131515335495735,5.7081447841004405,14.863240753543739,38.62106198237493
band_room_only,Morgan+Physical,0,0.447193425246294,8.205726471275481,13.621523936390433,0.7274667773318803,6.590620488366021,7.425199110828746,52.775079064002405
band_room_only,Morgan,1,0.1312278281744378,10.82084767119468,17.07623208564563,0.6903750201015879,6.630249428593489,13.4448939475782,67.4523302929218
band_room_only,Physical,1,0.08357211616344884,9.87859218751853,17.538330324177956,0.8618857964214333,4.7104592574611095,15.160028085928253,53.76106636047363
band_room_only,Morgan+Physical,1,0.4129203868816147,7.459565915250215,14.037429811406994,0.8647419254568515,4.5248847840328965,8.23449510414817,60.606698179978586
band_room_only,Morgan,2,0.16586799903427585,10.219297826947434,16.73233263055218,0.6825982144686984,6.256650406746813,12.360265123864377,68.08999215346115
band_room_only,Physical,2,0.441190855167954,7.479817159911642,13.695277936975549,0.7946631685961453,5.8299166824794755,7.028752950125028,48.61426545363206
band_room_only,Morgan+Physical,2,0.4269432849639294,7.2815270939526044,13.868768568453676,0.8094551741940366,5.2217600641601996,6.745924561471651,58.28532856867863
band_room_only,Morgan,3,0.13483978348900205,10.878001237707492,17.040697551591425,0.5631610111443214,6.846105137037052,13.328223651169287,66.30971768892728
band_room_only,Physical,3,0.34818503250642197,8.206996570018042,14.791126879830848,0.7997476566778329,6.592283312135375,8.192524978868889,43.0449051460853
band_room_only,Morgan+Physical,3,0.42315691979046577,8.404712812864608,13.914510783091092,0.7832827706135533,6.0732934935692136,8.701211041629675,54.677311454186075
band_room_only,Morgan,4,0.10228847111567263,10.446928256421915,17.35831236979647,0.6229287783046534,5.687227205736167,13.854489476614289,69.34761993408202
band_room_only,Physical,4,0.006028035832564171,10.631932307137088,18.265272907622993,0.8276503194750764,5.70389137886102,16.044972443366774,47.691301269531245
band_room_only,Morgan+Physical,4,0.40477687156569253,7.922797434143801,14.134452709954113,0.8138933275295599,4.7782850211812775,9.253478318093041,58.51946030836838
band_room_only,Morgan,5,0.1819019920720838,9.992052015241294,16.5707347536201,0.669731757150507,5.360427274860122,13.381867859534061,66.36925880432128
band_room_only,Physical,5,0.35542228795722963,8.8587984744251,14.708782984224936,0.8460775353675989,4.906319789610558,12.78444790284128,43.859521349393404
band_room_only,Morgan+Physical,5,0.44795602450286376,7.654803534821357,13.61212521587295,0.8461743348167768,4.916755691409641,8.545353395912862,55.1143897834191
band_room_only,Morgan,6,-0.07369182949900233,12.563958212004147,18.98361520462125,0.1533333128633057,9.350563764867749,13.709805134721236,66.98490501990685
band_room_only,Physical,6,0.40102862913623094,9.036051225689945,14.178886644848323,0.8449610225166484,5.6225041920627055,12.317479474986683,40.64712516784668
band_room_only,Morgan+Physical,6,0.3699048728984914,9.162477515642763,14.542603339220948,0.7318860695652335,7.1516800717359965,9.044395681577742,53.81601516723633
band_room_only,Morgan,7,0.11419280513887242,10.48661671082745,17.242836089364275,0.6366178391073837,5.52368649722301,14.242007690984552,69.3341565469595
band_room_only,Physical,7,0.2908051173616335,8.37593072782362,15.428435692862209,0.8468664900928691,5.540231041290529,10.75646919472434,39.019881920447716
band_room_only,Morgan+Physical,7,0.4686873069965476,7.630161535386768,13.354086767647564,0.8339374011534331,5.250267758554984,7.994520784690162,54.08178365854117
band_room_only,Morgan,8,0.16145600051707287,10.361733294957533,16.776525675190435,0.6469044049348538,6.18529058954273,12.91185976187966,67.62762927715595
band_room_only,Physical,8,0.5745864971299884,6.70808889658254,11.949362420519337,0.8654999441802018,4.64819712164438,7.1235217158462065,45.643734283447266
band_room_only,Morgan+Physical,8,0.5097062933273586,6.546446323301453,12.828245347114217,0.8715869936927935,4.655020756736127,5.8107991417162355,56.47640924893892
band_room_only,Morgan,9,-0.15979373447372613,12.06339841265121,19.730108666333848,0.30838053714777547,9.348350758694338,12.505457174682617,64.72175223717322
band_room_only,Physical,9,-0.20964283539590012,13.286200063991922,20.14965788685321,0.5266832924065501,11.232999893240706,14.58737528889974,40.83611818166879
band_room_only,Morgan+Physical,9,0.17993455717788576,10.138519827359154,16.59064817722101,0.4801400063470832,9.658116663311647,7.591290031941733,52.77893513606145
band_room_extended,Morgan,0,-0.08535655494456074,13.091029887466194,20.194547959326837,0.13960597035195466,9.1051409213823,14.200644466258861,72.37681390962146
band_room_extended,Physical,0,-0.19550737723390466,12.257601454900598,21.19454265915169,0.6486839561148403,10.283273042708851,11.593066082267603,55.67316774931408
band_room_extended,Morgan+Physical,0,0.20530536638380636,9.97175092208187,17.280171948454427,0.5941649313023271,8.933896034487072,6.923466286427691,64.02499014827184
band_room_extended,Morgan,1,0.0630604532039225,11.27209016446321,18.763061610353773,0.589247745362149,6.366670876362852,13.69007052552651,72.0573331044515
band_room_extended,Physical,1,-0.05597541812158835,11.383673920295195,19.91933445678605,0.6240759059216361,10.760696830892462,9.31639713519689,46.577938337053574
band_room_extended,Morgan+Physical,1,0.21123578038102298,9.909353037681578,17.215574508931866,0.5929996075219008,8.150542026150752,8.407298334631902,59.11637576257616
band_room_extended,Morgan,2,-0.18916131289142002,14.100940048339442,21.13821473423649,0.047682296840646995,11.799153625252773,12.81069129221724,70.68233473932176
band_room_extended,Physical,2,-0.19298737284095324,12.769809963630832,21.172192936690625,0.5443394593109191,12.44910493290841,10.388621320559654,46.12679815128871
band_room_extended,Morgan+Physical,2,0.10895508962927858,11.228395398009875,18.29775113086704,0.46301197301460406,10.980559762523448,7.539004273088872,58.404566104707264
band_room_extended,Morgan,3,-0.18578180804304134,12.645051809894609,21.10815677445724,0.48345414743403164,8.427805397862285,14.10111693811613,72.10837611534483
band_room_extended,Physical,3,0.30969152518203835,9.753093911347122,16.10532607287938,0.7825421012565231,6.848363990389572,10.96719486902182,48.265990923200334
band_room_extended,Morgan+Physical,3,0.2589866978202352,9.182415417494921,16.686333587529255,0.6768492475902247,7.221282474470038,7.921070392247582,59.26514682152159
band_room_extended,Morgan,4,-0.05126922912927445,11.773970999507668,19.874897421486022,0.4568571052931647,6.788252840057574,14.446433553373861,71.0675186186291
band_room_extended,Physical,4,0.2858948492308454,9.404895065815197,16.380569710556635,0.7473505768902646,7.905813398297862,8.235282401159466,50.065224169049955
band_room_extended,Morgan+Physical,4,0.31182994095730343,8.654806803851336,16.080361439179807,0.6959562879639866,6.513404282057811,7.517317542621629,60.56637103053502
band_room_extended,Morgan,5,-0.09093887449923432,12.426468382420984,20.24641471073573,0.21634079800131667,8.461091802185862,13.416077850341798,72.72970646740143
band_room_extended,Physical,5,-0.4965962229319294,13.902137213116045,23.71375026553921,0.5874892171470443,12.578651262757553,13.347539220550914,44.26842165738061
band_room_extended,Morgan+Physical,5,0.11948204080693903,11.171617606644245,18.189343672444902,0.5197106614547385,10.128300466841045,8.75176430875676,58.051849250066866
band_room_extended,Morgan,6,-0.05344818274182739,12.001868059774601,19.89548399500677,0.5036997752247455,7.029329802463331,14.664298136832784,71.17301230040052
band_room_extended,Physical,6,-0.1699538950807702,11.203328265800181,20.96680679693311,0.6257794383100262,10.75654814938987,7.964557656307769,56.765123615446555
band_room_extended,Morgan+Physical,6,0.12153915652552982,10.184257409440745,18.168083762739222,0.534270039501726,8.52847248863662,8.125480649908875,63.9690680033366
band_room_extended,Morgan,7,0.04562453818251855,11.604104017044683,18.93684183120401,0.42893150379092665,6.1231291021652225,15.105635805891373,70.2659251105899
