protocol,repeat,fold,members_checked,max_abs_difference,tolerance,binding_verified
corrected_purity,0,0,10,0.0,1e-15,True
corrected_purity,0,1,10,0.0,1e-15,True
corrected_purity,0,2,10,0.0,1e-15,True
