protocol,representation,repeat,r2,mae,spearman
lever_3_target_transform_and_robust_loss,Morgan,0,-0.0019405160972423285,0.762463829689228,-0.020860766985419006
lever_3_target_transform_and_robust_loss,Morgan,1,0.4291589745125475,0.5714565022266603,0.7221479122872997
lever_3_target_transform_and_robust_loss,Morgan,2,0.36563876228888437,0.5951292818154931,0.676026912237061
lever_3_target_transform_and_robust_loss,Morgan,3,0.4328097800273044,0.5674221418954535,0.6918875863631051
lever_3_target_transform_and_robust_loss,Morgan,4,0.41735926595824013,0.5482644731886909,0.6438462404332916
lever_3_target_transform_and_robust_loss,Morgan,5,0.43786564489980284,0.5508183301339734,0.6691647593133557
lever_3_target_transform_and_robust_loss,Morgan,6,-0.07028996509401719,0.7251438395199423,0.16335881921302153
lever_3_target_transform_and_robust_loss,Morgan,7,0.31807942334978123,0.6191493091248853,0.5391286939407001
lever_3_target_transform_and_robust_loss,Morgan,8,0.4006954624331409,0.5573086688390162,0.704436130588044
lever_3_target_transform_and_robust_loss,Morgan,9,0.08556636061042822,0.6755023131920288,0.3926679294480444
lever_3_target_transform_and_robust_loss,Morgan+Physical,0,0.4276997681187289,0.5112467799095921,0.7231185953753538
lever_3_target_transform_and_robust_loss,Morgan+Physical,1,0.66181479873261,0.39308623655670977,0.8778584781526655
lever_3_target_transform_and_robust_loss,Morgan+Physical,2,0.6017199645505061,0.45664555839394444,0.8445961424309701
lever_3_target_transform_and_robust_loss,Morgan+Physical,3,0.6639840615611925,0.405894829348944,0.8722425131047455
lever_3_target_transform_and_robust_loss,Morgan+Physical,4,0.5910483424901471,0.4505761757522,0.7937398835092166
lever_3_target_transform_and_robust_loss,Morgan+Physical,5,0.6663799375311652,0.41562865173679614,0.8706010809819472
lever_3_target_transform_and_robust_loss,Morgan+Physical,6,0.2909083627281377,0.5825264438424658,0.5231568170278283
lever_3_target_transform_and_robust_loss,Morgan+Physical,7,0.6226669305729158,0.45717911720930243,0.8574282013829169
lever_3_target_transform_and_robust_loss,Morgan+Physical,8,0.6213942842983726,0.44665335185118116,0.8516508014925674
lever_3_target_transform_and_robust_loss,Morgan+Physical,9,0.35796811526794226,0.5088131814029313,0.6939958363924307
lever_3_target_transform_and_robust_loss,Physical,0,0.536668134074008,0.5138437687151864,0.8355069043837015
