representation,n_compounds,n_repeats,n_splits,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,spearman_mean,spearman_std,delta_r2_from_previous,marginal_r2_per_compound
Morgan,30,10,5,-0.122241977442,0.0880164547098,17.9314687825,1.16198608374,36.4090742302,1.43062114866,0.309109995512,0.123550806243,,
Morgan,60,10,5,-0.0820378337933,0.0598890379561,15.6108547837,0.680738745641,30.8997710066,0.864248037098,0.550209497701,0.0385147977617,0.0402041436487,0.00134013812162
Morgan,90,10,5,0.0441323084322,0.0502750567946,11.4372046435,0.512740156179,25.4325874645,0.66403295179,0.613060384302,0.0292504803657,0.126170142226,0.00420567140752
Morgan,120,10,5,0.0802090195868,0.0219147826041,9.93610727494,0.304312418357,22.2230517984,0.263713894903,0.641195647971,0.0367893814229,0.0360767111546,0.00120255703849
Morgan,160,10,5,0.158343602632,0.0199252272248,8.75575480127,0.16906114855,19.5369921614,0.23035050473,0.653749651071,0.016918654504,0.0781345830454,0.00195336457614
Morgan,200,10,5,0.216250523591,0.0507454132375,7.86374134205,0.376537172942,17.6227723852,0.560715954308,0.702798693792,0.0240224384176,0.0579069209593,0.00144767302398
Morgan,236,10,5,0.24019751231,0.0404832649121,7.61238593345,0.253886515534,16.5839230572,0.444454485501,0.72225882485,0.0226768140225,0.0239469887181,0.000665194131059
Physical,30,10,5,-0.310023210224,0.163155950783,20.9344352939,2.58350201386,39.2968014935,2.43681490735,0.376970975222,0.095864435412,,
Physical,60,10,5,0.220418810762,0.104873952531,12.2966112706,0.753861185326,26.1791942332,1.83806593378,0.714380634211,0.0285712527743,0.530442020986,0.0176814006995
Physical,90,10,5,0.181230082779,0.0628685885901,10.9952140626,0.503598883997,23.5296032438,0.908532337969,0.724866920077,0.022181658182,-0.0391887279827,-0.00130629093276
Physical,120,10,5,0.208559126709,0.102114841776,9.2335245948,0.63430697827,20.5756847438,1.35152995325,0.737436909744,0.0306063374445,0.02732904393,0.000910968131002
Physical,160,10,5,0.295742153413,0.0616767050727,7.96626432171,0.247035700411,17.8567390294,0.788936865882,0.776008613742,0.0200564926845,0.0871830267033,0.00217957566758
Physical,200,10,5,0.340935471295,0.0532749280493,7.46089117139,0.379274136858,16.1557956379,0.652934114486,0.795466593776,0.0186663199677,0.0451933178825,0.00112983294706
Physical,236,10,5,0.342233806574,0.0567813300299,7.09761974767,0.288468570578,15.4218401321,0.677476331538,0.802105982473,0.0139561547165,0.0012983352788,3.60648688555e-05
Morgan+Physical,30,10,5,-0.139756861396,0.0963020771514,18.5929091022,1.69809908633,36.688127043,1.54983978795,0.379939563116,0.112740012727,,
Morgan+Physical,60,10,5,0.216074589003,0.0701063510361,12.3411649595,0.576496742368,26.2862131416,1.18411244032,0.727198210659,0.0231615924633,0.355831450399,0.0118610483466
Morgan+Physical,90,10,5,0.215652299431,0.0511083407713,10.2824900522,0.337290480951,23.0340747363,0.752331776085,0.751432287405,0.017125081117,-0.000422289571711,-1.4076319057e-05
Morgan+Physical,120,10,5,0.234220411145,0.0568436483063,8.65425907907,0.364224869608,20.2660161101,0.753720778603,0.778213744823,0.0237591615322,0.0185681117135,0.000618937057117
Morgan+Physical,160,10,5,0.309950427288,0.0371208165851,7.6459023007,0.157415630096,17.6855280266,0.472698311158,0.795304146822,0.0148718446574,0.0757300161432,0.00189325040358
Morgan+Physical,200,10,5,0.342813781461,0.037862357277,6.9963092718,0.332046385223,16.1387358868,0.459063649894,0.820187196703,0.015796088542,0.0328633541726,0.000821583854316
Morgan+Physical,236,10,5,0.363572687529,0.0394254751302,6.68617299477,0.237604402338,15.1762083005,0.471264528098,0.828188552353,0.0142714157047,0.0207589060683,0.000576636279674
