source_id,source_page,section,formula,compound_name,dielectric,t_C,T_K,alpha_1e5,alpha_kind,valid_range_C,references,frequency_note,source_quality,eligibility_status,notes,raw_line
nbs514:p43:001,43,C. ORGANIC LIQUIDS,C10H22S,Amyl sulfide,3.83,25,298.15,,,,"140",,three_figures,candidate_near_room,exact tabulated point within 15-30 C,C10H22S | Amyl sulfide | eps 3.83 | t 25 | refs 140
nbs514:p43:002,43,C. ORGANIC LIQUIDS,C10H23N,Diisoamylamine,2.5,18,291.15,,,,"22",f = 3.6x10^8 cycles/sec,two_or_less,candidate_near_room,exact tabulated point within 15-30 C,C10H23N | Diisoamylamine | eps 2.5 | t 18 | refs 22
nbs514:p43:003,43,C. ORGANIC LIQUIDS,C11H10,1-Methylnaphthalene,2.71,20,293.15,,,,"113,202",,three_figures,candidate_near_room,exact tabulated point within 15-30 C,C11H10 | 1-Methylnaphthalene | eps 2.71 | t 20 | refs 113/202
nbs514:p43:004,43,C. ORGANIC LIQUIDS,C11H12O2,Ethyl cinnamate,6.1,18,291.15,,,,"8,56 [7,216,260]",,two_or_less,candidate_near_room,exact tabulated point within 15-30 C,C11H12O2 | Ethyl cinnamate | eps 6.1 | t 18 | refs 8/56 [7/216/260]
nbs514:p43:005,43,C. ORGANIC LIQUIDS,C11H12O3,Ethyl benzoylacetate,12.4,20,293.15,,,,"8 [7,17]",,three_figures,candidate_near_room,exact tabulated point within 15-30 C,C11H12O3 | Ethyl benzoylacetate | eps 12.4 | t 20 | refs 8 [7/17]
nbs514:p43:006,43,C. ORGANIC LIQUIDS,C11H14O2,Isobutyl benzoate,5.38,20,293.15,1100,a,at 20,"7,8,10 [27]",,three_figures,candidate_near_room,exact tabulated point within 15-30 C,C11H14O2 | Isobutyl benzoate | eps 5.38 | t 20 | a 1.1 | range at 20 | refs 7/8/10 [27]
nbs514:p43:007,43,C. ORGANIC LIQUIDS,C11H14O2,"4-Propenyl-1,2-dimethoxybenzene (Methyl isoeugenol)",4.7,18,291.15,,,,167,,two_or_less,candidate_near_room,exact tabulated point within 15-30 C; formula shared with preceding Isobutyl benzoate entry,"C11H14O2 | 4-Propenyl-1,2-dimethoxybenzene (Methyl isoeugenol) | eps 4.7 | t 18 | refs 167"
nbs514:p43:008,43,C. ORGANIC LIQUIDS,C11H14O3,Ethyl o-ethoxybenzoate,7.0,21,294.15,,,,7,f = 4x10^8 cycles/sec,two_or_less,candidate_near_room,exact tabulated point within 15-30 C,C11H14O3 | Ethyl o-ethoxybenzoate | eps 7.0 | t 21 | refs 7
nbs514:p43:009,43,C. ORGANIC LIQUIDS,C11H16,1-Methyl-4-tert-butylbenzene,2.33,20,293.15,200,a,"0,60",158,,three_figures,candidate_near_room,exact tabulated point within 15-30 C,C11H16 | 1-Methyl-4-tert-butylbenzene | eps 2.33 | t 20 | a 0.20 | range 0/60 | refs 158
nbs514:p43:010,43,C. ORGANIC LIQUIDS,C11H20O4,"dl-erythro-3,4-Diacetoxyheptane",6.684,25,298.15,,,,238,,three_figures,candidate_near_room,exact tabulated point within 15-30 C; final 4 printed in smaller type and not counted in source_quality,"C11H20O4 | dl-erythro-3,4-Diacetoxyheptane | eps 6.684 | t 25 | refs 238"
