queue_rank,inchikey,name,smiles,target_dielectric,target_T_K,local_rows,local_distinct_T,family_tag,is_champion,champion_short,model_ready,probed_in_this_round,stocking_priority,access
27,HEBKCHPVOIAQTA-NGQZWQHPSA-N,Xylitol,OC[C@@H](O)C(O)[C@@H](O)CO,40.0,293.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
28,HPXRVTGHNJAIIH-UHFFFAOYSA-N,cyclohexanol,OC1CCCCC1,15.71,298.15,1,1,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
29,HTSABYAWKQAHBT-UHFFFAOYSA-N,3-Methylcyclohexanol,CC1CCCC(O)C1,12.3,293.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
30,HXDLWJWIAHWIKI-UHFFFAOYSA-N,beta-Hydroxyethyl acetate (Glycol monoacetate),CC(=O)OCCO,13.0,303.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
31,HZAXFHJVJLSVMW-UHFFFAOYSA-N,2-aminoethan-1-ol,NCCO,31.46,303.15,1,1,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
32,ISPYQTSUDJAMAB-UHFFFAOYSA-N,o-Chlorophenol,Oc1ccccc1Cl,6.31,298.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
33,KBPLFHHGFOOTCA-UHFFFAOYSA-N,octan-1-ol,CCCCCCCCO,10.66,298.15,6,1,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
34,LYCAIKOWRPUZTN-UHFFFAOYSA-N,"1,2-ethanediol",OCCO,39.84,303.15,1,1,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
35,MQWCXKGKQLNYQG-UHFFFAOYSA-N,4-Methylcyclohexanol,CC1CCC(O)CC1,13.3,293.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
36,MWKFXSUHUHTGQN-UHFFFAOYSA-N,decan-1-ol,CCCCCCCCCCO,7.74,298.15,1,1,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
37,NDVWOBYBJYUSMF-UHFFFAOYSA-N,2-Methylcyclohexanol,CC1CCCCC1O,13.3,293.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
38,PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol,OCC(O)CO,41.17,303.15,2,1,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
