queue_rank,inchikey,name,smiles,target_dielectric,target_T_K,local_rows,local_distinct_T,family_tag,is_champion,champion_short,model_ready,probed_in_this_round,stocking_priority,access
128,QGJOPFRUJISHPQ-UHFFFAOYSA-N,Carbon disulfide,S=C=S,2.641,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
129,QJPJQTDYNZXKQF-UHFFFAOYSA-N,p-Bromoanisole,COc1ccc(Br)cc1,7.06,303.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
130,QQONPFPTGQHPMA-UHFFFAOYSA-N,Propene,C=CC,1.875,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
131,QTBSBXVTEAMEQO-UHFFFAOYSA-N,acetic acid,CC(=O)O,6.15,293.15,1,1,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
132,QWTDNUCVQCZILF-UHFFFAOYSA-N,2-Methylbutane,CCC(C)C,1.843,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
133,RCJMVGJKROQDCB-UHFFFAOYSA-N,"2-Methyl-1,3-pentadiene",C=C(C)C=CC,2.42,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
134,RDOXTESZEPMUJZ-UHFFFAOYSA-N,Methoxybenzene (Anisole),COc1ccccc1,4.33,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
135,RFFLAFLAYFXFSW-UHFFFAOYSA-N,o-Dichlorobenzene,Clc1ccccc1Cl,9.93,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
136,RGSFGYAAUTVSQA-UHFFFAOYSA-N,Cyclopentane,C1CCCC1,1.965,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
137,RJUFJBKOKNCXHH-UHFFFAOYSA-N,methyl propionate,CCC(=O)OC,6.2,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
138,RRHGJUQNOFWUDK-UHFFFAOYSA-N,"2-Methyl-1,3-butadiene (Isoprene)",C=CC(=C)C,2.10,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
139,RWNKSTSCBHKHTB-UHFFFAOYSA-N,"Hexachloro-1,3-butadiene",ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,2.55,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
140,SDJHPPZKZZWAKF-UHFFFAOYSA-N,"2,3-dimethyl-1,3-butadiene",C=C(C)C(=C)C,2.10,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
141,SECXISVLQFMRJM-UHFFFAOYSA-N,N-methylpyrrolidone,CN1CCCC1=O,32.2,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
142,SFPQFQUXAJOWNF-UHFFFAOYSA-N,m-Diiodobenzene,Ic1cccc(I)c1,4.25,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
143,SNHMUERNLJLMHN-UHFFFAOYSA-N,Iodobenzene,Ic1ccccc1,4.63,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
144,SQYNKIJPMDEDEG-UHFFFAOYSA-N,Paraldehyde,CC1OC(C)OC(C)O1,13.9,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
145,SVONRAPFKPVNKG-UHFFFAOYSA-N,"beta-Ethoxyethyl acetate (""Cellosolve"" acetate)",CCOCCOC(C)=O,7.57,303.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
146,UAEPNZWRGJTJPN-UHFFFAOYSA-N,methylcyclohexane,CC1CCCCC1,2.01,298.2,1,1,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
147,UHOVQNZJYSORNB-UHFFFAOYSA-N,Benzene,c1ccccc1,2.284,293.15,1,1,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
148,UJBOOUHRTQVGRU-UHFFFAOYSA-N,3-Methylcyclohexanone,CC1CCCC(=O)C1,12.4,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
149,UUIQMZJEGPQKFD-UHFFFAOYSA-N,methyl butyrate,CCCC(=O)OC,5.48,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
150,VGVHNLRUAMRIEW-UHFFFAOYSA-N,4-Methylcyclohexanone,CC1CCC(=O)CC1,12.4,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
151,WFCLYEAZTHWNEH-UHFFFAOYSA-N,Ethyl thiocyanate,CCSC#N,29.3,294.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
152,WQAQPCDUOCURKW-UHFFFAOYSA-N,1-Butanethiol,CCCCS,4.95,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
153,WQONPSCCEXUXTQ-UHFFFAOYSA-N,o-Dibromobenzene,Brc1ccccc1Br,7.35,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
154,WSLDOOZREJYCGB-UHFFFAOYSA-N,"1,2-dichloroethane",ClCCCl,10.7,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
155,XEKOWRVHYACXOJ-UHFFFAOYSA-N,Ethyl acetate,CCOC(C)=O,6.02,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
156,XNLICIUVMPYHGG-UHFFFAOYSA-N,2-Pentanone,CCCC(C)=O,15.45,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
157,YHRUOJUYPBUZOS-UHFFFAOYSA-N,"1,3-dichloropropane",ClCCCCl,9.5,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
158,YMWUJEATGCHHMB-UHFFFAOYSA-N,dichloromethane,ClCCl,9.1,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
159,YNAVUWVOSKDBBP-UHFFFAOYSA-N,Morpholine,C1COCCN1,7.33,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
160,YWAKXRMUMFPDSH-UHFFFAOYSA-N,1-Pentene,C=CCCC,2.100,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
161,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,1-heptene,C=CCCCCC,2.05,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
162,ZHNUHDYFZUAESO-UHFFFAOYSA-N,formamide,N=CO,106.14,303.15,2,1,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
163,ZPQOPVIELGIULI-UHFFFAOYSA-N,m-Dichlorobenzene,Clc1cccc(Cl)c1,5.04,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
164,ZQDPJFUHLCOCRG-AATRIKPKSA-N,trans-3-Hexene,CC/C=C/CC,2.000,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
165,ZQDPJFUHLCOCRG-WAYWQWQTSA-N,cis-3-Hexene,CC/C=C\CC,2.062,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
166,ZRKMQKLGEQPLNS-UHFFFAOYSA-N,1-Pentanethiol,CCCCCS,4.55,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
167,UQEAIHBTYFGYIE-UHFFFAOYSA-N,Hexamethyldisiloxane,C[Si](C)(C)O[Si](C)(C)C,2.17,293.15,0,0,siloxane,false,,true,no,P3,public_local_metadata_only_not_yet_probed
