representation,arm,repeat,inchikey,name,target,prediction
Morgan,baseline_v0.3,0,IEJIGPNLZYLLBP-UHFFFAOYSA-N,dimethyl carbonate,3.134,13.1803455353
Morgan,baseline_v0.3,0,IIRFCWANHMSDCG-UHFFFAOYSA-N,cyclooctanone,14.38,16.3976306915
Morgan,baseline_v0.3,0,IMNFDUFMRHMDMM-UHFFFAOYSA-N,heptane,1.93,5.61477375031
Morgan,baseline_v0.3,0,JHIVVAPYMSGYDF-UHFFFAOYSA-N,cyclohexanone,15.79,15.9371643066
Morgan,baseline_v0.3,0,JIGUQPWFLRLWPJ-UHFFFAOYSA-N,ethyl propenoate,6.209,7.23673391342
Morgan,baseline_v0.3,0,JYPJLAPMBJKRDG-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium butylsulfonate,30,16.1223239899
Morgan,baseline_v0.3,0,KBPLFHHGFOOTCA-UHFFFAOYSA-N,octan-1-ol,10.66,12.2096242905
Morgan,baseline_v0.3,0,KFZMGEQAYNKOFK-UHFFFAOYSA-N,propan-2-ol,18.845,13.0441560745
Morgan,baseline_v0.3,0,KLTUZFZUYLXTFF-UHFFFAOYSA-N,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,23.3,26.4979286194
Morgan,baseline_v0.3,0,LBHLGZNUPKUZJC-UHFFFAOYSA-N,1-butyl-1-methylpyrrolidinium dicyanamide,18,19.9223270416
Morgan,baseline_v0.3,0,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ethanol,25.02,13.6134710312
Morgan,baseline_v0.3,0,LLEVMYXEJUDBTA-UHFFFAOYSA-N,heptanedinitrile,29.71,26.7326145172
Morgan,baseline_v0.3,0,LRHPLDYGYMQRHN-UHFFFAOYSA-N,butan-1-ol,18.03,16.6310501099
Morgan,baseline_v0.3,0,LSBXQLQATZTAPE-UHFFFAOYSA-N,1-butyl-3-methylimidazolium tetrafluoroborate,13.9,7.60588359833
