repeat,representation,arm,fold,mae,rmse,r2,spearman,train_count,test_count
1,Physical,augmented_pc_ec_train_only,3,6.54766528974,12.9079542535,0.411036126968,0.918379738436,189,47
1,Morgan+Physical,baseline_v0.3,3,6.37255833666,11.4498111414,0.536584594147,0.888284954319,187,47
1,Morgan+Physical,augmented_pc_ec_train_only,3,6.36535187802,11.5869235431,0.525419266301,0.89976582188,189,47
1,Morgan,baseline_v0.3,4,10.4859299259,30.0443481463,-0.0428237837639,0.604189194793,188,46
1,Morgan,augmented_pc_ec_train_only,4,10.5899010374,30.0229541237,-0.0413391616208,0.55460608616,190,46
1,Physical,baseline_v0.3,4,8.81251877034,28.0327880234,0.092141964356,0.753646427939,188,46
1,Physical,augmented_pc_ec_train_only,4,8.87433726535,27.7257613314,0.111919535514,0.753793018379,190,46
1,Morgan+Physical,baseline_v0.3,4,8.87066995347,28.6894050597,0.0491140281178,0.797187702744,188,46
1,Morgan+Physical,augmented_pc_ec_train_only,4,9.12218478758,28.5651931321,0.0573300015931,0.794104043055,190,46
2,Morgan,baseline_v0.3,0,6.04602248253,10.2798639899,0.595864430646,0.763067451534,187,47
2,Morgan,augmented_pc_ec_train_only,0,6.02504281227,10.2283383603,0.599905564539,0.727314935609,189,47
2,Physical,baseline_v0.3,0,6.54143675589,10.4833235421,0.579708780152,0.826549491212,187,47
2,Physical,augmented_pc_ec_train_only,0,6.15868071731,10.2171579098,0.600779761509,0.825648290363,189,47
2,Morgan+Physical,baseline_v0.3,0,5.74021538552,9.57755268014,0.649198503459,0.863320999075,187,47
2,Morgan+Physical,augmented_pc_ec_train_only,0,5.55014481565,9.62033605149,0.646057410328,0.863230320386,189,47
2,Morgan,baseline_v0.3,1,6.84021482594,9.53898275419,0.359383930647,0.635140583516,187,47
2,Morgan,augmented_pc_ec_train_only,1,6.82304156613,9.54801285821,0.358170474663,0.636929893903,189,47
2,Physical,baseline_v0.3,1,7.42435599745,11.2530455915,0.108474318682,0.724247593468,187,47
2,Physical,augmented_pc_ec_train_only,1,7.69805618207,10.8936999729,0.164503718628,0.674867732798,189,47
2,Morgan+Physical,baseline_v0.3,1,6.05760517718,7.89995070628,0.560617795001,0.723367350191,187,47
2,Morgan+Physical,augmented_pc_ec_train_only,1,6.04580417662,7.90473667998,0.56008525784,0.691856263479,189,47
2,Morgan,baseline_v0.3,2,7.77994422243,25.7466609234,0.0105509930822,0.747267681814,187,47
