substance,inchikey,in_backfill_queue,reaxys_rn,cas,eps_rows,eps_valued,eps_point,eta_rows,eta_valued,eta_point,hp_rows,hp_valued,hp_point,redox_rows,redox_valued,redox_point,redox_point_from_comment,hp_point_property
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,true,80420,108-29-2,1,1,1,4,4,4,2,0,0,0,0,0,0,
ethyl methyl carbonate,JBTWLSYIZRCDFO-UHFFFAOYSA-N,true,1742929,623-53-0,3,3,2,1,1,1,4,0,0,1,0,0,0,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,true,106249,96-49-1,11,10,10,17,16,16,5,0,0,0,0,0,0,
Ethyl sulfite,NVJBFARDFTXOTO-UHFFFAOYSA-N,true,1701906,623-81-4,4,3,3,0,0,0,1,0,0,0,0,0,0,
