Index,Solvent Name,CANON_SMILES,Temperature (K),Inverse temperature (1/K),EdgePool_log(Viscosity)_pred,is_within_training
67,FEC (C3H3FO3),O=C1OCC(F)O1,275,0.0036363636363636,0.4421614,False
68,FEC (C3H3FO3),O=C1OCC(F)O1,280,0.0035714285714285,0.40748248,False
69,FEC (C3H3FO3),O=C1OCC(F)O1,285,0.0035087719298245,0.3741888,False
70,FEC (C3H3FO3),O=C1OCC(F)O1,290,0.0034482758620689,0.35259235,False
71,FEC (C3H3FO3),O=C1OCC(F)O1,295,0.0033898305084745,0.3195905,False
72,FEC (C3H3FO3),O=C1OCC(F)O1,300,0.0033333333333333,0.283382,False
73,FEC (C3H3FO3),O=C1OCC(F)O1,305,0.0032786885245901,0.24144675,False
74,FEC (C3H3FO3),O=C1OCC(F)O1,310,0.0032258064516129,0.189339,False
75,FEC (C3H3FO3),O=C1OCC(F)O1,315,0.0031746031746031,0.11244018,False
76,FEC (C3H3FO3),O=C1OCC(F)O1,320,0.003125,0.061784796,False
77,FEC (C3H3FO3),O=C1OCC(F)O1,325,0.003076923076923,0.02449362,False
78,FEC (C3H3FO3),O=C1OCC(F)O1,330,0.003030303030303,-0.014444461,False
79,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,270,0.0037037037037037,0.20459285,False
80,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,275,0.0036363636363636,0.20259687,False
81,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,280,0.0035714285714285,0.14651945,False
82,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,285,0.0035087719298245,0.10271627,False
83,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,290,0.0034482758620689,0.04432582,False
84,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,295,0.0033898305084745,-0.0008015279,False
85,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,300,0.0033333333333333,-0.0421812,False
86,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,305,0.0032786885245901,-0.08504756,False
87,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,310,0.0032258064516129,-0.13688938,False
88,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,315,0.0031746031746031,-0.18721843,False
89,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,320,0.003125,-0.22590649,False
