inchikey,name,smiles,canonical_smiles,structure_check,in_epsilon_roster,epsilon,in_anchor_roster,themol_uuid,themol_h5_file,natoms,geometry_sha256,source_dataset,source_level,source_license,xtb_version,unit_check,homo_gfn2_eV,lumo_gfn2_eV,gap_gfn2_eV,batt_homo_eV,batt_lumo_eV,batt_gap_eV,pubchemqc_homo_eV,pubchemqc_lumo_eV,gfn2_minus_batt_homo_eV,gfn2_minus_batt_lumo_eV,gfn2_minus_batt_gap_eV,gfn2_minus_pubchemqc_homo_eV,gfn2_minus_pubchemqc_lumo_eV,calib_homo_eV,calib_lumo_eV,calibration_id,role
CGZZMOTZOONQIA-UHFFFAOYSA-N,cycloheptanone,O=C1CCCCCC1,O=C1CCCCCC1,inchikey_match,true,12.92,true,a032c20507c55c929cdbe3dff128cba0,hessian_21.h5,20,24ffb71532ba47adc89105957bb1f67f1761c1e555be2eb4346a62b28ca0c64c,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.5917,-6.8182,3.7734999999999994,-9.38350009918,1.71720004082,11.10070014,-6.33481,-0.217691,-1.2081999008199986,-8.53540004082,-7.327200140000001,-4.256889999999999,-6.600509,,,,paired_anchor
CJSBUWDGPXGFGA-UHFFFAOYSA-N,"4-methyl-1,3-pentadiene",C=CC=C(C)C,C=CC=C(C)C,inchikey_match,true,2.60,false,5c84c4296de7539a85396efb56122b36,hessian_18.h5,16,a64efd1701acad2b979b4d146705599ff010c8afb17fcccbafb7c9857d87c561,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-9.9292,-6.4665,3.4627,,,,-5.738881,-0.31021,,,,-4.190319,-6.15629,,,,uncalibrated_reference
CSCPPACGZOOCGX-UHFFFAOYSA-N,Acetone,CC(C)=O,CC(C)=O,inchikey_match,true,20.70,true,b47b8d9a3fa9522785f25b06173a0792,hessian_46.h5,10,44d7a4c7aa2c865701fc191086b4720ecd5218276941f4fa4042099828e669a6,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.881,-6.9072,3.9738000000000007,-9.64630031586,1.71490001678,11.36120033264,-6.653184,-0.337421,-1.2346996841400006,-8.62210001678,-7.387400332639999,-4.227816,-6.569779,,,,paired_anchor
CYTYCFOTNPOANT-UHFFFAOYSA-N,Tetrachloroethylene,ClC(Cl)=C(Cl)Cl,ClC(Cl)=C(Cl)Cl,inchikey_match,true,2.30,false,13125276627e53c493ce89071241ee02,hessian_35.h5,6,66aab06aa7c4698efc34f1bf23cefbf94c53ecec4b6db3513deac4ddb78b33e3,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.3598,-7.6984,3.6613999999999995,,,,-6.966115,-0.982331,,,,-4.393685,-6.716069,,,,uncalibrated_reference
DHXVGJBLRPWPCS-UHFFFAOYSA-N,tetrahydropyran,C1CCOCC1,C1CCOCC1,inchikey_match,false,,true,e60740c37352515c8b052db8805aecb0,hessian_44.h5,16,a076428867928ef15225f3d12e2b0d8484586a3ab19bdfd445664250d880fb82,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.6624,0.641,11.3034,-9.41520023346,1.77079999447,11.18600022793,-6.557944,2.345621,-1.2471997665399996,-1.12979999447,0.11739977206999974,-4.104456,-1.704621,,,,paired_anchor
DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,CC(C)(C)O,CC(C)(C)O,inchikey_match,true,12.49,false,acbbb5618a0f53148505a644af54bdb7,hessian_44.h5,15,0a8cdffb9f2982f369e25bb27adc1eb5ce1b5438493b8629fb6ab1f6255a20ff,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.012,0.5768,11.5888,,,,-6.998768,1.891191,,,,-4.013232,-1.314391,,,,uncalibrated_reference
DLRJIFUOBPOJNS-UHFFFAOYSA-N,ethoxybenzene,CCOc1ccccc1,CCOc1ccccc1,inchikey_match,true,4.2,true,242470aa78d45d9fb90a58cf465347c8,hessian_35.h5,19,0b1e3472d3386c9dee347ebacb218e90121a8d45aa6ad20673dcd41a7cbc3e33,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.1833,-6.0555,4.127799999999999,-8.61320018768,1.71850001812,10.3317002058,-5.741602,0.127894,-1.5700998123199987,-7.774000018120001,-6.203900205800002,-4.441697999999999,-6.183394000000001,,,,paired_anchor
DNIAPMSPPWPWGF-UHFFFAOYSA-N,"1,2-propanediol",CC(O)CO,CC(O)CO,inchikey_match,true,27.87,false,163f1f949a9558239f3acf5a1efcd5e0,hessian_9.h5,13,1a61f36e6a11d72f32c3dee04567dfeb9e77117de17c0bc8cef37ba0bd120c07,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.1184,0.0625,11.1809,,,,-6.873596,1.741529,,,,-4.244803999999999,-1.679029,,,,uncalibrated_reference
DTQVDTLACAAQTR-UHFFFAOYSA-N,Trifluoroacetic acid,O=C(O)C(F)(F)F,O=C(O)C(F)(F)F,inchikey_match,true,39.5,false,126cc707d5f95050a8d8de8293fe06d3,hessian_11.h5,8,26f2609a36aae0d9cffc85c63af9953f449edd43f194cbcd15637b80fcd329b6,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-13.2666,-8.6746,4.5920000000000005,,,,-8.626009,-1.270772,,,,-4.640591000000001,-7.403828,,,,uncalibrated_reference
FERIUCNNQQJTOY-UHFFFAOYSA-N,Butyric acid,CCCC(=O)O,CCCC(=O)O,inchikey_match,true,2.97,false,07f07a1aa3365295895a868bbf49778e,hessian_28.h5,14,fd009fd702bd89eb5f3464926c87ba10547b27f73b3f3b34ebb14a195094917a,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.462,-6.6648,4.7972,,,,-7.472246,0.201364,,,,-3.9897539999999996,-6.8661639999999995,,,,uncalibrated_reference
