representation,repeat,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60
Morgan,0,7.639703169043937,17.25710632226928,0.1798629196428062,0.7220874705719262,0.9000426257459506,0.8259685230024214,4.256743014586727,11.289584761846633,83.88223867034912
Morgan,1,7.668581131882086,16.94705119023937,0.20906866673276836,0.7242137756354801,0.8927429667519181,0.820823244552058,4.4749378124768215,11.00972909182594,80.52206716156006
Morgan,2,7.601147850192931,16.95838697680346,0.2080102138755563,0.6743892310491907,0.886615515771526,0.8177966101694916,4.648186676421346,10.072961611793156,80.1514853439331
Morgan,3,7.450163103166906,16.978876343988134,0.20609527082969692,0.7217880811351575,0.8864023870417733,0.8059927360774819,4.259342912550817,10.685230521974109,81.10551480865479
Morgan,4,7.500396447593875,16.71350205515768,0.2307182734383798,0.7053177479187325,0.88826726342711,0.8304075867635189,4.462126048737538,10.317171989440917,79.84882649993897
Morgan,5,7.768600333998146,17.01538247681556,0.20267766553000044,0.6503497039656178,0.8752131287297528,0.7887409200968524,4.751016846497451,10.419225001380557,80.85899133300782
Morgan,6,7.669810287808675,17.163201288597993,0.1887642335777754,0.6684183143843117,0.8765451832907076,0.8019572235673931,4.583718420581576,10.395700499035062,82.2928355178833
Morgan,7,7.60767459146267,17.004151806235825,0.20372983222526908,0.7133818804408004,0.8950873827791986,0.8229418886198546,4.384660526188718,10.9145441330501,81.67721490478516
Morgan,8,7.721815621490479,16.905837713228077,0.21291091558789155,0.6913387812217313,0.8748934356351237,0.8126513317191282,4.717364532504504,10.459929851531982,79.66231050109863
Morgan,9,7.910459666748047,17.219636562658668,0.18342052389148533,0.6973202719898125,0.8866155157715261,0.793684422921711,4.501511004928395,11.825709948040188,82.74513501739503
Physical,0,7.488484935330648,16.021959669029233,0.2930612843628235,0.8247995294752934,0.9004688832054561,0.9202986279257466,4.645490240118775,11.56276240648542,63.103186546325674
Physical,1,7.5793014355850215,16.997627165169902,0.20434078657803245,0.7918237789245426,0.884377664109122,0.9322033898305085,4.49508671535178,12.104138404482887,67.03185605621339
Physical,2,7.374317630037448,16.191653631528233,0.2780071312060326,0.8192932279777008,0.9040920716112533,0.9346246973365617,4.764456906566138,10.463341087886267,63.89811944580079
Physical,3,7.283150931719337,16.0863884502298,0.28736425606043703,0.8157448354225881,0.8891730605285593,0.9315980629539952,4.616684845698635,10.949356674194336,60.7473510131836
Physical,4,6.6859616996327835,15.622328494251567,0.3278874120951464,0.8534154937067023,0.9203964194373402,0.9366424535916061,3.982177875486205,10.230012413388206,62.35550454711914
Physical,5,7.379720736283094,15.772345646511143,0.314917190532396,0.8233624622963107,0.905690537084399,0.9192897497982244,4.384804488167582,12.540970263526551,58.664578147888186
Physical,6,6.775424453626494,15.760085232268727,0.31598185581990657,0.809841134981682,0.8914109121909634,0.9265536723163841,4.157558169356479,9.446109755561466,67.06624250030518
Physical,7,7.094950147293836,15.733967843253925,0.318247067597891,0.8152300792014048,0.9057971014492753,0.9350282485875705,4.362559931344624,10.642319001515707,63.64058259582519
Physical,8,7.615749968440358,16.703531618024822,0.2316358294689188,0.819488999253567,0.9144288150042625,0.9229217110573043,4.74196452133565,12.036845785958427,61.29016522979737
Physical,9,7.106184683578306,16.415472810212346,0.2579087849754361,0.8390149114567381,0.9078218243819267,0.9207021791767555,4.546591685448417,9.197709863935199,70.42051190948487
Morgan+Physical,0,6.955217860810815,15.890284860953793,0.3046333408072375,0.8418708457844412,0.9249786871270247,0.9132364810330912,4.089271225202536,9.902743610018778,72.75991525268554
Morgan+Physical,1,6.836873021240233,16.020142846263834,0.2932216030200998,0.8259488282198666,0.9171994884910486,0.9174737691686844,4.001772755596305,9.533192182086761,73.77696046447754
Morgan+Physical,2,6.910206941435278,15.834520310955151,0.3095053451169725,0.8154843553661975,0.9183716965046888,0.9118240516545603,4.3707316182631475,8.711733777909052,72.02480172729493
Morgan+Physical,3,6.526756213823644,15.511292581595457,0.337407557906231,0.8344541288846925,0.913150042625746,0.9188861985472155,3.937817747282679,8.660380115690687,70.41477098083496
Morgan+Physical,4,6.50249811769625,15.39238130705108,0.34752763088955274,0.8483581224829772,0.9324381926683718,0.9241323648103309,3.8380522598532174,8.922766895475842,70.3687294921875
Morgan+Physical,5,6.807070362200853,15.402000686225605,0.346711858438566,0.8154296824131848,0.9212489343563512,0.9083938660209847,4.122897985262809,9.41006247910999,69.76178369140625
Morgan+Physical,6,6.595702352196298,15.82726264425905,0.3101381690349345,0.8153666518113042,0.9138959931798806,0.9053672316384181,3.922713644339163,8.546012651171004,74.67953900909424
Morgan+Physical,7,6.497751450988026,15.466332422669772,0.3412430973567395,0.8300816264119208,0.9249786871270247,0.9295803066989506,3.88610943655183,8.562867431458972,71.67866487121583
Morgan+Physical,8,6.819663149538736,15.708561402294407,0.3204470124961133,0.828837500216518,0.9238064791133845,0.9144471347861178,4.328652190821684,8.612445469084241,70.47623796081544
Morgan+Physical,9,6.812607218925662,16.05432983432831,0.29020185389840814,0.8439362841096807,0.9244458653026428,0.9065778853914447,4.024292164853252,8.996004706064861,76.58282403564453
