strategy,target_mode,representation,fold,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60
random_repeated_kfold,raw,Morgan,0,7.67178185342,16.8264378751,0.218318408125,0.729214484432,0.877440169893,0.823223039216,4.36033153969,11.0932668396,70.7966622462
random_repeated_kfold,raw,Morgan,1,7.74039932937,16.8273513994,0.218233529256,0.700538775077,0.872784448256,0.814491421569,4.46127763143,10.498899874,74.476202676
random_repeated_kfold,raw,Morgan,2,7.55438753112,16.398360928,0.257585588048,0.727735029841,0.879522992731,0.85546875,4.44229747011,10.5185330665,68.5666090938
random_repeated_kfold,raw,Morgan,3,7.49250690253,16.3923638033,0.258128512754,0.749587385704,0.897369925672,0.847196691176,4.16853690229,11.1665866136,69.2469059917
random_repeated_kfold,raw,Morgan,4,7.05388481561,15.7226957474,0.317504907814,0.754992943827,0.904435187454,0.870787377451,4.14901486685,9.6013803383,65.4758906882
random_repeated_kfold,raw,Morgan,5,7.44339789137,16.2489189476,0.271055511528,0.740282852542,0.889201992976,0.861289828431,4.28222516249,10.6356506086,68.2001920264
random_repeated_kfold,raw,Morgan,6,7.84412359238,17.0549463817,0.196943265096,0.716575672684,0.870824144409,0.83371629902,4.37600196007,11.1134059555,76.0643901661
random_repeated_kfold,raw,Morgan,7,7.98583579193,17.2033344076,0.182908345348,0.682327023288,0.856530262191,0.798330269608,4.65628286264,10.9826293683,74.432883655
random_repeated_kfold,raw,Morgan,8,7.70390667557,16.8365570142,0.217377944879,0.715093449135,0.877195131912,0.83034620098,4.34370582225,10.7083265132,74.8965956661
random_repeated_kfold,raw,Morgan,9,7.63363495123,16.3282640678,0.263919110249,0.706240631975,0.882871845136,0.831878063725,4.5931717677,10.3946828938,68.1472129658
random_repeated_kfold,raw,Physical,0,7.15895901275,15.3382957559,0.350469233484,0.798797573976,0.891121457159,0.922947303922,4.25447510158,11.3503145861,54.5335818536
random_repeated_kfold,raw,Physical,1,7.38005927417,16.169946936,0.278123836856,0.78996286729,0.887486727109,0.925857843137,4.49645926925,10.7077564893,60.0105495289
random_repeated_kfold,raw,Physical,2,6.68314600278,14.3818880158,0.428945816435,0.819596197386,0.9089683901,0.953584558824,4.15883421326,9.08434840308,56.1928935569
random_repeated_kfold,raw,Physical,3,7.11580771578,15.4755468031,0.338792885278,0.802665046464,0.898145879278,0.931832107843,4.59898836725,10.3577120339,50.7860389274
random_repeated_kfold,raw,Physical,4,7.22529671053,15.7217043435,0.317590975368,0.806810431962,0.902025647309,0.948988970588,4.35388727816,11.0331239148,56.3151021521
random_repeated_kfold,raw,Physical,5,6.69350475934,14.1739128029,0.445342327008,0.804221111961,0.904802744425,0.95143995098,4.40734799065,8.72715014705,52.4791045707
random_repeated_kfold,raw,Physical,6,7.26199015381,15.657132058,0.323185053202,0.801453080733,0.887527566773,0.917892156863,4.03647361201,11.9158115045,59.8783340291
random_repeated_kfold,raw,Physical,7,7.33894994357,15.7408063258,0.315931704353,0.770829044291,0.890631381197,0.942861519608,4.74805527213,10.0246190771,56.6698615047
random_repeated_kfold,raw,Physical,8,7.39499426551,16.2375333277,0.272076696651,0.809511125791,0.898309237932,0.936734068627,4.34937135261,11.3411065193,60.0858648682
random_repeated_kfold,raw,Physical,9,6.72348963851,15.3216349525,0.351879537106,0.817213344877,0.906395491301,0.94056372549,3.89524410084,9.93240639855,58.7122896576
random_repeated_kfold,raw,Morgan+Physical,0,6.80928186605,15.271513479,0.356112978148,0.828309687087,0.909172588418,0.91881127451,3.89409325377,9.77892965645,62.6651220499
random_repeated_kfold,raw,Morgan+Physical,1,6.79621136893,15.657789092,0.32312824845,0.814968480923,0.905415339378,0.920036764706,4.10757820048,8.20474506088,67.2433761024
random_repeated_kfold,raw,Morgan+Physical,2,6.52140658007,14.7262190857,0.401274126149,0.841068419458,0.921424487462,0.951746323529,3.84703724831,8.55814711544,62.3797513253
random_repeated_kfold,raw,Morgan+Physical,3,6.6008249011,14.8695097352,0.389565864955,0.835207428654,0.917095483133,0.932138480392,4.02651071138,8.6139238292,60.0164724595
random_repeated_kfold,raw,Morgan+Physical,4,6.3558987104,14.7019253333,0.403247925455,0.848571649654,0.926651964388,0.949601715686,3.81496876684,8.07232564144,60.8954964202
random_repeated_kfold,raw,Morgan+Physical,5,6.44691571146,14.4734643565,0.421650314457,0.834236487059,0.921097770154,0.953737745098,3.9416569892,8.12155314429,60.3396482985
random_repeated_kfold,raw,Morgan+Physical,6,6.84097181623,15.6797128757,0.321231431623,0.824805526393,0.904925263416,0.922487745098,3.72454209893,9.80432238174,67.9713620976
random_repeated_kfold,raw,Morgan+Physical,7,6.98824035312,15.6612495859,0.322829027486,0.796909785526,0.902638242261,0.927696078431,4.31714908108,8.60944643661,65.5513725798
random_repeated_kfold,raw,Morgan+Physical,8,7.03069565866,15.6651965981,0.322487657678,0.82855683413,0.910234419668,0.925245098039,3.98023099406,9.83837282246,67.4912302671
random_repeated_kfold,raw,Morgan+Physical,9,6.47128287319,15.0555027369,0.374199312052,0.829251224647,0.920362656212,0.931525735294,3.81671364305,8.26750246504,63.4297513117
random_repeated_kfold,log_epsilon_minus_one,Morgan,0,7.3752345931,17.3404707187,0.169829537774,0.795508681107,0.895450461488,0.848728553922,3.06219696871,13.6372949399,77.4689504987
random_repeated_kfold,log_epsilon_minus_one,Morgan,1,7.3364946111,17.2064962353,0.182607968639,0.75891244147,0.884872988647,0.835324754902,3.2279465955,12.9171798484,76.6884278522
random_repeated_kfold,log_epsilon_minus_one,Morgan,2,7.22306853607,17.1181085054,0.190984091463,0.77438939634,0.882871845136,0.853477328431,3.08374917523,13.0008655235,76.051592145
random_repeated_kfold,log_epsilon_minus_one,Morgan,3,7.30149688692,17.2280079509,0.180562869371,0.788603172782,0.894797026872,0.84597120098,3.09901231044,13.2367164304,76.7153360834
random_repeated_kfold,log_epsilon_minus_one,Morgan,4,6.96845654395,16.6507104913,0.234560180227,0.781929220849,0.897084048027,0.873238357843,3.10143928987,12.0501420817,73.3910165394
random_repeated_kfold,log_epsilon_minus_one,Morgan,5,7.29373864607,16.938944807,0.207830316577,0.765556016391,0.884260393694,0.86328125,3.14742319772,13.2186122637,75.3166460132
random_repeated_kfold,log_epsilon_minus_one,Morgan,6,7.52854504332,17.4985773291,0.154621897904,0.737910572852,0.870660785755,0.822763480392,3.34017678139,13.1692699935,78.5526809024
random_repeated_kfold,log_epsilon_minus_one,Morgan,7,7.31880433343,17.1161732054,0.191167008861,0.751812199133,0.881319937924,0.84543504902,3.33295872764,12.4420810419,76.5516464698
random_repeated_kfold,log_epsilon_minus_one,Morgan,8,7.30234117889,17.2894246445,0.174709978462,0.758952639327,0.883402760761,0.834712009804,3.19215835296,12.6450873265,78.2943705191
random_repeated_kfold,log_epsilon_minus_one,Morgan,9,7.55840986228,17.2303769309,0.1803374964,0.745394438475,0.870211549457,0.824601715686,3.45834167984,13.3943512388,74.9760047921
random_repeated_kfold,log_epsilon_minus_one,Physical,0,6.579108173,16.446096194,0.253256993118,0.881948147052,0.92914318386,0.910539215686,2.62366073977,12.7093628255,68.2604601987
random_repeated_kfold,log_epsilon_minus_one,Physical,1,6.79997264388,17.0215616207,0.200084127184,0.862943337534,0.921179449481,0.912683823529,2.86998525774,12.5831983787,70.1494147499
random_repeated_kfold,log_epsilon_minus_one,Physical,2,5.9594674982,15.1151723719,0.369228996958,0.893164854094,0.939393939394,0.94224877451,2.55959792711,10.4862868935,63.9617175501
random_repeated_kfold,log_epsilon_minus_one,Physical,3,6.48015864694,16.1702669485,0.278095263885,0.875503102509,0.928367230254,0.916207107843,2.78889750278,11.6278046171,67.8901825958
random_repeated_kfold,log_epsilon_minus_one,Physical,4,6.30886227192,15.9486528167,0.297747134374,0.890009202736,0.935391652373,0.937193627451,2.70084224462,11.0264416884,68.4422068992
random_repeated_kfold,log_epsilon_minus_one,Physical,5,6.23980986964,15.8355944182,0.307668244525,0.888759348811,0.94098668627,0.934589460784,2.6079896073,11.0855927108,68.1311661859
random_repeated_kfold,log_epsilon_minus_one,Physical,6,6.58015413762,16.1296251011,0.281719529545,0.876555954816,0.924855019195,0.917585784314,2.71973263251,11.8123205472,71.8208530916
random_repeated_kfold,log_epsilon_minus_one,Physical,7,6.35607900242,15.9849768106,0.294544647267,0.851801926011,0.921547006453,0.932904411765,2.93097260828,9.95842941688,71.2216353245
random_repeated_kfold,log_epsilon_minus_one,Physical,8,6.23243193745,16.1797795821,0.277245650804,0.894398803662,0.939965694683,0.921109068627,2.46371291397,11.1543326597,71.1720788414
random_repeated_kfold,log_epsilon_minus_one,Physical,9,6.19113885373,15.4849714718,0.337987284594,0.88040137741,0.932124479294,0.931678921569,2.68962837443,10.5724481284,67.8130490427
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,0,6.36203408778,16.2506751417,0.270897933386,0.891065557061,0.933104631218,0.919730392157,2.42756024837,11.6930030228,72.8647053487
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,1,6.43503387212,16.2927261267,0.26711973615,0.86838397532,0.926161888426,0.913449754902,2.68226911189,10.990692901,73.418921301
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,2,6.08859882137,15.6380794874,0.324831231925,0.892819825301,0.934084783141,0.942095588235,2.42977521305,10.7370989178,70.0066548475
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,3,6.35119575693,16.091046875,0.285151332619,0.880056074517,0.931389365352,0.919730392157,2.56384709045,11.1945258042,72.3027593396
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,4,5.95260712956,15.6092060742,0.327322129865,0.886453698609,0.937188597566,0.941942401961,2.4885349709,9.69118374121,70.9166117193
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,5,6.22884933708,15.7583814599,0.314403281531,0.885053661999,0.940210732664,0.937653186275,2.49453904792,10.9347871092,71.7239060996
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,6,6.51541590285,16.3604361487,0.261015607003,0.869749120941,0.924201584579,0.920802696078,2.60143298542,11.4440421435,75.186766997
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,7,6.21361668591,16.038939353,0.289773614987,0.85993973499,0.924936698522,0.930453431373,2.72325099572,9.65053979517,73.8866408971
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,8,6.33916877075,16.216520645,0.273959461009,0.875752342806,0.934084783141,0.919270833333,2.50590711381,10.9965140941,74.7332246803
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,9,6.24080907905,15.7730217413,0.313128786241,0.874230424952,0.930000816793,0.925704656863,2.61543697267,10.5757388342,71.3945269174
scaffold_cluster_5fold,raw,Morgan,42,9.23143849503,17.7306436855,0.132050381557,0.586949303046,0.769500939312,0.75612745098,5.66606108199,12.8883640004,77.3776085554
scaffold_cluster_5fold,raw,Physical,42,8.27652080731,16.4244577546,0.255220708175,0.744278420972,0.841787143674,0.907169117647,5.63288357835,11.2891566871,56.78339071
scaffold_cluster_5fold,raw,Morgan+Physical,42,7.88000084063,15.8647500829,0.305116527912,0.753199270002,0.84725965858,0.909926470588,5.12962065128,9.71331366868,67.0804996327
scaffold_cluster_5fold,log_epsilon_minus_one,Morgan,42,8.56650927758,17.8340188344,0.121900047117,0.61714529526,0.804092134281,0.784007352941,4.33870951024,14.5938780906,78.0198269124
