representation,repeat,fold,seed,train_count,test_count,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,model_params
Physical,0,4,46,189,47,7.34215202746,12.9997583509,0.583586290855,0.748771322443,0.945833333333,0.942307692308,4.41897407852,12.4916290474,40.8230360031,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":46,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,0,4,46,189,47,7.12348323304,13.2149088134,0.569688649753,0.815009684941,0.98125,0.974358974359,3.7346176092,12.4232820129,48.6183021545,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":46,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,1,0,47,188,48,5.33203312235,6.80539656297,0.708853440622,0.812174255022,0.952777777778,0.936507936508,4.44091579645,8.00538510005,nan,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":47,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,1,0,47,188,48,6.63921047172,10.0852987956,0.360585726937,0.729014574047,0.861111111111,0.968253968254,5.54228641458,9.92998264313,nan,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":47,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,1,0,47,188,48,5.18265864766,6.61155095695,0.725203316858,0.803213287673,0.916666666667,0.964285714286,4.82828449139,6.24578111649,nan,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":47,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,1,1,48,189,47,6.32660856677,11.1643772272,0.314306903356,0.795592010784,0.883333333333,0.863636363636,4.4126052969,9.89061004639,61.502730484,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":48,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,1,1,48,189,47,5.70599775428,9.18950647998,0.535436431099,0.871581383359,0.87619047619,0.939393939394,4.36131403627,10.0796597735,33.2513743591,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":48,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,1,1,48,189,47,5.43603194484,9.08693323069,0.545749465919,0.897600464062,0.9,0.94696969697,3.99636255198,8.04365765889,47.3770533752,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":48,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,1,2,49,189,47,6.89397047171,9.75113741212,0.407567314426,0.604626977277,0.845098039216,0.867857142857,5.58850767818,8.06882697741,37.1814273834,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":49,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,1,2,49,189,47,8.01909266021,11.9499479549,0.110265387332,0.694805007373,0.845098039216,0.846428571429,7.46884367179,9.88350733121,4.35458221436,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":49,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
