dataset,train_size,run,n_train_pool,n_test,train_id_hash,test_id_hash,mae,rmse,r2
v0.1,60,1,80,20,0f8191a4c336ead1ecf1bebb787b721c220cbfd7ea728d6af9d86aa509668dea,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.43223343393511,25.097512097192038,-0.08946908854226976
v0.1,60,2,80,20,54445c56ee0d4b46731a845af475b1f1f8229aa8162ecc3094fb800107ef3c28,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.299540034821192,25.92133161101284,-0.16216604926425715
v0.1,60,3,80,20,89f9e4a97465a23dd3b4e8c30f06332855343ca4afb0d272e87ef4d7f42eab7f,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.165798818087572,20.821284255597092,0.2501600162921169
v0.1,60,4,80,20,c27c78a450bd9476b8d69033308c6a4575802d865272b98ff199263b029a61ec,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.808293734468412,23.278471989229384,0.0627347676437483
v0.1,60,5,80,20,c888cad45e2ce0779459fdf23a6d1d753e74ee7a24e03a0fd8c3730f2492edc6,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.879533887102792,21.336085251028603,0.2126224207633569
v0.1,60,6,80,20,71c18c52c5622fca76bd8bde82d138e0b0a0ee6dceb9a8326be1d9e3a65094a8,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.610503168472572,21.38677301183567,0.20887685889905183
v0.1,60,7,80,20,767e69cf43e89974be72f4bda2a05ba42964611112c39299528ef27fba4ba59d,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.714755550352626,20.661489637885794,0.26162526564569577
v0.1,60,8,80,20,d2fcf172946f060e80d300b3ea104dc0512b907d0797c874ae0fa99f98fd12da,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.902467295653953,22.07000457992791,0.15752229899777426
v0.1,60,9,80,20,1259e89213642676f982f18eddf4e4a1a2748892f0e67ada871d3eda6eb570f7,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.625750439788401,20.891082365181674,0.24512429066576613
v0.1,80,0,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486287,21.082091324763127,0.2312573992274335
