selection_rank,selected_for_v02,selection_eligible,selection_exclusion,source_id,source_page,compound_name,formula,dielectric,t_C,T_K,source_quality,alpha_1e5,alpha_kind,valid_range_C,references,frequency_note,smiles,inchikey,molecular_formula,formula_match,resolution_source,resolved_name,max_tanimoto_solvfunc,al_round1_hit,carbon_count,hetero_count,polar_group_bonus,hazard_flags,stability_flags,priority_score,notes
11,true,true,,nbs514:p18:006,18,Acetone,C3H6O,20.70,25,298.15,four_figures,205.000,alpha,"-60,40","156,185,240,274 [112,207]",,CC(C)=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,C3H6O,true,pubchem,Acetone,0.000000,false,3,1,1,,,15.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
12,true,true,,nbs514:p22:002,22,Ethyl ether,C4H10O,4.335,20,293.15,four_figures,2000.0,a,at 20,"12,35,62,96,251",,CCOCC,RTZKZFJDLAIYFH-UHFFFAOYSA-N,C4H10O,true,pubchem,Ethyl ether,0.000000,false,4,1,1,,,15.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
13,true,true,,nbs514:p23:020,23,2-Pentanone,C5H10O,15.45,20,293.15,four_figures,195,alpha,-40 to 80,"240 [7,84]",,CCCC(C)=O,XNLICIUVMPYHGG-UHFFFAOYSA-N,C5H10O,true,pubchem,2-Pentanone,0.000000,false,5,1,1,,,15.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
14,true,true,,nbs514:p23:021,23,3-Pentanone,C5H10O,17.00,20,293.15,four_figures,225,alpha,0 to 80,"240 [7,84]",,CCC(=O)CC,FDPIMTJIUBPUKL-UHFFFAOYSA-N,C5H10O,true,pubchem,3-Pentanone,0.000000,false,5,1,1,,,15.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
15,true,true,,nbs514:p28:015,28,4-Methyl-2-pentanone,C6H12O,13.11,20,293.15,four_figures,210,alpha,-20 to 100,240,,CC(=O)CC(C)C,NTIZESTWPVYFNL-UHFFFAOYSA-N,C6H12O,true,pubchem,4-Methyl-2-pentanone,0.000000,false,6,1,1,,,15.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
16,true,true,,nbs514:p30:004,30,Benzonitrile,C7H5N,25.20,25,298.15,four_figures,157,alpha,0 to 25,"85,138 [194]",,N#Cc1ccccc1,JFDZBHWFFUWGJE-UHFFFAOYSA-N,C7H5N,true,pubchem,Benzonitrile,0.000000,false,7,1,1,,,15.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
17,true,true,,nbs514:p14:009,14,Trifluoroacetic acid,C2HF3O2,39.5,20,293.15,three_figures,-50000,a,"0,28",297,,O=C(O)C(F)(F)F,DTQVDTLACAAQTR-UHFFFAOYSA-N,C2HF3O2,true,pubchem,Trifluoroacetic acid,0.000000,false,2,5,1,,,13.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
18,true,true,,nbs514:p25:004,25,Xylitol,C5H12O5,40.0,20,293.15,three_figures,,,,"131,142",,OC[C@@H](O)C(O)[C@@H](O)CO,HEBKCHPVOIAQTA-NGQZWQHPSA-N,C5H12O5,true,pubchem,Xylitol,0.000000,false,5,5,1,,,13.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
19,true,true,,nbs514:p22:007,22,Ethyl sulfite,C4H10O3S,15.9,20,293.15,three_figures,,,,26,,CCOS(=O)OCC,NVJBFARDFTXOTO-UHFFFAOYSA-N,C4H10O3S,true,pubchem,Ethyl sulfite,0.000000,false,4,4,1,,,13.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
20,true,true,,nbs514:p29:004,29,Paraldehyde,C6H12O3,13.9,25,298.15,three_figures,,,,"41 [17,26]",,CC1OC(C)OC(C)O1,SQYNKIJPMDEDEG-UHFFFAOYSA-N,C6H12O3,true,pubchem,Paraldehyde,0.000000,false,6,3,1,,,12.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
