scenario,qid,size,singleton,n_ring,n_acyclic,unique_inchikeys,pair_capacity,smiles_examples
scaffold_butina_qid,acyclic_cluster:56,1,True,0,1,1,0,CCOC(C)OCC
scaffold_butina_qid,acyclic_cluster:57,1,True,0,1,1,0,CC#N
scaffold_butina_qid,acyclic_cluster:58,1,True,0,1,1,0,COC
scaffold_butina_qid,acyclic_cluster:59,1,True,0,1,1,0,CCC#N
scaffold_butina_qid,acyclic_cluster:6,4,False,0,4,4,6,CCCCO;OCCO;OCCCO
scaffold_butina_qid,acyclic_cluster:60,1,True,0,1,1,0,C/C=C/C#N
scaffold_butina_qid,acyclic_cluster:61,1,True,0,1,1,0,CCC(C)(C)O
scaffold_butina_qid,acyclic_cluster:62,1,True,0,1,1,0,CC(C)OC(C)C
scaffold_butina_qid,acyclic_cluster:63,1,True,0,1,1,0,S=C=S
scaffold_butina_qid,acyclic_cluster:64,1,True,0,1,1,0,C=C(C)CC
scaffold_butina_qid,acyclic_cluster:65,1,True,0,1,1,0,C[Si](C)(C)O[Si](C)(C)C
scaffold_butina_qid,acyclic_cluster:66,1,True,0,1,1,0,NCCN
scaffold_butina_qid,acyclic_cluster:67,1,True,0,1,1,0,CNC
scaffold_butina_qid,acyclic_cluster:68,1,True,0,1,1,0,CN(C)C
scaffold_butina_qid,acyclic_cluster:69,1,True,0,1,1,0,CCCCS
scaffold_butina_qid,acyclic_cluster:7,4,False,0,4,4,6,ClCCCl;ClCCCCl;ClCCCCCl
scaffold_butina_qid,acyclic_cluster:70,1,True,0,1,1,0,CCSCC
scaffold_butina_qid,acyclic_cluster:71,1,True,0,1,1,0,CCC(C)(C)F
scaffold_butina_qid,acyclic_cluster:72,1,True,0,1,1,0,CCN(CC)CC
scaffold_butina_qid,acyclic_cluster:73,1,True,0,1,1,0,C=CC
scaffold_butina_qid,acyclic_cluster:74,1,True,0,1,1,0,C=CC(=C)C
scaffold_butina_qid,acyclic_cluster:75,1,True,0,1,1,0,C=C(C)C=CC
scaffold_butina_qid,acyclic_cluster:76,1,True,0,1,1,0,C=C/C(C)=C/C
scaffold_butina_qid,acyclic_cluster:77,1,True,0,1,1,0,C=CC=C(C)C
scaffold_butina_qid,acyclic_cluster:78,1,True,0,1,1,0,C=C(C)C(=C)C
scaffold_butina_qid,acyclic_cluster:79,1,True,0,1,1,0,CCCC=C(C)C
scaffold_butina_qid,acyclic_cluster:8,3,False,0,3,3,3,C=CC(=O)OC;C=CC(=O)OCCCC;C=CC(=O)OCC
scaffold_butina_qid,acyclic_cluster:80,1,True,0,1,1,0,FC(F)(F)COCC(F)(F)F
scaffold_butina_qid,acyclic_cluster:81,1,True,0,1,1,0,ClCCOCCCl
scaffold_butina_qid,acyclic_cluster:82,1,True,0,1,1,0,CC(Cl)CCl
scaffold_butina_qid,acyclic_cluster:9,3,False,0,3,3,3,CC(O)CO;CC(C)CO;CC(C)CCO
scaffold_butina_qid,ring:C1=CCCCC1,1,True,1,0,1,0,C1=CCCCC1
scaffold_butina_qid,ring:C1CC1,1,True,1,0,1,0,CCC1CC1
scaffold_butina_qid,ring:C1CCC1,1,True,1,0,1,0,CCC1CCC1
scaffold_butina_qid,ring:C1CCCC1,3,False,3,0,3,3,OC1CCCC1;C1CCCC1;CC1CCCC1
scaffold_butina_qid,ring:C1CCCCC1,6,False,6,0,6,15,OC1CCCCC1;CC1CCCCC1;C1CCCCC1
scaffold_butina_qid,ring:C1CCOC1,2,False,2,0,2,1,C1CCOC1;CC1CCCO1
scaffold_butina_qid,ring:C1CC[NH2+]C1,2,False,2,0,2,1,CCCC[N+]1(C)CCCC1.N#C[N-]C#N;CCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
scaffold_butina_qid,ring:C1COCCN1,1,True,1,0,1,0,C1COCCN1
scaffold_butina_qid,ring:C1COCCO1,1,True,1,0,1,0,C1COCCO1
scaffold_butina_qid,ring:C1COCCOCCOCCO1,1,True,1,0,1,0,C1COCCOCCOCCO1
scaffold_butina_qid,ring:C1COCCOCCOCCOCCO1,1,True,1,0,1,0,C1COCCOCCOCCOCCO1
scaffold_butina_qid,ring:C1COCO1,1,True,1,0,1,0,C1COCO1
scaffold_butina_qid,ring:C1OCOCO1,1,True,1,0,1,0,CC1OC(C)OC(C)O1
scaffold_butina_qid,ring:O=C1CCC1,1,True,1,0,1,0,O=C1CCC1
scaffold_butina_qid,ring:O=C1CCCC1,1,True,1,0,1,0,O=C1CCCC1
scaffold_butina_qid,ring:O=C1CCCCC1,4,False,4,0,4,6,O=C1CCCCC1;CC1CCCCC1=O;CC1CCCC(=O)C1
scaffold_butina_qid,ring:O=C1CCCCCC1,1,True,1,0,1,0,O=C1CCCCCC1
scaffold_butina_qid,ring:O=C1CCCCCCC1,1,True,1,0,1,0,O=C1CCCCCCC1
scaffold_butina_qid,ring:O=C1CCCN1,1,True,1,0,1,0,CN1CCCC1=O
