inchikey,name,resolved_smiles,resolution_status,resolution_source,pubchem_cid,pubchem_formula,thermoml_formula,rdkit_formula,formula_check,inchikey_roundtrip,thermoml_formula_match,in_roster,roster_smiles,roster_smiles_match,has_v11_rows,n_v11_rows,v11_absence_reason,n_accepted_lowfreq_rows,lowfreq_gates,temperature_min_K,temperature_max_K,temperature_span_K,has_frozen_physical_features,needs_xtb,needs_manual_review,source_url,notes
QTBFPMKWQKYFLR-UHFFFAOYSA-N,1-chloro-2-methylpropane,CC(C)CCl,resolved,pubchem,10554,C4H9Cl,C4H9Cl,C4H9Cl,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,3,accepted_extended_lowfreq,283.15,313.15,30,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/QTBFPMKWQKYFLR-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=81;zero_freq=0(pure=0,mixture=0);freq_dep_pure=3;pure_freqs_mhz=2;structurally_ready_but_not_admitted_to_the_v11_table"
SNRUBQQJIBEYMU-UHFFFAOYSA-N,dodecane,CCCCCCCCCCCC,resolved,pubchem,8182,C12H26,C12H26,C12H26,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,7,accepted_primary_lowfreq,288.15,328.15,40,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/SNRUBQQJIBEYMU-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=371;zero_freq=0(pure=0,mixture=0);freq_dep_pure=10;pure_freqs_mhz=1;structurally_ready_but_not_admitted_to_the_v11_table"
UAGJVSRUFNSIHR-UHFFFAOYSA-N,methyl levulinate,CC(=O)CCC(=O)OC,resolved,pubchem,69354,C6H10O3,C6H10O3,C6H10O3,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,25,accepted_extended_lowfreq,278.15,338.15,60,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/UAGJVSRUFNSIHR-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=25;zero_freq=0(pure=0,mixture=0);freq_dep_pure=25;pure_freqs_mhz=2;structurally_ready_but_not_admitted_to_the_v11_table"
UHOVQNZJYSORNB-UHFFFAOYSA-N,Benzene,C1=CC=CC=C1,resolved,pubchem,241,C6H6,C6H6,C6H6,match,match,match,true,c1ccccc1,match,false,0,roster_value_source_absent_from_thermoml_raw:10.6028/nbs.circ.514|thermoml_zero_frequency_rows_are_all_mixtures,1,accepted_primary_lowfreq,293.15,293.15,0,true,false,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/UHOVQNZJYSORNB-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","thermoml_rows=56;zero_freq=45(pure=0,mixture=45);freq_dep_pure=1;pure_freqs_mhz=0.01;frozen_physical_features_present;structurally_ready_but_not_admitted_to_the_v11_table"
UJPMYEOUBPIPHQ-UHFFFAOYSA-N,"1,1,1-trifluoroethane",CC(F)(F)F,resolved,pubchem,9868,C2H3F3,C2H3F3,C2H3F3,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_zero_frequency_rows_are_all_mixtures,42,accepted_primary_lowfreq,218.12,294.12,76,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/UJPMYEOUBPIPHQ-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=388;zero_freq=126(pure=0,mixture=126);freq_dep_pure=262;pure_freqs_mhz=0.01,0.06;structurally_ready_but_not_admitted_to_the_v11_table"
VFWCMGCRMGJXDK-UHFFFAOYSA-N,1-chlorobutane,CCCCCl,resolved,pubchem,8005,C4H9Cl,C4H9Cl,C4H9Cl,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,3,accepted_extended_lowfreq,283.15,313.15,30,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/VFWCMGCRMGJXDK-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=81;zero_freq=0(pure=0,mixture=0);freq_dep_pure=3;pure_freqs_mhz=2;structurally_ready_but_not_admitted_to_the_v11_table"
VLKZOEOYAKHREP-UHFFFAOYSA-N,n-Hexane,CCCCCC,resolved,pubchem,8058,C6H14,C6H14,C6H14,match,match,match,true,CCCCCC,match,false,0,roster_value_source_absent_from_thermoml_raw:10.6028/nbs.circ.514|thermoml_has_no_zero_frequency_rows,5,accepted_extended_lowfreq;accepted_primary_lowfreq,283.15,313.15,30,true,false,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/VLKZOEOYAKHREP-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","thermoml_rows=201;zero_freq=0(pure=0,mixture=0);freq_dep_pure=6;pure_freqs_mhz=1,2;frozen_physical_features_present;structurally_ready_but_not_admitted_to_the_v11_table"
VQKFNUFAXTZWDK-UHFFFAOYSA-N,2-methylfuran,CC1=CC=CO1,resolved,pubchem,10797,C5H6O,C5H6O,C5H6O,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,25,accepted_extended_lowfreq,278.15,338.15,60,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/VQKFNUFAXTZWDK-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=25;zero_freq=0(pure=0,mixture=0);freq_dep_pure=25;pure_freqs_mhz=2;structurally_ready_but_not_admitted_to_the_v11_table"
VZGDMQKNWNREIO-UHFFFAOYSA-N,tetrachloromethane,C(Cl)(Cl)(Cl)Cl,resolved,pubchem,5943,CCl4,CCl4,CCl4,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_zero_frequency_rows_are_all_mixtures,1,accepted_primary_lowfreq,293.15,293.15,0,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/VZGDMQKNWNREIO-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=94;zero_freq=88(pure=0,mixture=88);freq_dep_pure=1;pure_freqs_mhz=0.01;structurally_ready_but_not_admitted_to_the_v11_table"
WEHWNAOGRSTTBQ-UHFFFAOYSA-N,dipropylamine,CCCNCCC,resolved,pubchem,8902,C6H15N,C6H15N,C6H15N,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,3,accepted_primary_lowfreq,293.15,303.15,10,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/WEHWNAOGRSTTBQ-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=54;zero_freq=0(pure=0,mixture=0);freq_dep_pure=3;pure_freqs_mhz=1;structurally_ready_but_not_admitted_to_the_v11_table"
WERYXYBDKMZEQL-UHFFFAOYSA-N,"1,4-Butanediol",C(CCO)CO,resolved,pubchem,8064,C4H10O2,C4H10O2,C4H10O2,match,match,match,true,OCCCCO,match,false,0,roster_value_source_absent_from_thermoml_raw:10.6028/nbs.circ.514|thermoml_has_no_zero_frequency_rows,4,accepted_primary_lowfreq,298.15,318.15,20,true,false,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/WERYXYBDKMZEQL-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","thermoml_rows=89;zero_freq=0(pure=0,mixture=0);freq_dep_pure=4;pure_freqs_mhz=0.1;frozen_physical_features_present;structurally_ready_but_not_admitted_to_the_v11_table"
WEVYAHXRMPXWCK-UHFFFAOYSA-N,Acetonitrile,CC#N,resolved,pubchem,6342,C2H3N,C2H3N,C2H3N,match,match,match,true,CC#N,match,false,0,roster_value_source_absent_from_thermoml_raw:10.6028/nbs.circ.514|thermoml_has_no_zero_frequency_rows,10,accepted_primary_lowfreq,288.15,333.15,45,true,false,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/WEVYAHXRMPXWCK-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","thermoml_rows=121;zero_freq=0(pure=0,mixture=0);freq_dep_pure=11;pure_freqs_mhz=0.01,1;frozen_physical_features_present;structurally_ready_but_not_admitted_to_the_v11_table"
XNWFRZJHXBZDAG-UHFFFAOYSA-N,2-Methoxyethanol,COCCO,resolved,pubchem,8019,C3H8O2,C3H8O2,C3H8O2,match,match,match,true,COCCO,match,false,0,roster_value_source_absent_from_thermoml_raw:10.6028/nbs.circ.514|thermoml_has_no_zero_frequency_rows,5,accepted_extended_lowfreq,293.15,313.15,20,true,false,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/XNWFRZJHXBZDAG-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","thermoml_rows=266;zero_freq=0(pure=0,mixture=0);freq_dep_pure=9;pure_freqs_mhz=3;frozen_physical_features_present;structurally_ready_but_not_admitted_to_the_v11_table"
YLQBMQCUIZJEEH-UHFFFAOYSA-N,Furan,C1=COC=C1,resolved,pubchem,8029,C4H4O,C4H4O,C4H4O,match,match,match,true,c1ccoc1,match,false,0,roster_value_source_absent_from_thermoml_raw:10.6028/nbs.circ.514|thermoml_has_no_zero_frequency_rows,11,accepted_extended_lowfreq,278.15,303.15,25,true,false,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/YLQBMQCUIZJEEH-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","thermoml_rows=11;zero_freq=0(pure=0,mixture=0);freq_dep_pure=11;pure_freqs_mhz=2;frozen_physical_features_present;structurally_ready_but_not_admitted_to_the_v11_table"
ZNQVEEAIQZEUHB-UHFFFAOYSA-N,2-ethoxyethan-1-ol,CCOCCO,resolved,pubchem,8076,C4H10O2,C4H10O2,C4H10O2,match,match,match,false,,no_roster_smiles,false,0,not_in_roster|thermoml_has_no_zero_frequency_rows,5,accepted_extended_lowfreq,293.15,313.15,20,false,true,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ZNQVEEAIQZEUHB-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","candidate_table_smiles_empty;thermoml_rows=80;zero_freq=0(pure=0,mixture=0);freq_dep_pure=5;pure_freqs_mhz=3;structurally_ready_but_not_admitted_to_the_v11_table"
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,2-Butanone,CCC(=O)C,resolved,pubchem,6569,C4H8O,C4H8O,C4H8O,match,match,match,true,CCC(C)=O,match,false,0,roster_value_source_absent_from_thermoml_raw:10.6028/nbs.circ.514|thermoml_has_no_zero_frequency_rows,4,accepted_primary_lowfreq,298.15,318.2,20.05,true,false,false,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ZWEHNKRNPOVVGH-UHFFFAOYSA-N/property/SMILES,ConnectivitySMILES,MolecularFormula/JSON","thermoml_rows=92;zero_freq=0(pure=0,mixture=0);freq_dep_pure=4;pure_freqs_mhz=0.01,0.1;frozen_physical_features_present;structurally_ready_but_not_admitted_to_the_v11_table"
