model,train_size,run,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
MorganRBFGPR,40,1,40,20,f3b3508f5541468a7a20728b67bccf64caf2edded8637fb2f01ea16c27806b57,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.173206115763202,24.829959363111147,-0.06636427152064583
DummyMean,40,2,40,20,7be8c030b744f0bd3195726619e06acb2d3bafedc80b3aa645a6eb332fcf9225,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.664268,24.612915069887094,-0.04780308860689719
SizeOnlyRidge,40,2,40,20,7be8c030b744f0bd3195726619e06acb2d3bafedc80b3aa645a6eb332fcf9225,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.162766228723605,23.943563972425416,0.00841223761226706
MorganRBFGPR,40,2,40,20,7be8c030b744f0bd3195726619e06acb2d3bafedc80b3aa645a6eb332fcf9225,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.3794523319142,20.601057031834557,0.2659382801580683
DummyMean,40,3,40,20,2ef4de1fcb17a29cc10d6581c161d86c0da6cfb1fa0263d192ef9df6b41b7488,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.35511,24.11241351823527,-0.005622389565931751
SizeOnlyRidge,40,3,40,20,2ef4de1fcb17a29cc10d6581c161d86c0da6cfb1fa0263d192ef9df6b41b7488,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.462332267255647,23.42085832764789,0.05123384869880321
MorganRBFGPR,40,3,40,20,2ef4de1fcb17a29cc10d6581c161d86c0da6cfb1fa0263d192ef9df6b41b7488,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.615192692302827,21.061073759159537,0.2327894146211762
DummyMean,40,4,40,20,79027a0c596b0739427d706e7c3d13bfed9a0f9c3750365952978629773130a8,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.52543125,24.063726060245514,-0.0015654114525132101
SizeOnlyRidge,40,4,40,20,79027a0c596b0739427d706e7c3d13bfed9a0f9c3750365952978629773130a8,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.489244696860645,23.499885063823584,0.044820387107904924
MorganRBFGPR,40,4,40,20,79027a0c596b0739427d706e7c3d13bfed9a0f9c3750365952978629773130a8,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.118113747517967,22.42295465065966,0.1303605248938121
DummyMean,60,0,60,20,de749e9ca44c83400e9081c3af5809bc77c84780e1adbb8e9caed42e11b9a12c,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.530391833333333,24.764525903417624,-0.060751377544413954
SizeOnlyRidge,60,0,60,20,de749e9ca44c83400e9081c3af5809bc77c84780e1adbb8e9caed42e11b9a12c,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.035678708388517,24.19278010167267,-0.012337032161721995
MorganRBFGPR,60,0,60,20,de749e9ca44c83400e9081c3af5809bc77c84780e1adbb8e9caed42e11b9a12c,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.719136988791638,21.60176168099019,0.1928915224531902
DummyMean,60,1,60,20,c4a6704af19ad00ebc0799e7b43f407ecb3ce2e4af11a7d5d6248563e586210c,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.809299499999998,24.46828362660285,-0.03552498061270071
SizeOnlyRidge,60,1,60,20,c4a6704af19ad00ebc0799e7b43f407ecb3ce2e4af11a7d5d6248563e586210c,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.1288846622946,23.882914821796,0.013429267617977803
MorganRBFGPR,60,1,60,20,c4a6704af19ad00ebc0799e7b43f407ecb3ce2e4af11a7d5d6248563e586210c,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.809299499999998,24.46828362660285,-0.03552498061270071
DummyMean,60,2,60,20,54030b128f40b05313ed0014c0bc24df1c20d2b0701b27db4be18f099bab94f7,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.313951333333332,24.12867395343321,-0.006979148913317523
SizeOnlyRidge,60,2,60,20,54030b128f40b05313ed0014c0bc24df1c20d2b0701b27db4be18f099bab94f7,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.54733731588066,23.508781993228137,0.04409699852610949
MorganRBFGPR,60,2,60,20,54030b128f40b05313ed0014c0bc24df1c20d2b0701b27db4be18f099bab94f7,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.119940654123297,20.720483002663435,0.2574027824989844
DummyMean,60,3,60,20,70132567fd35ec8a7503e708b2648e00ed07e8b4cc6c63ca6ed022092461740d,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.151249166666666,24.20997677721196,-0.013776719429162698
SizeOnlyRidge,60,3,60,20,70132567fd35ec8a7503e708b2648e00ed07e8b4cc6c63ca6ed022092461740d,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.402197565591173,23.587874339094025,0.03765414734482031
MorganRBFGPR,60,3,60,20,70132567fd35ec8a7503e708b2648e00ed07e8b4cc6c63ca6ed022092461740d,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.417211834896957,25.012590978149117,-0.08210880453471203
DummyMean,60,4,60,20,9480094d530fc699b5bc19f896dbe84f5f82a4f1f7996b28e7290e9918a4055a,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.293301500000002,24.13748887709596,-0.0077150422955740705
