arm,inchikey,name,epsilon_observed,onsager_epsilon,epsilon_pred,delta_true,delta_pred,signed_error,domain,failure_type
O1_structured_offset,KFUSEUYYWQURPO-OWOJBTEDSA-N,"trans-1,2-Dichloroethylene",2.14,1.11523574299,1,1.02476425701,-0.115235742988,1.14,none,nonphysical_prediction
O1_structured_offset,SDJHPPZKZZWAKF-UHFFFAOYSA-N,"2,3-dimethyl-1,3-butadiene",2.1,1.11340483275,1,0.986595167246,-0.113404832754,1.1,none,nonphysical_prediction
O1_structured_offset,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,1-heptene,2.05,1.25796293173,1,0.792037068272,-0.257962931728,1.05,none,nonphysical_prediction
O1_structured_offset,WSLDOOZREJYCGB-UHFFFAOYSA-N,"1,2-dichloroethane",10.7,1.10684367094,1,9.59315632906,-0.106843670944,9.7,none,nonphysical_prediction
R0_direct_regression,LZJIBRSVPKKOSI-UHFFFAOYSA-O,ethanolammonium nitrate,60.9,20.8289438764,39.9500003815,40.0710561236,19.1210565051,20.9499996185,both,high_epsilon_miss
R0_direct_regression,NEQXUPRFDXNNTA-UHFFFAOYSA-N,2-hydroxyethylammonium lactate,85.6,5.97933023131,39.3924777985,79.6206697687,33.4131475671,46.2075222015,assoc_only,high_epsilon_miss
R0_direct_regression,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-methylacetamide,178.47,5.9744908461,10.7719037056,172.495509154,4.7974128595,167.698096294,assoc_only,high_epsilon_miss
R0_direct_regression,SIXHYMZEOJSYQH-UHFFFAOYSA-M,1-butyl-3-methylimidazolium thiocyanate,13.7,27.3242655698,35.3398553848,-13.6242655698,8.01558981504,-21.6398553848,ionic_only,ionic_overprediction
R0_direct_regression,VVLAIYIMMFWRFW-UHFFFAOYSA-N,2-hydroxyethylammonium acetate,58.3,4.76933191054,33.5453565598,53.5306680895,28.7760246492,24.7546434402,assoc_only,assoc_underprediction
R0_direct_regression,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,78.87,40.4474006258,32.3034320831,38.4225993742,-8.14396854267,46.5665679169,assoc_only,high_epsilon_miss
R0_direct_regression,ZHNUHDYFZUAESO-UHFFFAOYSA-N,formamide,106.14,1.63244107371,30.8440382004,104.507558926,29.2115971267,75.2959617996,assoc_only,high_epsilon_miss
R1_direct_with_logg,LZJIBRSVPKKOSI-UHFFFAOYSA-O,ethanolammonium nitrate,60.9,20.8289438764,41.1520275116,40.0710561236,20.3230836352,19.7479724884,both,high_epsilon_miss
R1_direct_with_logg,NEQXUPRFDXNNTA-UHFFFAOYSA-N,2-hydroxyethylammonium lactate,85.6,5.97933023131,40.6319982529,79.6206697687,34.6526680216,44.9680017471,assoc_only,high_epsilon_miss
R1_direct_with_logg,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-methylacetamide,178.47,5.9744908461,12.2652431488,172.495509154,6.29075230271,166.204756851,assoc_only,high_epsilon_miss
R1_direct_with_logg,SIXHYMZEOJSYQH-UHFFFAOYSA-M,1-butyl-3-methylimidazolium thiocyanate,13.7,27.3242655698,81.7741491318,-13.6242655698,54.449883562,-68.0741491318,ionic_only,ionic_overprediction
R1_direct_with_logg,VVLAIYIMMFWRFW-UHFFFAOYSA-N,2-hydroxyethylammonium acetate,58.3,4.76933191054,15.301757431,53.5306680895,10.5324255205,42.998242569,assoc_only,assoc_underprediction
R1_direct_with_logg,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,78.87,40.4474006258,43.7685771942,38.4225993742,3.32117656841,35.1014228058,assoc_only,high_epsilon_miss
R1_direct_with_logg,ZHNUHDYFZUAESO-UHFFFAOYSA-N,formamide,106.14,1.63244107371,36.083164978,104.507558926,34.4507239043,70.056835022,assoc_only,high_epsilon_miss
R1_direct_with_logg,DTQVDTLACAAQTR-UHFFFAOYSA-N,Trifluoroacetic acid,39.5,28.7487569677,19.3946608543,10.7512430323,-9.35409611338,20.1053391457,assoc_only,assoc_underprediction
D0_delta_core,BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,1.98,1.10532080108,1,0.874679198919,-0.105320801081,0.98,none,nonphysical_prediction
D0_delta_core,HQWOEDCLDNFWEV-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium diethyl phosphate,16.9,96.6466343683,72.1421371919,-79.7466343683,-24.5044971764,-55.2421371919,ionic_only,ionic_overprediction
D0_delta_core,IMNFDUFMRHMDMM-UHFFFAOYSA-N,heptane,1.93,1.10583566295,1,0.82416433705,-0.10583566295,0.93,none,nonphysical_prediction
D0_delta_core,JYPJLAPMBJKRDG-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium butylsulfonate,30,153.401832604,140.407631111,-123.401832604,-12.9942014933,-110.407631111,ionic_only,ionic_overprediction
