arm,split_id,repeat,fold,fold_seed,train_count,n_test,n_assoc,n_ionic,n_gt60,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,mae_assoc,mae_ionic,mae_none,mae_both,bias_assoc,bias_ionic,bias_gt60,spearman_gt60,delta_sign_accuracy
O0_onsager,39,7,4,81,188,46,15,4,1,10.0409946587,20.0121957059,-0.5352856598,0.824349329309,0.845161290323,0.919413919414,6.53109388433,18.309632987,38.4225993742,17.0073451419,41.6494175133,3.53518622443,58.8073071673,6.65684965946,-38.7386206601,38.4225993742,,0.586956521739
O1_structured_offset,39,7,4,81,188,46,15,4,1,9.36693731591,18.6069341821,-0.327239669103,0.82721842675,0.929032258065,0.941391941392,6.8416674427,15.3156518904,29.7902526856,15.5812975259,45.3947523587,3.42955645857,80.446936631,-2.84264921418,-32.6447523587,29.7902526856,,0.565217391304
R0_direct_regression,39,7,4,81,188,46,15,4,1,6.00529174456,10.1513880119,0.604951363994,0.869495499372,0.935483870968,0.937728937729,4.58367864025,6.54247001648,48.4311763,9.90759475199,1.48384923935,4.41137809454,1.8244846344,-0.129268091838,-0.57160692215,48.4311763,,0.826086956522
R1_direct_with_logg,39,7,4,81,188,46,15,4,1,5.37139154625,8.88048107709,0.697675949788,0.896770814683,0.961290322581,0.945054945055,3.92712816721,7.17030258179,34.6883250427,10.2711441269,3.54550104141,3.03281530966,6.08398361206,-2.85831046295,-3.40410165787,34.6883250427,,0.826086956522
D0_delta_core,39,7,4,81,188,46,15,4,1,7.36107580339,12.3865987499,0.41182867253,0.887751660384,0.959139784946,0.945054945055,6.8037833912,7.80132178772,21.4663119902,11.4971502585,26.0845018795,3.33285973076,31.5058469012,-7.29889877143,-15.3489668444,21.4663119902,,0.586956521739
D1_delta_core_morgan,39,7,4,81,188,46,15,4,1,7.46331623663,15.993975708,0.019353291686,0.861893753585,0.948387096774,0.96336996337,7.32589813157,5.0179040259,39.0350661267,8.80241362696,29.2484528925,3.45484911414,2.45324428529,-0.736641743806,-15.2718307498,39.0350661267,,0.586956521739
D2_delta_log,39,7,4,81,188,46,15,4,1,11.7794647624,23.5299323869,-1.12246759943,0.8805970166,0.920430107527,0.915750915751,8.84245092934,17.4760745589,48.9752273237,22.3783844954,37.529205267,4.48105823187,69.4068399226,-20.0475401944,-30.000272946,-48.9752273237,,0.760869565217
D3_delta_leaky,39,7,4,81,188,46,15,4,1,7.21215500764,12.2267289597,0.426913364626,0.823757979853,0.913978494624,0.956043956044,5.16706883689,11.2541752411,32.282862245,12.0115775002,5.77442944908,4.85651343478,7.49462612123,-5.29314956171,5.77442944908,32.282862245,,0.760869565217
O0_onsager,40,8,0,82,187,47,8,1,1,9.01030322118,26.5250829588,0.0256722081296,0.7870255272,0.831168831169,0.875,3.57129620709,11.4539431812,172.495509154,33.4765481901,13.6242655698,3.73809474488,,33.4765481901,-13.6242655698,172.495509154,,0.553191489362
O1_structured_offset,40,8,0,82,187,47,8,1,1,7.74191107698,24.8211495463,0.146830402123,0.875639809142,0.963203463203,0.953571428571,3.32140935186,7.57684339657,164.275215941,27.2448421904,8.08226511379,3.62707415741,,25.2562549769,8.08226511379,164.275215941,,0.617021276596
R0_direct_regression,40,8,0,82,187,47,8,1,1,8.02446279266,25.4642166378,0.102049845104,0.828307941718,0.974025974026,0.889285714286,3.1657250751,8.92149336381,168.212946625,24.7115842485,8.32094650269,4.50358238853,,20.2775607634,-8.32094650269,168.212946625,,0.787234042553
R1_direct_with_logg,40,8,0,82,187,47,8,1,1,7.48568434683,24.877399316,0.14295910909,0.863386975155,0.97619047619,0.946428571429,2.71305844645,8.28542621266,165.730430336,27.2410733747,5.13485221863,3.38851908117,,18.548245244,-5.13485221863,165.730430336,,0.787234042553
D0_delta_core,40,8,0,82,187,47,8,1,1,7.56994998962,25.0088669162,0.133876903594,0.836644277152,0.971861471861,0.971428571429,3.46852011822,6.13319523259,166.924297816,25.8249550454,12.7,3.59178971444,,20.4275944781,12.7,166.924297816,,0.574468085106
D1_delta_core_morgan,40,8,0,82,187,47,8,1,1,7.35610842561,25.189960619,0.121287982497,0.849629211645,0.967532467532,0.964285714286,3.19758188806,5.93031272176,168.588289982,25.3929324904,12.7,3.41825358106,,21.5130283486,12.7,168.588289982,,0.595744680851
D2_delta_log,40,8,0,82,187,47,8,1,1,9.7726536491,27.0751905691,-0.0151603179347,0.795871758882,0.904761904762,0.925,3.51890679122,15.0139706932,170.99930619,34.4713582381,4.3732874634,4.71501495104,,13.9032625709,4.3732874634,170.99930619,,0.808510638298
D3_delta_leaky,40,8,0,82,187,47,8,1,1,7.72822300182,25.2232182487,0.118966170956,0.88629990497,0.978354978355,0.953571428571,2.43170176098,10.2683067256,165.16554547,31.0685453407,2.23287572299,2.95908533254,,14.7656662416,-2.23287572299,165.16554547,,0.787234042553
O0_onsager,41,8,1,83,187,47,13,3,2,10.182491162,22.3823908897,-0.201263203438,0.737395929695,0.794117647059,0.782142857143,5.96834563061,19.3826202177,71.4650791502,18.0495638347,30.7228047344,4.8428919801,3.20820280365,17.7721962013,-28.5840028653,71.4650791502,,0.553191489362
O1_structured_offset,41,8,1,83,187,47,13,3,2,9.59584423057,19.7705348406,0.0627357363329,0.803693874539,0.825791855204,0.85,6.1651047798,15.8678647597,62.5305819231,17.9111987876,26.6743932345,4.70975760065,12.5763283255,10.2455930318,-16.3784506448,62.5305819231,,0.617021276596
R0_direct_regression,41,8,1,83,187,47,13,3,2,7.11299679585,15.1657804434,0.448488273839,0.895929694727,0.977375565611,0.985714285714,3.18897201599,15.1614766388,65.4722927856,14.3245105943,7.23978697459,4.05840933185,3.49624786377,9.72906378291,4.09690074921,65.4722927856,,0.851063829787
R1_direct_with_logg,41,8,1,83,187,47,13,3,2,6.11836746645,14.4883319937,0.496659356263,0.896380253479,0.984162895928,0.953571428571,2.25850152902,16.6921792297,56.8811568069,14.0248497338,6.87124239604,2.70523940097,1.94116363525,11.3593342273,2.46276105245,56.8811568069,,0.851063829787
D0_delta_core,41,8,1,83,187,47,13,3,2,9.09845753764,17.6678037006,0.251502502376,0.762914765899,0.803167420814,0.810714285714,5.40447342952,20.6490850474,54.1015709258,15.145548623,32.6465423996,4.69361703037,17.4,12.1374282402,1.62012426709,54.1015709258,,0.574468085106
D1_delta_core_morgan,41,8,1,83,187,47,13,3,2,9.37180572494,19.2986721761,0.106941147482,0.731528287856,0.803167420814,0.803571428571,5.37366475286,18.5602662827,66.3634737721,16.0514636612,36.4848354751,4.36722922035,17.4,13.6788225753,-2.21816880847,66.3634737721,,0.63829787234
D2_delta_log,41,8,1,83,187,47,13,3,2,10.329513195,23.0930567592,-0.278757129386,0.788968547641,0.843891402715,0.8,6.25231029235,17.1574892067,74.8036312199,17.6404728645,35.805421542,4.8245966575,5.64238473755,7.65290979775,-21.8963274894,28.2765632244,,0.68085106383
D3_delta_leaky,41,8,1,83,187,47,13,3,2,6.16419374842,12.3856616946,0.632156023472,0.868061979648,0.952488687783,0.960714285714,3.12489995145,14.1553168765,46.9722618676,12.9513811721,10.6575359241,3.06829844905,8.80900720306,9.04635969502,-2.86052264068,46.9722618676,,0.914893617021
O0_onsager,42,8,2,84,187,47,12,8,1,10.6069364734,23.738455261,-2.87232402106,0.751431050692,0.859523809524,0.847619047619,7.01999266337,23.9619046148,40.0710561236,11.3234115414,37.3484682952,3.71172805415,40.0710561236,10.10383004,-25.2456446662,40.0710561236,,0.489361702128
O1_structured_offset,42,8,2,84,187,47,12,8,1,8.95864502438,19.4541504036,-1.60070635806,0.615005475219,0.911904761905,0.77619047619,5.73173682767,17.9187895868,59.9,9.80052375882,32.9562978656,3.56070171841,59.9,3.47996737119,-5.48129786555,59.9,,0.659574468085
R0_direct_regression,42,8,2,84,187,47,12,8,1,6.11712492854,8.14515871685,0.544103892774,0.798323216136,0.880952380952,0.966666666667,5.18086495364,9.00286355019,18.6090950012,8.89798485438,9.11423459053,4.51515255948,18.6090950012,-4.21617328008,-2.2364464283,18.6090950012,,0.765957446809
R1_direct_with_logg,42,8,2,84,187,47,12,8,1,5.70898023926,8.40259618247,0.514830193166,0.855631057144,0.919047619048,0.985714285714,4.62451553791,8.34577817917,25.8242553711,10.4755465317,10.9405685902,2.88982926839,25.8242553711,-6.17150396983,-2.38888697624,25.8242553711,,0.808510638298
D0_delta_core,42,8,2,84,187,47,12,8,1,10.2064853676,23.2398580907,-2.71136548593,0.764859699597,0.990476190476,0.952380952381,6.96403146756,24.4118625652,19.77671599,10.0888074997,35.673928861,3.32230026373,19.77671599,-6.30096336152,-19.057075473,19.77671599,,0.63829787234
D1_delta_core_morgan,42,8,2,84,187,47,12,8,1,10.2661740992,22.3052461205,-2.4188560905,0.764718371711,0.933333333333,0.919047619048,6.74705981122,23.6169142108,37.1865961512,10.4563576158,37.8587038997,3.26253057957,37.1865961512,-2.48786224868,-19.3120548619,37.1865961512,,0.702127659574
D2_delta_log,42,8,2,84,187,47,12,8,1,14.2939517469,40.2254054674,-10.1190489447,0.777565771754,0.980952380952,0.933333333333,6.68486985111,49.4056885827,22.5451691014,23.3637905916,37.3770167382,4.10640286435,22.5451691014,-20.4265236463,-29.6239198264,-22.5451691014,,0.68085106383
D3_delta_leaky,42,8,2,84,187,47,12,8,1,7.46908608088,12.8232215173,-0.129954797411,0.823937555584,0.92619047619,0.947619047619,5.05854011153,16.7518510372,24.8077132663,10.2462782487,18.8285528336,3.65253562193,24.8077132663,-4.54894890334,-12.6266245171,24.8077132663,,0.851063829787
O0_onsager,43,8,3,85,187,47,19,5,1,16.1958978799,30.4532952436,-2.62971657857,0.435212489886,0.689516129032,0.573170731707,12.098032487,23.4686721401,79.6206697687,19.8174118974,65.2611971813,4.88240398197,58.8073071673,12.5109129898,-65.2611971813,79.6206697687,,0.574468085106
O1_structured_offset,43,8,3,85,187,47,19,5,1,14.2032102476,28.0563167823,-2.08081373705,0.594825768137,0.775201612903,0.735772357724,10.7071177238,20.1434499819,71.2238115059,16.4618302572,64.4311712018,4.71113280727,80.446936631,3.4170667691,-59.9940981158,71.2238115059,,0.702127659574
R0_direct_regression,43,8,3,85,187,47,19,5,1,6.61770041023,10.5260910461,0.566350975858,0.73940445339,0.870967741935,0.914634146341,4.10083472421,10.8370889906,48.2947250366,10.3340300871,5.15269630432,3.8555276343,3.61079711914,4.90474959524,-5.15269630432,48.2947250366,,0.872340425532
R1_direct_with_logg,43,8,3,85,187,47,19,5,1,5.73718010687,8.91304295299,0.68907465278,0.754192205389,0.909274193548,0.963414634146,4.20285640155,7.99560445352,34.59584198,8.13946648849,5.18149745941,3.73346380568,0.513016891479,-0.149021775095,-4.0510817337,34.59584198,,0.872340425532
D0_delta_core,43,8,3,85,187,47,19,5,1,12.5455334362,26.8353506656,-1.81850414947,0.679841523349,0.850806451613,0.90243902439,9.97000084806,17.1466438871,52.0769590601,13.3926929623,60.7857636466,4.0118606937,65.0345696643,0.544121560826,-49.8257636466,52.0769590601,,0.68085106383
D1_delta_core_morgan,43,8,3,85,187,47,19,5,1,12.348666654,26.0198327889,-1.64980021969,0.693951134207,0.838709677419,0.869918699187,9.87067927692,16.7331053662,50.8493990167,12.8238524111,59.0415345564,4.08998994378,56.6332945064,3.89308080601,-48.0815345564,50.8493990167,,0.723404255319
D2_delta_log,43,8,3,85,187,47,19,5,1,14.2842134761,36.3549322031,-4.17286098369,0.645620122502,0.800403225806,0.764227642276,10.800990446,20.156355605,71.6034561094,16.4614500144,76.2391915835,4.15597259074,122.348816993,-0.0321564957912,-72.8802402009,71.6034561094,,0.787234042553
D3_delta_leaky,43,8,3,85,187,47,19,5,1,8.34959425949,14.0734229024,0.224818132092,0.708065916188,0.850806451613,0.910569105691,5.44060027296,13.3387211127,55.2839884027,11.7058252185,23.63815832,4.1110116715,46.8348206714,1.69911729088,-21.6361379581,55.2839884027,,0.851063829787
O0_onsager,44,8,4,86,188,46,17,1,0,6.35874152087,8.58823597745,0.270393295285,0.691275791653,0.817307692308,0.887804878049,5.52091053938,8.73259596841,,7.93901091305,11.0988253203,5.23000353992,,5.72328627638,11.0988253203,,,0.521739130435
O1_structured_offset,44,8,4,86,188,46,17,1,0,5.56839559436,8.05670087075,0.357910811581,0.737131049297,0.844230769231,0.921951219512,5.8025371448,4.90499453479,,5.85257184249,12.3,5.15544557208,,-3.30537698749,12.3,,,0.673913043478
R0_direct_regression,44,8,4,86,188,46,17,1,0,4.76435792852,6.29105208006,0.608503900676,0.796003333964,0.853846153846,0.912195121951,4.31846535958,6.02772020721,,6.06849951666,8.19124298096,3.85016892672,,-0.737120132895,8.19124298096,,,0.847826086957
R1_direct_with_logg,44,8,4,86,188,46,17,1,0,5.36234668421,8.82211035237,0.230115014195,0.704931684633,0.829807692308,0.756097560976,4.86064157312,6.78384449895,,8.55857238265,11.1073968887,3.21660071714,,-2.5012940473,11.1073968887,,,0.804347826087
D0_delta_core,44,8,4,86,188,46,17,1,0,6.35880689272,9.61880110295,0.0847857629392,0.721449176793,0.821153846154,0.926829268293,6.68240222573,5.44195344921,,8.48030413301,12.3,4.85856952871,,-7.12240451397,12.3,,,0.630434782609
D1_delta_core_morgan,44,8,4,86,188,46,17,1,0,6.04279454262,8.8464030566,0.225869241386,0.688837456878,0.790384615385,0.946341463415,6.08576356061,5.92104899167,,6.98298865968,12.3,5.24849077665,,-4.39307140075,12.3,,,0.695652173913
D2_delta_log,44,8,4,86,188,46,17,1,0,10.0846349067,19.2935872619,-2.68219552314,0.704968085171,0.832692307692,0.858536585366,8.31066529147,15.1108821497,,16.6031862987,12.1126667422,6.05451328164,,-13.7836026912,12.1126667422,,,0.652173913043
D3_delta_leaky,44,8,4,86,188,46,17,1,0,5.15615585487,8.41466188372,0.299586967717,0.77626669466,0.869230769231,0.941463414634,4.72259589984,6.38457572746,,6.2542492333,11.7963440267,4.25230672611,,-3.53896708521,11.7963440267,,,0.804347826087
O0_onsager,45,9,0,87,187,47,19,5,0,10.6104709136,21.5363036535,-1.94490517582,0.703015235471,0.826612903226,0.752380952381,8.96241457328,16.0041098454,,11.0109113449,44.4676403588,2.93145076646,3.20820280365,9.88416500705,-42.1769013629,,,0.595744680851
O1_structured_offset,45,9,0,87,187,47,19,5,0,8.66228964532,18.1165261766,-1.08390940682,0.759809853099,0.862903225806,0.833333333333,8.18581722539,10.2216539288,,7.70992884336,41.2412678072,2.79203977482,12.5763283255,1.97807459606,-31.010736477,,,0.702127659574
R0_direct_regression,45,9,0,87,187,47,19,5,0,5.08595416106,7.32357410579,0.659454501215,0.792541196878,0.858870967742,0.966666666667,4.52919991144,6.90805897799,,6.32409987199,6.13155540466,3.90402865044,5.47251663208,-0.0428732099031,-6.13155540466,,,0.765957446809
R1_direct_with_logg,45,9,0,87,187,47,19,5,0,4.47602768975,6.81580121688,0.705040210379,0.858216723997,0.925403225806,0.990476190476,4.42938814343,4.62866620497,,5.93065528468,7.17279514313,2.88209816567,7.34348068237,-5.20437173141,-7.10510906219,,,0.808510638298
D0_delta_core,45,9,0,87,187,47,19,5,0,6.98415538054,12.8100347325,-0.0419085404586,0.792903103083,0.921370967742,0.947619047619,7.04723829046,6.77770222078,,7.05951727411,24.270526034,3.38937006747,8.57303711227,-3.91518650947,-13.1304081894,,,0.702127659574
D1_delta_core_morgan,45,9,0,87,187,47,19,5,0,7.70314809644,17.981590968,-1.0529823339,0.802737998948,0.917338709677,0.909523809524,7.78828661903,7.42451293161,,5.58541720793,36.9165297258,3.37317061852,9.61370989136,1.10991923043,-26.5385606103,,,0.68085106383
D2_delta_log,45,9,0,87,187,47,19,5,0,10.4383672801,20.2302941886,-1.59856377563,0.79644994396,0.877016129032,0.804761904762,8.22150686029,17.693546836,,8.19362852043,32.2272183899,7.26408064795,0.549707221691,-3.78866916155,-29.6251894559,,,0.723404255319
D3_delta_leaky,45,9,0,87,187,47,19,5,0,5.34093625995,8.31463257138,0.561049944902,0.749559134192,0.897177419355,0.957142857143,5.17255469877,5.89200318743,,6.15730040589,11.9243642079,3.7169175143,14.792544877,-3.88585912944,-1.60069593712,,,0.787234042553
O0_onsager,46,9,1,88,187,47,10,1,0,6.27149914519,8.96201070445,-0.107043055195,0.562111532136,0.663742690058,0.933333333333,5.40656571682,13.5369399435,,9.45156305605,11.9937811978,5.2291957796,,7.98271055567,-11.9937811978,,,0.446808510638
O1_structured_offset,46,9,1,88,187,47,10,1,0,5.24721882579,8.09122434649,0.097635333769,0.680281263251,0.821637426901,1,4.96982905143,7.57729293038,,4.96125478781,10.5279916718,5.17996514617,,-0.795954644377,10.5279916718,,,0.723404255319
R0_direct_regression,46,9,1,88,187,47,10,1,0,4.69595400477,6.13553382625,0.481130306599,0.777254199394,0.804093567251,0.966666666667,3.86387489469,11.6854185295,,6.0792886734,2.21350097656,4.38065140316,,-2.59434459686,-2.21350097656,,,0.765957446809
R1_direct_with_logg,46,9,1,88,187,47,10,1,0,4.36424258583,6.75050138976,0.371904535698,0.75207448168,0.855263157895,0.811111111111,3.09397345175,15.0345033121,,8.27377860069,2.8774471283,3.3195602333,,-2.68598978996,-2.8774471283,,,0.829787234043
D0_delta_core,46,9,1,88,187,47,10,1,0,5.83126240291,9.14716430254,-0.153258210527,0.674157507616,0.847953216374,0.988888888889,4.55892672766,16.518882075,,9.0819028139,13.3981102593,4.71811651495,,-6.6584884609,-13.3981102593,,,0.68085106383
D1_delta_core_morgan,46,9,1,88,187,47,10,1,0,5.25211572519,8.37585038591,0.0330335244903,0.643416352244,0.799707602339,0.988888888889,4.34671185093,12.857508269,,7.16927777187,3.81066692993,4.75961095654,,-2.49273297441,3.81066692993,,,0.68085106383
D2_delta_log,46,9,1,88,187,47,10,1,0,19.5576307375,82.1352137305,-91.9848893013,0.604608135317,0.74269005848,0.744444444444,4.33735988831,147.407905871,,75.3779458223,18.4703740052,4.08218923426,,-64.0655320597,-18.4703740052,,,0.744680851064
D3_delta_leaky,46,9,1,88,187,47,10,1,0,5.73835780245,9.78008770998,-0.318375411294,0.712381833723,0.818713450292,0.977777777778,4.00690968281,20.2825220074,,11.2181637011,0.767825234682,4.35425984638,,-6.04714030576,-0.767825234682,,,0.893617021277
O0_onsager,47,9,2,89,187,47,13,3,1,9.63911875679,27.7521355916,-0.0994855084786,0.811067105309,0.875,0.767857142857,3.66296418588,13.8490296281,172.495509154,23.9609502454,32.0160603477,3.25954232823,58.8073071673,12.8191394735,-28.1349978768,172.495509154,,0.531914893617
O1_structured_offset,47,9,2,89,187,47,13,3,1,10.1963317938,27.4300344659,-0.0741115800837,0.850127643278,0.929166666667,0.853571428571,4.67865680249,13.846030563,163.168270031,26.7595246452,36.5806504102,3.18933622887,80.446936631,2.54479340136,-28.9139837435,163.168270031,,0.531914893617
R0_direct_regression,47,9,2,89,187,47,13,3,1,7.99769912517,24.9942215142,0.108182641766,0.83806990977,0.954166666667,0.882142857143,3.4339868769,8.13048789978,166.266951294,15.9758759009,3.27426541646,4.9660148617,0.5297996521,12.26821572,-1.64554227193,166.266951294,,0.893617021277
R1_direct_with_logg,47,9,2,89,187,47,13,3,1,8.27333921262,25.2763008271,0.087939341023,0.796865966407,0.91875,0.871428571429,4.11786947239,7.09226754622,166.706568451,18.964472315,7.21476249695,3.91144198501,4.50162811279,10.4101323985,-5.26806271871,166.706568451,,0.872340425532
D0_delta_core,47,9,2,89,187,47,13,3,1,9.5287947245,25.89944275,0.0424145643649,0.798761987916,0.89375,0.85,5.63256852485,7.66643792075,166.382636553,22.5891070148,18.7727446693,3.54616134332,15.6004361346,5.11374448105,-11.1060780027,166.382636553,,0.510638297872
D1_delta_core_morgan,47,9,2,89,187,47,13,3,1,9.58431635607,26.0460405885,0.0315435004093,0.795427741297,0.8625,0.860714285714,5.23856931433,9.06516903386,167.396083361,22.7753061382,19.5141996392,3.55018763555,17.764714317,9.47203309012,-0.00439009449034,167.396083361,,0.553191489362
D2_delta_log,47,9,2,89,187,47,13,3,1,15.169918328,32.8730454664,-0.542682571125,0.759605657834,0.860416666667,0.792857142857,10.1038253534,17.2438886931,169.669498424,35.6048431696,25.5321447368,7.05377817067,52.1941354595,-8.90782141643,-19.9823248135,169.669498424,,0.553191489362
D3_delta_leaky,47,9,2,89,187,47,13,3,1,8.20996379226,25.3493908798,0.0826570060619,0.815369493673,0.861458333333,0.878571428571,3.60414332275,8.6039740022,165.079567916,19.4724268127,18.0639355238,3.15109197185,22.3,11.8357609816,0.661731567935,165.079567916,,0.872340425532
O0_onsager,48,9,3,90,187,47,14,6,3,16.4981915107,33.0091552123,-2.10519988685,0.668208493818,0.847272727273,0.8,11.7356669492,20.911242401,52.7047750888,18.9811477398,65.5441309614,5.58875725001,40.0710561236,18.5425311479,-48.4875038134,52.7047750888,-0.5,0.531914893617
O1_structured_offset,48,9,3,90,187,47,14,6,3,14.5831481094,30.0065314692,-1.56597450126,0.686827511523,0.873636363636,0.771621621622,10.3086211333,16.7065672105,53.817074809,15.9770672,61.1939162559,5.5166258145,59.9,12.3018635209,-36.4431351315,53.817074809,0.5,0.702127659574
R0_direct_regression,48,9,3,90,187,47,14,6,3,7.12113396111,12.2254474264,0.574058195095,0.891445752158,0.936363636364,0.951351351351,3.46869773446,9.50860571012,38.5438693746,11.9114010021,12.9410719872,4.08190570856,24.0061096191,6.40593934413,12.9410719872,38.5438693746,0.5,0.829787234043
R1_direct_with_logg,48,9,3,90,187,47,14,6,3,6.43212039668,10.6396580302,0.677391295543,0.874425338038,0.918181818182,0.964864864865,3.54971620589,7.8485070343,32.9451488241,11.1898285702,13.3389316519,3.48985092596,32.0973571777,4.24066765322,11.9686651826,32.9451488241,1,0.851063829787
D0_delta_core,48,9,3,90,187,47,14,6,3,11.1584217124,22.4856506568,-0.440892763488,0.83673120013,0.927272727273,0.916216216216,7.46222239669,15.5625991509,35.6679635781,10.8002025285,43.8051115584,4.71214655912,21.5277879199,5.96175641492,-29.9454059364,35.6679635781,-0.5,0.702127659574
D1_delta_core_morgan,48,9,3,90,187,47,14,6,3,11.715924072,23.9741417468,-0.637973531656,0.840556522003,0.932727272727,0.918918918919,7.70102668166,16.5462284264,38.1686794001,12.2048173878,47.526155463,4.38287230995,28.096369501,7.3838382622,-32.8901646695,38.1686794001,0.5,0.723404255319
D2_delta_log,48,9,3,90,187,47,14,6,3,10.8079434005,18.9850950749,-0.0271793852905,0.813101674186,0.956363636364,0.9,5.84728564444,17.1414376861,42.152366336,16.1147615774,30.2499727224,5.09450608056,41.7793288514,-1.74281115003,-25.4920648968,6.30820758794,-1,0.787234042553
D3_delta_leaky,48,9,3,90,187,47,14,6,3,8.67821617758,15.4979433512,0.315507206215,0.839813824756,0.910909090909,0.921621621622,4.88828539604,12.1563540645,37.6142825224,12.5633298165,26.1695188588,3.59721920339,25.7497079333,5.31548866023,-7.51055198576,37.6142825224,-0.5,0.914893617021
O0_onsager,49,9,4,91,188,46,13,3,1,9.39979315746,19.2782116917,-0.122659475643,0.562846923483,0.708624708625,0.683333333333,4.90076579141,16.8283730918,104.507558926,20.6830998292,6.1134291861,4.83899666351,,20.0945861697,-6.1134291861,104.507558926,,0.586956521739
O1_structured_offset,49,9,4,91,188,46,13,3,1,8.61558247731,17.3284190634,0.0929474660054,0.600051002947,0.792540792541,0.833333333333,5.372021574,11.884905837,95.9598647587,16.2363500033,14.0666666667,4.76814146377,,11.5468920021,14.0666666667,95.9598647587,,0.608695652174
R0_direct_regression,49,9,4,91,188,46,13,3,1,7.56347171573,13.3452213201,0.462020015899,0.853028248816,0.944055944056,0.870833333333,4.63487286828,13.156354404,62.6570860291,15.3656097911,10.5499492645,3.88389746152,,3.36039404356,-10.1391216278,62.6570860291,,0.760869565217
R1_direct_with_logg,49,9,4,91,188,46,13,3,1,7.87157203213,19.7704891197,-0.180726700185,0.86307836148,0.941724941725,0.925,5.19589481824,11.035207884,75.7232290649,13.1060339003,33.7446558634,3.01599683944,,8.67898545485,-30.7342035929,75.7232290649,,0.760869565217
D0_delta_core,49,9,4,91,188,46,13,3,1,7.162704125,14.9320936113,0.326471520228,0.763658423606,0.81351981352,0.9625,4.36719446897,9.8576211175,83.5467988097,13.0463866035,8.55215538793,4.47416325803,,11.0495484186,4.0789184176,83.5467988097,,0.608695652174
D1_delta_core_morgan,49,9,4,91,188,46,13,3,1,7.50729049951,15.8622498387,0.239946560932,0.707212725943,0.871794871795,0.95,5.00722907444,7.83600489702,94.5510722243,13.476061637,14.0666666667,4.26488538989,,10.770086746,14.0666666667,94.5510722243,,0.630434782609
D2_delta_log,49,9,4,91,188,46,13,3,1,6.59611409973,17.644885649,0.059514177982,0.704699643625,0.778554778555,0.779166666667,2.71734873087,11.355312615,103.398880741,15.6828882548,6.01637267447,2.71648610841,,14.5187742921,6.01637267447,103.398880741,,0.869565217391
D3_delta_leaky,49,9,4,91,188,46,13,3,1,7.23348339626,16.5699879568,0.170609718677,0.861662762216,0.951048951049,0.920833333333,4.98407482822,16.5947722265,3.96059237355,17.510433667,6.06150290855,2.89733632772,,-8.77729776828,3.69246661926,3.96059237355,,0.760869565217
