arm,split_id,repeat,fold,fold_seed,train_count,n_test,n_assoc,n_ionic,n_gt60,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,mae_assoc,mae_ionic,mae_none,mae_both,bias_assoc,bias_ionic,bias_gt60,spearman_gt60,delta_sign_accuracy
O0_onsager,30,6,0,72,187,47,16,3,2,10.1209551668,22.0895924621,-0.106621266817,0.540818686401,0.720833333333,0.727564102564,4.7365331975,14.5381169799,92.0641143475,19.0121482025,13.2531728539,4.70467867999,,17.0941650473,-7.69301392568,92.0641143475,,0.531914893617
O1_structured_offset,30,6,0,72,187,47,16,3,2,9.80799211434,19.8274325439,0.108427699795,0.647445989137,0.8625,0.855769230769,5.19667839617,12.904862824,82.7298130618,18.9201550507,9.66005292118,4.61689249285,,7.75986376155,6.67328041215,82.7298130618,,0.63829787234
R0_direct_regression,30,6,0,72,187,47,16,3,2,8.36754401226,15.1717445992,0.477970973917,0.752312673451,0.89375,0.987179487179,4.64203545027,12.6865403771,60.0134669495,14.0277307572,3.51046155294,5.65355327862,,5.40124285078,-3.00766537984,60.0134669495,,0.765957446809
R1_direct_with_logg,30,6,0,72,187,47,16,3,2,7.71871327299,15.788860351,0.434639877834,0.758752276921,0.91875,0.961538461538,3.85887707608,12.0204250634,61.9188357544,15.8388311994,4.16876449585,3.45899754116,,5.45192137218,-2.20917612712,61.9188357544,,0.893617021277
D0_delta_core,30,6,0,72,187,47,16,3,2,10.2249959914,18.724603994,0.204850320373,0.77176146422,0.9,0.929487179487,5.48757348235,17.835787963,67.4241445217,19.5945704206,13.9942517075,4.46710463367,,2.70639928952,-5.56979268723,67.4241445217,,0.659574468085
D1_delta_core_morgan,30,6,0,72,187,47,16,3,2,9.68651432211,18.7163652232,0.20554989348,0.766075655808,0.877083333333,0.935897435897,5.52160289523,13.1322072705,72.9546039257,17.0947340992,25.712335349,3.73619362516,,6.03979976997,-18.0456686823,72.9546039257,,0.659574468085
D2_delta_log,30,6,0,72,187,47,16,3,2,14.3934319427,31.7949769184,-1.29266516975,0.588112858464,0.777083333333,0.733974358974,4.76048244308,40.0663862996,89.9111802589,30.38523271,8.59007615965,5.87704819536,,-0.31659481285,2.06208138696,89.9111802589,,0.702127659574
D3_delta_leaky,30,6,0,72,187,47,16,3,2,10.5598696406,17.4106140644,0.312533115928,0.680466017456,0.864583333333,0.910256410256,6.28803136791,19.5595334087,53.5902226124,16.7197641784,11.2705861522,6.96378170699,,2.80095119924,-3.37486833267,53.5902226124,,0.723404255319
O0_onsager,31,6,1,73,187,47,16,3,1,11.4725638651,27.7458466182,-0.10462520191,0.678500188194,0.729411764706,0.728070175439,5.02733070591,14.7028864226,172.495509154,22.5009531815,19.2310554391,4.33936015851,,22.5009531815,-19.2310554391,172.495509154,,0.659574468085
O1_structured_offset,31,6,1,73,187,47,16,3,1,9.10758368747,25.2666155941,0.0839627564444,0.811919330644,0.91568627451,0.850877192982,4.34889006464,8.89483656367,164.364239351,16.7849895834,13.543237224,4.24524601088,,14.369683379,1.17827285186,164.364239351,,0.68085106383
R0_direct_regression,31,6,1,73,187,47,16,3,1,8.66086963281,25.572367554,0.0616586365949,0.867013587742,0.93137254902,0.894736842105,3.38632635189,9.33093933868,168.06527874,17.2234734983,5.89853553772,4.06391750555,,11.6230883675,-5.14994443258,168.06527874,,0.829787234043
R1_direct_with_logg,31,6,1,73,187,47,16,3,1,9.98152002997,26.5084756879,-0.00829704804804,0.818570919253,0.921568627451,0.850877192982,3.87639453514,12.7557337456,166.506543846,22.2337292118,5.04981594086,3.50865450704,,4.45368266869,-3.83313541412,166.506543846,,0.829787234043
D0_delta_core,31,6,1,73,187,47,16,3,1,10.9390431812,27.1173299177,-0.0551466755458,0.815719353542,0.952941176471,0.877192982456,5.07212000293,13.1197322755,168.150937563,22.7253003786,9.74485186579,4.33198813787,,3.68721622119,9.74485186579,168.150937563,,0.68085106383
D1_delta_core_morgan,31,6,1,73,187,47,16,3,1,9.70330047,26.1499883691,0.0187899558336,0.791737980416,0.958823529412,0.894736842105,4.86810892749,9.32813261018,169.681779868,19.0645868196,12.8666666667,4.01506189198,,7.52348996589,12.8666666667,169.681779868,,0.68085106383
D2_delta_log,31,6,1,73,187,47,16,3,1,12.2979524536,31.2741311676,-0.403425915099,0.756959903181,0.892156862745,0.777777777778,3.34967706858,21.3877657512,171.385378608,23.2378870472,3.92936481197,6.94319564746,,7.77519385243,-0.220238991828,171.385378608,,0.787234042553
D3_delta_leaky,31,6,1,73,187,47,16,3,1,9.41513459092,26.7279961162,-0.0250658946515,0.891734844696,0.949019607843,0.90350877193,2.89709632537,13.133381488,165.936902529,18.4954515703,10.0301851642,4.16048375554,,7.33096307407,-3.05126017391,165.936902529,,0.851063829787
O0_onsager,32,6,2,74,187,47,16,2,0,4.60642501633,6.8381633407,0.622708283131,0.789106993478,0.887096774194,0.947674418605,3.1847542326,10.6090349921,,8.3086007278,2.05465064321,2.755442188,3.20820280365,6.91086925911,1.15355216044,,,0.574468085106
O1_structured_offset,32,6,2,74,187,47,16,2,0,4.26853396328,6.16048713409,0.693783604758,0.807674013454,0.848790322581,0.970930232558,3.53475964422,7.36669219929,,6.65597199075,14.0381641628,2.62085148074,12.5763283255,-0.954753150298,14.0381641628,,,0.574468085106
R0_direct_regression,32,6,2,74,187,47,16,2,0,5.23201157067,7.30925777452,0.568932891265,0.806938421509,0.963709677419,0.854651162791,4.12598158139,9.90191596985,,5.82394422626,7.22723655701,4.86771356856,7.76444396973,-4.72012457752,-7.22723655701,,,0.808510638298
R1_direct_with_logg,32,6,2,74,187,47,16,2,0,4.89093543341,7.29262378838,0.57089265396,0.833424903895,0.927419354839,0.895348837209,3.65618486284,10.1043267314,,6.59329635644,4.44200878143,4.09744669558,7.42619476318,-5.80549419427,-2.98418598175,,,0.765957446809
D0_delta_core,32,6,2,74,187,47,16,2,0,4.29011889479,6.04787552527,0.704876346828,0.838391149903,0.899193548387,0.970930232558,3.68132058938,6.86060062876,,6.15407349286,13.7954776111,2.92234707232,12.0909552222,-0.584812179481,13.7954776111,,,0.617021276596
D1_delta_core_morgan,32,6,2,74,187,47,16,2,0,3.65561828485,4.98821578534,0.79923463411,0.856039029409,0.917338709677,0.982558139535,3.32121167113,5.06755732059,,4.58491521017,10.2306982103,2.76518053418,4.96139642052,0.579833600397,10.2306982103,,,0.574468085106
D2_delta_log,32,6,2,74,187,47,16,2,0,10.4888179013,23.7320358622,-3.54431388951,0.788528808401,0.840725806452,0.959302325581,5.81490952727,30.2230977027,,17.7077955873,5.92833749347,6.61667626357,0.707250929769,-11.0909766885,5.92833749347,,,0.808510638298
D3_delta_leaky,32,6,2,74,187,47,16,2,0,7.27475523125,15.7742074375,-1.00767506547,0.769795611897,0.913306451613,0.901162790698,5.70494081209,13.9028605566,,12.734487013,7.87518515314,4.38713292507,9.20265439697,-11.8570571964,-1.32746924383,,,0.829787234043
O0_onsager,33,6,3,75,187,47,12,2,1,8.93538394837,16.2251520512,-0.180922358913,0.664758601863,0.824675324675,0.904761904762,7.42717631645,12.4134682718,38.4225993742,14.0411001041,45.4227298443,4.867405595,,12.0356411876,-34.323904524,38.4225993742,,0.468085106383
O1_structured_offset,33,6,3,75,187,47,12,2,1,7.62769812648,13.6637149658,0.162506621417,0.737286764681,0.893939393939,0.947619047619,6.96321525681,8.01367243753,29.7902526856,10.1114508468,39.2111843993,4.8103646359,,3.40329449895,-26.9111843993,29.7902526856,,0.702127659574
R0_direct_regression,33,6,3,75,187,47,12,2,1,4.92036648052,8.59289713482,0.668775067424,0.836079793245,0.919913419913,0.966666666667,3.31017299768,7.42835520267,46.0438090515,8.73249005,7.02106804848,3.40682448144,,2.50856110255,2.21483025551,46.0438090515,,0.851063829787
R1_direct_with_logg,33,6,3,75,187,47,12,2,1,4.54130195175,7.88508314037,0.721094968984,0.824162169213,0.952380952381,0.961904761905,3.61165941796,5.41142002106,32.9067736816,9.07081426303,8.86572725773,2.63212018366,,-1.5814860185,2.4769108057,32.9067736816,,0.808510638298
D0_delta_core,33,6,3,75,187,47,12,2,1,7.13895363881,11.2647517109,0.430770967864,0.766584126183,0.919913419913,0.966666666667,6.52079509583,6.29411874,37.3876574625,12.183087154,19.9806993863,4.52643564859,,-2.74638790472,-7.68069938632,37.3876574625,,0.63829787234
D1_delta_core_morgan,33,6,3,75,187,47,12,2,1,6.54373274144,11.7218003315,0.383642857194,0.764246057566,0.91341991342,0.957142857143,6.17102072687,4.11204653146,40.1602789749,9.71263801544,29.835466232,3.97978333934,,-1.03453933779,-17.535466232,40.1602789749,,0.68085106383
D2_delta_log,33,6,3,75,187,47,12,2,1,8.10898340757,17.8239547846,-0.42512165108,0.835212490555,0.958874458874,0.947619047619,6.48425483085,15.1002835523,13.9182681649,19.9118270275,20.9090568355,3.04127824712,,-18.6952084861,-8.83190396473,-13.9182681649,,0.723404255319
D3_delta_leaky,33,6,3,75,187,47,12,2,1,4.21708520254,6.88794825006,0.787174557194,0.822896792356,0.958874458874,0.980952380952,3.87954648521,2.90752856315,27.5200095762,6.88998038412,11.0551457052,2.83069540908,,-0.902835911353,0.846086104958,27.5200095762,,0.829787234043
