representation,repeat,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60
MLP_Morgan,0,12.922738482881497,22.867593967861016,-0.4400959960699389,0.17292874898219734,0.5940963341858483,0.5623486682808716,5.74380378402409,29.710936350175604,98.75621288150519
MLP_Morgan,1,12.521303576531269,22.43342469026599,-0.3859311447998588,0.3433503237430278,0.6963981244671782,0.6876513317191283,5.575521326105675,28.349945426097882,99.04743115362045
MLP_Morgan,2,13.474055755768461,24.653983758058768,-0.6738814989889317,0.11731422775007677,0.569373401534527,0.5318805488297014,6.475205150450516,29.58694472471366,99.28946754467593
MLP_Morgan,3,12.888351814787741,22.86386669933534,-0.43962658183739856,0.181320585136104,0.58461210571185,0.58817594834544,5.740302508216376,29.46742699598449,99.5024783803902
MLP_Morgan,4,13.019640185138723,22.88231568388924,-0.4419508049871508,-0.03928861085845834,0.48060528559249793,0.5314769975786925,6.056243355975818,28.929441154220253,99.42065184640163
MLP_Morgan,5,12.725224702821237,22.757883569079514,-0.4263110295758994,0.12281491087856566,0.5639386189258312,0.4965698143664245,5.615816033822881,29.199874286081396,98.9954821437839
MLP_Morgan,6,12.650873218523293,22.600289078542744,-0.40662550109121165,0.1652920075484604,0.6307544757033249,0.518361581920904,5.583181023770963,28.97996866211468,98.82554484652925
MLP_Morgan,7,12.880952511805,22.84913639466478,-0.43777218797708417,0.15232650827099573,0.6419437340153454,0.5992736077481841,5.711395776415494,29.513756996828803,99.7233876759135
MLP_Morgan,8,12.530951931006902,22.753923506975905,-0.42581469266345895,0.23551575922165602,0.5767263427109973,0.4979822437449556,5.319114113907471,29.39997909652238,98.72519876101897
MLP_Morgan,9,12.519725915419892,22.484734087713406,-0.392278157373666,0.2531887042241091,0.6270247229326513,0.6123890234059726,5.550865817209059,28.553092379572377,98.0554267200014
MLP_Physical,0,8.312688449006366,22.401821893895328,-0.38202907014927345,0.877472034985629,0.9122975277067349,0.9416868442292171,3.9067863098267233,15.424831489183202,87.79719450959769
MLP_Physical,1,7.59601199471157,20.619644463113538,-0.17088122840276987,0.8827498884079448,0.9286018755328219,0.9200968523002422,3.550188957637665,14.195315543554939,80.00987015596267
MLP_Physical,2,7.709753525223479,20.83885363119351,-0.1959090342348455,0.8646144931501347,0.9106990622335891,0.9376513317191283,3.667341873432956,18.01035803657388,48.9248838264606
MLP_Physical,3,6.724868890290405,19.793322228608005,-0.0789166318593637,0.9088668355554014,0.9348891730605285,0.9493543179983859,2.6817417046232674,14.778482960614534,66.83732976664926
MLP_Physical,4,6.482325845424219,15.864232300969986,0.306911617232136,0.8923395906739606,0.9341432225063939,0.9695318805488297,3.1128314324879787,12.082211581925014,65.9193091076027
MLP_Physical,5,7.14888329890772,17.653423816480625,0.14176070796579343,0.8960385454807592,0.9267902813299234,0.9515738498789346,3.2616202106752543,14.30367505594957,69.8861461279021
MLP_Physical,6,7.020029158852056,18.68880649023223,0.038136084002139525,0.8879587912511093,0.9232736572890026,0.9259483454398708,3.2524505737786438,13.434649688996402,72.19269999395942
MLP_Physical,7,7.376418614726828,18.936216738359466,0.012500397042203293,0.8809334933531283,0.9229539641943734,0.9598466505246166,3.504323445655121,14.570331931162062,69.30575409933677
MLP_Physical,8,8.427710736772191,29.699354519836188,-1.4290951074305442,0.8773410985322909,0.9246589940323955,0.9378531073446328,3.7355071389213252,19.716247005330743,61.87763977296769
MLP_Physical,9,7.523248233437658,18.67684590124643,0.03936685040926591,0.8676629445132222,0.9098465473145779,0.9045601291364004,3.818640143120085,12.984347885116293,78.71562681337244
MLP_Hybrid,0,12.667716627619424,22.496839844972094,-0.39377776315850244,0.30157868968026197,0.6601662404092071,0.6955205811138014,5.757437355663683,28.555974021797965,97.57117951032106
MLP_Hybrid,1,13.119613415579314,22.91065507498747,-0.4455246838803524,0.15152133533193016,0.5874893435635122,0.6420500403551251,6.000433268385874,29.649306659812822,99.23628281533051
MLP_Hybrid,2,13.094099997588199,22.854619796385062,-0.43846235222234764,0.23888659441022408,0.6446078431372549,0.6531476997578692,6.016322641504864,29.545242940110306,98.56226373263591
MLP_Hybrid,3,12.433285865684331,22.35538831548651,-0.3763057813583577,0.2107303816490778,0.5855711849957375,0.6791767554479419,5.4959223509443955,28.289749667335286,98.45967699759822
MLP_Hybrid,4,13.358238767592935,25.321844016391697,-0.7657985527960398,0.3090448534025141,0.6935208866155157,0.6160209846650524,6.853657384878707,27.681320013683436,98.58912799420219
MLP_Hybrid,5,12.442953605634685,22.34779875524422,-0.37537143994760114,0.20642897986282507,0.5857843137254902,0.6115819209039548,5.472809103876793,28.71984741180176,95.9736118893807
MLP_Hybrid,6,12.61846086617614,22.529522422521527,-0.39783036240869163,0.3128552434887493,0.6439684569479965,0.715496368038741,5.650172776584491,28.66645921287666,98.01317838498792
MLP_Hybrid,7,13.37311791297303,23.60030879337789,-0.533860519164608,0.24925982598477853,0.6049658994032395,0.6313559322033898,6.3536273792047195,29.48499897711248,99.84921784128022
MLP_Hybrid,8,12.78354577408289,22.691563102294293,-0.41801010108398184,0.16560954053470223,0.623081841432225,0.6499192897497982,5.689711155428932,29.251973236599547,98.61392903840824
MLP_Hybrid,9,12.959566993846373,22.835320862468173,-0.43603404064072326,0.1389813840428303,0.5881287297527706,0.5611380145278451,5.828341642115935,29.52994381393729,99.11512281976458
