scenario,arm,split_id,repeat,fold,train_rows,test_rows,train_qids,test_qids,train_pair_capacity,test_pair_capacity,n_comparable_pairs,global_spearman,macro_query_spearman,micro_pairwise_accuracy,macro_pairwise_accuracy,auc_gt15,auc_gt30,calibrated_mae,calibrated_rmse,calibrated_r2
scaffold_butina_qid,rank_pairwise,13,2,3,186,48,89,22,668,131,130,0.801856325098,0.817244650578,0.753846153846,0.869047619048,0.941176470588,0.936507936508,10.1594020544,28.0369408454,0.0463165985303
scaffold_butina_qid,regression_head,13,2,3,186,48,89,22,668,131,130,0.917415258025,0.87319703153,0.907692307692,0.900793650794,0.954459203036,0.912698412698,8.30517769999,27.8170047354,0.0612202734918
scaffold_butina_qid,rank_pairwise,14,2,4,201,33,89,22,779,20,20,0.765772543828,0.4,0.35,0.716666666667,0.85652173913,0.821428571429,9.20266812945,16.5863961445,0.110349583811
scaffold_butina_qid,regression_head,14,2,4,201,33,89,22,779,20,20,0.898805050351,0.616666666667,0.55,0.805555555556,0.965217391304,0.992857142857,9.5618435097,14.4359138082,0.326086929527
scaffold_butina_qid,rank_pairwise,15,3,0,190,44,88,23,759,40,38,0.809233484699,0.398833788497,0.802631578947,0.676428571429,0.908482142857,0.964102564103,4.84537386132,6.57323579576,0.602506456523
scaffold_butina_qid,regression_head,15,3,0,190,44,88,23,759,40,38,0.840734477312,0.551801756557,0.802631578947,0.766428571429,0.863839285714,0.989743589744,4.2647873164,5.27111316118,0.744390885871
scaffold_butina_qid,rank_pairwise,16,3,1,191,43,89,22,697,102,102,0.775776796717,0.102982731554,0.627450980392,0.546572475144,0.900568181818,0.762820512821,9.89749810557,27.0177025942,0.0897887931326
scaffold_butina_qid,regression_head,16,3,1,191,43,89,22,697,102,102,0.827260714201,0.623102324211,0.549019607843,0.768184196756,0.911931818182,0.817307692308,8.19484533406,26.2132428012,0.143185425441
scaffold_butina_qid,rank_pairwise,17,3,2,183,51,89,22,649,150,150,0.692761953765,0.914285714286,0.78,0.922222222222,0.833910034602,0.852173913043,7.3411966617,14.7675320996,0.202892695387
scaffold_butina_qid,regression_head,17,3,2,183,51,89,22,649,150,150,0.783328808839,0.869771111421,0.816666666667,0.892857142857,0.861591695502,0.978260869565,6.23248982292,13.0239798872,0.380004730859
scaffold_butina_qid,rank_pairwise,18,3,3,203,31,89,22,783,16,16,0.703165975176,0.16,0.375,0.573333333333,0.886554621849,0.895238095238,12.0576614665,18.6700385632,0.188478253032
scaffold_butina_qid,regression_head,18,3,3,203,31,89,22,783,16,16,0.875163864488,0.84,0.75,0.92,0.974789915966,0.990476190476,10.4199735609,18.1188399657,0.235688294872
scaffold_butina_qid,rank_pairwise,19,3,4,169,65,89,22,308,491,490,0.801433629092,0.874398940077,0.663265306122,0.921243842365,0.911764705882,0.923728813559,5.62216713588,8.23080478888,0.526224137826
scaffold_butina_qid,regression_head,19,3,4,169,65,89,22,308,491,490,0.703573381471,0.775662513553,0.701020408163,0.794376026273,0.888480392157,0.898305084746,7.21987933057,10.6295312142,0.20983725291
scaffold_butina_qid,rank_pairwise,20,4,0,199,35,88,23,780,19,19,0.682072829132,0.7375,0.894736842105,0.8625,0.83660130719,0.775862068966,9.41693479598,12.0932246409,0.259108958483
scaffold_butina_qid,regression_head,20,4,0,199,35,88,23,780,19,19,0.870028011204,0.95,0.842105263158,0.9625,0.937908496732,0.936781609195,5.1968298775,7.25049081657,0.73367930435
