inchikey,smiles,name,has_dielectric,dielectric,dielectric_T_K,has_viscosity,viscosity_Pa_s,viscosity_T_K,has_orbitals,HOMO_eV,LUMO_eV,gap_eV,IP_eV,EA_eV,dipole_au,dipole_D,has_redox_label,oxidation_free_energy_eV,reduction_free_energy_eV,has_density,density_kg_m3,density_T_K,has_liquid_window,mp_C,bp_C,flash_point_C,ambient_density_g_cm3,n_core_channels,channels_present
ZWCQYPBVBCLIIU-UHFFFAOYSA-N,Cc1ccoc(=O)c1F,CompMol4970,false,,,false,,,true,-9.00930023193,0.71590000391,9.72520023584,6.66629457474,1.55155491829,2.99293756291,7.60728849444,false,,,false,,,false,,,,,1,orbitals
ZWCYFUQINJYFNN-UHFFFAOYSA-N,CCC1(OC)CCC1,CompMol1676,false,,,false,,,true,-9.44330024719,1.7281999588,11.171500206,7.00458145142,0.0227076206356,0.686237106857,1.744240746,false,,,false,,,false,,,,,1,orbitals
ZWDRDOTUUHUQEY-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)O)cc1.N#CCCn1ccnc1,1-(2-cyanoethyl)imidazolium 4-methylbenzenesulfonate,false,,,true,24.795,303.15,false,,,,,,,,false,,,true,1266.3,303.15,false,,,,,1,viscosity|density
ZWDVQMVZZYIAHO-UHFFFAOYSA-N,O=Cc1ccccc1F,CompMol4977,false,,,false,,,true,-9.64350032806,0.17990000546,9.82340033352,7.16236829758,2.02890872955,1.72105926266,4.37449631069,false,,,false,,,false,,,,,1,orbitals
ZWEGEEXPHXUUFO-UHFFFAOYSA-N,CCCC#CCOC,CompMol2209,false,,,false,,,true,-9.78059959412,1.63230001926,11.4128996134,7.21991920471,0.15269100666,0.847357945828,2.15376907018,false,,,false,,,false,,,,,1,orbitals
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,2-Butanone,true,18.51,293.15,true,0.0004,298.15,true,-9.58349990845,1.70599997044,11.2894998789,7.11582899094,0.0905071347952,1.53652757128,3.90546353497,false,,,true,798.1,298.15,true,-86.67,79.59,-9,0.8,3,dielectric|viscosity|orbitals|density|liquid_window
ZWFRYUZNELSFLL-UHFFFAOYSA-N,CC(C)C1=NC(=O)N=C1,CompMol18925,false,,,false,,,true,-10.7312002182,-0.891300022602,9.8399001956,8.35592365265,3.22705316544,3.16906264505,8.05495380077,false,,,false,,,false,,,,,1,orbitals
ZWFUQWXQZBSZGW-UHFFFAOYSA-N,C#CC#Cc1cocn1,CompMol2080,false,,,false,,,true,-9.08759975433,0.653199970722,9.74079972505,6.83521175385,1.5044901371,1.03785643506,2.63796793329,false,,,false,,,false,,,,,1,orbitals
ZWHBQWHDADBCLM-UHFFFAOYSA-N,CC1C(=O)CCS1(=O)=O,CompMol17148,false,,,false,,,true,-9.94900035858,1.2364000082,11.1854003668,7.660820961,1.01225411892,1.54797134026,3.93455069441,false,,,false,,,false,,,,,1,orbitals
ZWHFMLMKKGNFDA-UHFFFAOYSA-N,COCCOCCOc1cscc1C(C)=O,CompMol1200,false,,,false,,,true,-8.77270030975,0.756099998951,9.5288003087,6.41832542419,1.44707536697,2.43575524776,6.19107231009,false,,,false,,,false,,,,,1,orbitals
