variant,repeat,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60
Physical_xtb_raw,0,7.488484935330648,16.021959669029233,0.2930612843628235,0.8247995294752934,0.9004688832054561,0.9202986279257466,4.645490240118775,11.56276240648542,63.103186546325674
Physical_xtb_raw,1,7.5793014355850215,16.997627165169902,0.20434078657803245,0.7918237789245426,0.884377664109122,0.9322033898305085,4.49508671535178,12.104138404482887,67.03185605621339
Physical_xtb_raw,2,7.374317630037448,16.191653631528233,0.2780071312060326,0.8192932279777008,0.9040920716112533,0.9346246973365617,4.764456906566138,10.463341087886267,63.89811944580079
Physical_xtb_raw,3,7.283150931719337,16.0863884502298,0.28736425606043703,0.8157448354225881,0.8891730605285593,0.9315980629539952,4.616684845698635,10.949356674194336,60.7473510131836
Physical_xtb_raw,4,6.6859616996327835,15.622328494251567,0.3278874120951464,0.8534154937067023,0.9203964194373402,0.9366424535916061,3.982177875486205,10.230012413388206,62.35550454711914
Physical_xtb_raw,5,7.379720736283094,15.772345646511143,0.314917190532396,0.8233624622963107,0.905690537084399,0.9192897497982244,4.384804488167582,12.540970263526551,58.664578147888186
Physical_xtb_raw,6,6.775424453626494,15.760085232268727,0.31598185581990657,0.809841134981682,0.8914109121909634,0.9265536723163841,4.157558169356479,9.446109755561466,67.06624250030518
Physical_xtb_raw,7,7.094950147293836,15.733967843253925,0.318247067597891,0.8152300792014048,0.9057971014492753,0.9350282485875705,4.362559931344624,10.642319001515707,63.64058259582519
Physical_xtb_raw,8,7.615749968440358,16.703531618024822,0.2316358294689188,0.819488999253567,0.9144288150042625,0.9229217110573043,4.74196452133565,12.036845785958427,61.29016522979737
Physical_xtb_raw,9,7.106184683578306,16.415472810212346,0.2579087849754361,0.8390149114567381,0.9078218243819267,0.9207021791767555,4.546591685448417,9.197709863935199,70.42051190948487
Physical_density_raw,0,7.649630333067731,16.17080344122681,0.27986537208043605,0.8161944636675941,0.8948209718670076,0.9049636803874093,4.74255443076846,11.954038169679189,63.35620301818847
Physical_density_raw,1,7.704452533882884,17.192858886391388,0.18595821963902504,0.7921905296599066,0.8840579710144928,0.935633575464084,4.605278595107115,12.07181082607451,68.9525393447876
Physical_density_raw,2,7.428782094100393,16.078402332432752,0.28807165913146937,0.8174496686475556,0.9052642796248934,0.9275625504439063,4.793642609838896,10.620388791038877,63.88969354248047
Physical_density_raw,3,7.2761327915452165,15.761011543039272,0.3159014461031553,0.8073304241892035,0.8849104859335039,0.9233252623083131,4.743566861983191,10.69162017295474,58.61512216186524
Physical_density_raw,4,6.881847516462744,15.660829780093074,0.3245704819589168,0.8519180810963755,0.9235933503836318,0.9307909604519774,4.053572969941247,10.744301639011928,63.810708557128905
Physical_density_raw,5,7.368644428637435,15.916770652463613,0.30231334649004704,0.8268324083693369,0.9033461210571185,0.9100080710250201,4.450847068923033,12.057200530642556,60.18716973876953
Physical_density_raw,6,6.869143362471417,15.811079559857465,0.31154818982595156,0.8268714107850494,0.902387041773231,0.9178773204196934,4.107927270681646,10.008695410047258,67.75133466339112
Physical_density_raw,7,7.183982571705143,15.689222060037867,0.32211922392570236,0.8078105069062599,0.9038789428815005,0.9267554479418887,4.467607177150099,10.733242758614674,63.20765946960448
Physical_density_raw,8,7.776046332508179,16.83345217663131,0.21963662708549359,0.8098626593680177,0.9057971014492754,0.9156577885391445,4.902095526556425,12.266836247398741,60.87025651550293
Physical_density_raw,9,7.0749115568784395,16.33393629733645,0.26526248822508414,0.8284376066599781,0.9033461210571185,0.9164648910411621,4.435466230298296,9.32283702959333,71.59880990600587
Physical_xtb_log,0,6.409213663724573,16.16207053362187,0.28064296746286754,0.9035512652129297,0.9365942028985508,0.9202986279257466,2.8905047241404085,11.72051503971645,72.98548459625245
Physical_xtb_log,1,6.479230842985759,16.625492357961363,0.23879868574172747,0.8958114814988871,0.9356351236146634,0.9215092816787732,2.734526298722134,12.053171940939766,77.99078921890259
Physical_xtb_log,2,6.347523098108245,15.8642313787799,0.30691169781078687,0.8865427436537777,0.9324381926683716,0.9146489104116222,2.953625077796887,11.096368745440527,73.70439710235595
Physical_xtb_log,3,6.23346820748492,15.837502246878945,0.30924525454886664,0.8953376207032936,0.9250852514919011,0.9279661016949153,2.7990027913805804,11.044726083119711,74.3480092010498
Physical_xtb_log,4,6.008954795488497,15.752325311650834,0.31665528107979324,0.9108328365332296,0.944693094629156,0.937046004842615,2.649056517184535,10.54357425344558,74.0909369430542
