train_size,mae,rmse,r2
1000,0.4602043330669403,0.6225792496190329,0.294308602809906
5000,0.4037784934043884,0.5551882350735972,0.4388149380683899
10000,0.38196074962615967,0.5161704155399134,0.5149217844009399
23615,0.35958853363990784,0.4861033736097554,0.5697876811027527
