row_id,source,inchikey,smiles,name,IP,EA,HOMO,LUMO,dipole,oxidation_free_energy,reduction_free_energy,source_doi,method,status
rx392:0ab022f73af45db70b5abc61e7cc5bc6-C3H1O2P1-0-1,RX-392,IRDMQKNTOIKALV-UHFFFAOYSA-N,C#C[O+]=[C-][O+]=[P-],0ab022f73af45db70b5abc61e7cc5bc6-C3H1O2P1-0-1,5.759662254142313,4.296534282679204,,,,5.418307544950949,-4.742610910550866,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:796506dbd3f3230e3d246a59ef72ecb3-C3F2H3O4P1-0-1,RX-392,BMPGPKPDWJCMJY-UHFFFAOYSA-N,C=COC(=O)OP(=O)(F)F,796506dbd3f3230e3d246a59ef72ecb3-C3F2H3O4P1-0-1,7.7200612608248775,0.6298499357035325,,,,7.4547207089817675,-1.2339901808300056,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:a3b8cb94733e47a4966a08138fd78064-C2H6O2-0-1,RX-392,LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,a3b8cb94733e47a4966a08138fd78064-C2H6O2-0-1,8.228268579415271,-0.18420757047624647,,,,7.013444678961605,0.10610319524403167,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:96b8af3838777f9f3e6b972d5aa3a84f-C4F1H8O3P1-0-1,RX-392,QCVQEYURPKJMCT-UHFFFAOYSA-N,O=POCCOCCF,96b8af3838777f9f3e6b972d5aa3a84f-C4F1H8O3P1-0-1,8.371393662579067,2.079433579569013,,,,7.5068285486522655,-2.412755893677968,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:5e15a57678ef5b22d37ef6cc5dbda8a3-C4F1H8O3P1-0-1,RX-392,QRUXQZQTBWGEGC-SECBINFHSA-N,[CH2+]COCCO[P@@]([O-])F,5e15a57678ef5b22d37ef6cc5dbda8a3-C4F1H8O3P1-0-1,5.928140162439377,0.44973644296987914,,,,5.22447268304677,-4.443994429493614,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:84a635271c4fddb04b12de734b6e0350-C4F1H8O3P1-0-1,RX-392,ADIWOXLMVNWGTD-UHFFFAOYSA-N,O[P-][O+]=CCOCCF,84a635271c4fddb04b12de734b6e0350-C4F1H8O3P1-0-1,4.394422095600021,2.4263431064682663,,,,4.236805505974189,-3.049674578869599,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:82e454f28d45cd2eaf051cbfb3804793-C4F1H8O3P1-0-1,RX-392,KQDLFTJALZIDCG-SECBINFHSA-N,[CH2-]COCC=[O+][P@@](O)F,82e454f28d45cd2eaf051cbfb3804793-C4F1H8O3P1-0-1,3.6605180774749897,3.329709514076967,,,,3.207008950816089,-4.123604886819521,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:eab256ea76e458e90d49eaa61c4423a4-C3H2O4-0-1,RX-392,NXYSYGVFDASHDR-UHFFFAOYSA-N,O=C=COC(=O)O,eab256ea76e458e90d49eaa61c4423a4-C3H2O4-0-1,7.130057533036961,1.6821526198073116,,,,6.443407786162425,-2.6339297487938893,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:58bf453b2da0fa442f8213e43d1fcb28-C3H2O4-0-1,RX-392,XBTQEVJNCGBLJB-UHFFFAOYSA-N,O=C(O)OC#CO,58bf453b2da0fa442f8213e43d1fcb28-C3H2O4-0-1,7.614147674179549,0.8580385278492031,,,,6.842254783543467,-2.2729358938722726,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:28db6a82af56b90b126446758dd96749-C4H6O3-0-1,RX-392,BPLRSEBVLPDSAK-UHFFFAOYSA-N,C[C-]=[O+]C(=O)OC,28db6a82af56b90b126446758dd96749-C4H6O3-0-1,6.5970260673038865,1.7188919680593244,,,,5.706547052395763,-2.5279520310978114,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
