analysis,subset,n,fraction,value_au,value_debye,mae_au,rmse_au,r2,mae_debye,rmse_debye,status
target_distribution,lt_0_5D,448,0.01517666587621532,,,,,,,,observed
target_distribution,0_5D_to_1D,805,0.027270571496324402,,,,,,,,observed
target_distribution,1D_to_3D,10714,0.3629526745485958,,,,,,,,observed
target_distribution,gt_3D,17552,0.5946000880788644,,,,,,,,observed
target_quantile_debye,p01,,,,0.3436866726120114,,,,,,observed
target_quantile_debye,p05,,,,1.0903471364712713,,,,,,observed
target_quantile_debye,p10,,,,1.5174101562666893,,,,,,observed
target_quantile_debye,p25,,,,2.2964265107870103,,,,,,observed
target_quantile_debye,p50,,,,3.4617179515600203,,,,,,observed
target_quantile_debye,p75,,,,4.823766753244399,,,,,,observed
target_quantile_debye,p90,,,,6.077885544214248,,,,,,observed
target_quantile_debye,p95,,,,6.898405775260925,,,,,,observed
target_quantile_debye,p99,,,,8.613291714013098,,,,,,observed
target_quantile_debye,p100,,,,28.617585190963744,,,,,,observed
model_comparison,dummy,5904,,,,0.5812075976514777,0.7411187325908872,-2.583593044835908e-06,1.4773134717105258,1.883775594499517,reported
model_comparison,size_only_ridge,5904,,,,0.579656101051678,0.7385959936260489,0.006793768215937135,1.473369877653155,1.877363296598691,reported
model_comparison,morgan_xgboost,5904,,,,0.3600582603386929,0.4895594002856173,0.5636486450339289,0.9151960861288897,1.2443620836459819,reported
test_stratum,lt_0_5D,85,0.014397018970189702,,,0.8109887705709483,0.8656330176380314,-172.7019844130826,2.061371257037236,2.200266004232348,insufficient
test_stratum,0_5D_to_1D,170,0.028794037940379404,,,0.6751422198823529,0.7347460319931812,-147.53160106649008,1.7160764944969649,1.8675774641202678,reported
test_stratum,1D_to_3D,2134,0.36144986449864497,,,0.3232988969962512,0.4363055486026987,-3.223124023484983,0.8217611363850712,1.1090014434383395,reported
test_stratum,gt_3D,3515,0.595359078590786,,,0.3562321188165007,0.4927068639148089,0.30506917017638935,0.9054707996077814,1.252362306698661,reported
