inchikey,in_target_key_set,in_publishable_pure_subset,n_epsilon_observations,n_viscosity_observations,has_epsilon_and_viscosity,in_walden_pair_set,n_walden_pairs,key_carries_admissible_dn,admissible_dn_value,admissible_dn_source_id,admissible_dn_source_doi,key_carries_predicted_dn,predicted_dn_value,predicted_dn_source_id,dn_channel_status
BHIWKHZACMWKOJ-UHFFFAOYSA-N,true,true,0,14,false,false,0,false,,,,false,,,no_dn
BHNZEZWIUMJCGF-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BHRZNVHARXXAHW-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
BHXIWUJLHYHGSJ-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
BIHCCQRFXYRMHE-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BJEPYKJPYRNKOW-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BJIOGJUNALELMI-ONEGZZNKSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BJIOGJUNALELMI-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BJQHLKABXJIVAM-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BKIMMITUMNQMOS-UHFFFAOYSA-N,true,true,6,2,true,true,1,false,,,,false,,,no_dn
BKOOMYPCSUNDGP-UHFFFAOYSA-N,true,true,0,9,false,false,0,false,,,,false,,,no_dn
BLRBGKYYWDBAQQ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BMFVGAAISNGQNM-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BMRWNKZVCUKKSR-UHFFFAOYSA-N,true,true,3,2,true,false,0,false,,,,false,,,no_dn
BMVXCPBXGZKUPN-UHFFFAOYSA-N,true,true,3,1,true,true,1,false,,,,false,,,no_dn
BNIXVQGCZULYKV-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
BOFNAOHMSHEKQL-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BOSAWIQFTJIYIS-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BOTDANWDWHJENH-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BOUGCJDAQLKBQH-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BSKHPKMHTQYZBB-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
BSPCSKHALVHRSR-UHFFFAOYSA-N,true,true,3,1,true,false,0,false,,,,false,,,no_dn
BSYVTEYKTMYBMK-UHFFFAOYSA-N,true,true,25,28,true,true,27,false,,,,false,,,no_dn
BTANRVKWQNVYAZ-UHFFFAOYSA-N,true,true,15,10,true,true,8,false,,,,false,,,no_dn
BTDQXGUEVVTAMD-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BTGRAWJCKBQKAO-UHFFFAOYSA-N,true,true,31,5,true,true,5,false,,,,false,,,no_dn
BTMVHUNTONAYDX-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
BTNXBLUGMAMSSH-UHFFFAOYSA-N,true,true,25,0,false,false,0,false,,,,true,21.951079,solvfunc87_predicted_dn,predicted_dn_only
BTQZKHUEUDPRST-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
BTUGGGLMQBJCBN-UHFFFAOYSA-N,true,true,0,15,false,false,0,false,,,,false,,,no_dn
BWDBEAQIHAEVLV-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BWLUMTFWVZZZND-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
BWZVCCNYKMEVEX-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BXWNKGSJHAJOGX-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
BYEVBITUADOIGY-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
BZHJMEDXRYGGRV-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
BZHMBWZPUJHVEE-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
BZLVMXJERCGZMT-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CAEWJEXPFKNBQL-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CATSNJVOTSVZJV-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
CBFCDTFDPHXCNY-UHFFFAOYSA-N,true,true,0,8,false,false,0,false,,,,false,,,no_dn
CBTVGIZVANVGBH-UHFFFAOYSA-N,true,true,6,0,false,false,0,false,,,,false,,,no_dn
CCCMONHAUSKTEQ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CDKDZKXSXLNROY-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CDOSHBSSFJOMGT-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CDZOGLJOFWFVOZ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CERQOIWHTDAKMF-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CFNJLPHOBMVMNS-UHFFFAOYSA-N,true,true,0,5,false,false,0,false,,,,false,,,no_dn
CFVWNXQPGQOHRJ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CFXQEHVMCRXUSD-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CGZZMOTZOONQIA-UHFFFAOYSA-N,true,true,28,1,true,true,1,false,,,,false,,,no_dn
CHLICZRVGGXEOD-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CJBFZKZYIPBBTO-UHFFFAOYSA-N,true,true,0,4,false,false,0,false,,,,false,,,no_dn
CJNXVNXBZXMHKG-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CLMFECCMAVQYQA-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
COBPKKZHLDDMTB-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CPIVYSAVIPTCCX-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CQEYYJKEWSMYFG-UHFFFAOYSA-N,true,true,25,28,true,true,25,false,,,,false,,,no_dn
CQMYCPZZIPXILQ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CRSBERNSMYQZNG-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CRSOQBOWXPBRES-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
CRVGTESFCCXCTH-UHFFFAOYSA-N,true,true,14,1,true,true,1,false,,,,false,,,no_dn
CSCPPACGZOOCGX-UHFFFAOYSA-N,true,true,1,24,true,false,0,false,,,,true,16.244265,solvfunc87_predicted_dn,predicted_dn_only
CTMHWPIWNRWQEG-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CTQNGGLPUBDAKN-UHFFFAOYSA-N,true,true,0,11,false,false,0,false,,,,false,,,no_dn
CUDYYMUUJHLCGZ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CUVLMZNMSPJDON-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
CWERGRDVMFNCDR-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CXBDYQVECUFKRK-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,true,20.609335,solvfunc87_predicted_dn,predicted_dn_only
CXOWYJMDMMMMJO-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
CXOZQHPXKPDQGT-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CXQXSVUQTKDNFP-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CXWXQJXEFPUFDZ-UHFFFAOYSA-N,true,true,0,4,false,false,0,false,,,,false,,,no_dn
CYNYIHKIEHGYOZ-UHFFFAOYSA-N,true,true,0,16,false,false,0,false,,,,false,,,no_dn
CYRMSUTZVYGINF-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CYTQBVOFDCPGCX-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CYTYCFOTNPOANT-UHFFFAOYSA-N,true,true,0,17,false,false,0,false,,,,false,,,no_dn
CZDYPVPMEAXLPK-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CZGCEKJOLUNIFY-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
CZPWVGJYEJSRLH-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DAHZYRVPEHDLPG-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DBUJFULDVAZULB-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
