inchikey,name,smiles,T_K,dipole_D,molar_volume_m3_mol,polarizability_au,polarizability_A3,alpha_density,high_frequency_epsilon,reaction_field_term,onsager_epsilon,epsilon_observed,delta_raw,delta_log,hbond_donor_sites,hba,tpsa_A2,formal_charge,n_fragments,n_charged_fragments,max_abs_formal_charge,ionic_flag,zwitterion_flag,assoc_flag,n_ring,n_aromatic_ring,onsager_version
CQEYYJKEWSMYFG-UHFFFAOYSA-N,butyl 2-propenoate,C=CC(=O)OCCCC,298.15,2.595,8.0913483e-05,92.378126,13.689029,0.0339610723492,1.10546491878,1.70001983682,8.81943541722,5.31,-3.50943541722,-0.595674450549,0,2,26.3,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
CRVGTESFCCXCTH-UHFFFAOYSA-N,N-methyldiethanolamine,CN(CCO)CCO,300.65,2.783,7.5286395e-05,82.31282,12.197504,0.0325225144192,1.10084735274,2.08393264056,10.6262172267,22.12,11.4937827733,0.785730121554,2,3,43.7,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,CC(C)(C)O,298.15,1.829,5.2349265e-05,56.147722,8.3202358,0.0319047020966,1.09886847555,1.3053199732,6.90436439321,12.49,5.58563560679,0.665785286751,1,1,20.23,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
DNIAPMSPPWPWGF-UHFFFAOYSA-N,"1,2-propanediol",CC(O)CO,303.15,2.758,4.7618271e-05,49.395619,7.3196771,0.0308565913099,1.09551710624,3.20916689396,15.9608369814,27.87,11.9091630186,0.58557450369,2,2,40.46,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
DURPTKYDGMDSBL-UHFFFAOYSA-N,dibutyl ether,CCCCOCCCC,298.15,1.392,9.2962582e-05,103.4459,15.329104,0.0331007809905,1.10270185457,0.425765486664,2.81657790905,3.106,0.289422090954,0.147835952304,0,1,9.23,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
FRZPYEHDSAQGAS-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,298.15,8.625,0.00013952096,162.3657,24.060119,0.0346168832077,1.10757454509,10.8912797288,53.1539772418,12.9,-40.2539772418,-1.47766204384,0,3,66.01,0,2,2,1,1,0,0,1,1,onsager_lorentz_lorenz_reaction_field_v1
FXHOOIRPVKKKFG-UHFFFAOYSA-N,"N,N-dimethylethanamide",CC(=O)N(C)C,303.15,4.499,5.5996274e-05,62.519057,9.2643704,0.0332113422413,1.1030566773,7.26189990251,35.5309250609,37.72,2.18907493908,0.0614662646451,0,1,20.31,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
FYIRUPZTYPILDH-UHFFFAOYSA-N,"1,1,1,2,3,3-hexafluoropropane",FC(F)C(F)C(F)(F)F,302.85,2.818,5.6155258e-05,46.909128,6.9512171,0.0248484940505,1.07644502592,2.84379932739,14.0370858022,5.3105,-8.72658580216,-1.10674414343,0,0,0,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
GRYUVYIMDGRRLN-UHFFFAOYSA-N,"1-butyl-2,3,4,5-tetramethylimidazolium bis(trifluoromethylsulfonyl)imide",CCCCn1c(C)c(C)[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,6.342,0.00021740892,249.62067,36.989975,0.0341535873442,1.10608390805,3.77898595295,18.8149235057,15,-3.81492350572,-0.24097917562,0,4,91.19,0,2,2,1,1,0,0,1,1,onsager_lorentz_lorenz_reaction_field_v1
GSEJCLTVZPLZKY-UHFFFAOYSA-N,triethanolamine,OCCN(CCO)CCO,303.15,2.717,9.0442919e-05,98.596621,14.610515,0.032428032649,1.10054456023,1.63976687232,8.50333947546,28.11,19.6066605245,1.28455447867,3,4,63.93,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
