model,repeat,fold,seed,n_train,n_test,train_id_hash,test_id_hash,config,mae,rmse,r2
Tanimoto_GPR,1,0,42,80,20,b32ff11e179fb8d0176c54bf24ee3dd61b35f559b05f87b6fd167ec1447ea61c,6ad996ec07c007175bbe5cfb34939ab774a8288ec42c1526569432c4f6e8c9c7,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",17.36354587380099,38.2809919228399,-0.06371580851039749
RBF_GPR,1,0,42,80,20,b32ff11e179fb8d0176c54bf24ee3dd61b35f559b05f87b6fd167ec1447ea61c,6ad996ec07c007175bbe5cfb34939ab774a8288ec42c1526569432c4f6e8c9c7,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,16.91994387020949,36.8943419676597,0.011950309983762564
XGBoost,1,0,42,80,20,b32ff11e179fb8d0176c54bf24ee3dd61b35f559b05f87b6fd167ec1447ea61c,6ad996ec07c007175bbe5cfb34939ab774a8288ec42c1526569432c4f6e8c9c7,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",18.041033518676755,40.67960600911751,-0.20119281176455872
Tanimoto_GPR,1,1,42,80,20,56f53002f0be0a89086e3d3d0bdeae9196c58b1491325748a4a3219991898b6a,cc5b365867fa2a45fc5e4f8854c17b7c45d3067da1d5157e912678d57f66f195,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",14.652380668108918,21.14125289511207,0.14394386170220075
RBF_GPR,1,1,42,80,20,56f53002f0be0a89086e3d3d0bdeae9196c58b1491325748a4a3219991898b6a,cc5b365867fa2a45fc5e4f8854c17b7c45d3067da1d5157e912678d57f66f195,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,14.40684565400056,19.844830379735896,0.24571480174880156
XGBoost,1,1,42,80,20,56f53002f0be0a89086e3d3d0bdeae9196c58b1491325748a4a3219991898b6a,cc5b365867fa2a45fc5e4f8854c17b7c45d3067da1d5157e912678d57f66f195,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",12.803612976875305,19.6076643521514,0.2636360292464103
Tanimoto_GPR,1,2,42,80,20,4c2af19a050edd3d647d409b546db626ee8d7bfcb1a807705760b568d9595d58,7c144337ee6e58643acfb2a1eb04e6981f635e7b56431976673d8329ad3214a0,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",11.110292440367886,20.604660300430982,0.155745820164919
RBF_GPR,1,2,42,80,20,4c2af19a050edd3d647d409b546db626ee8d7bfcb1a807705760b568d9595d58,7c144337ee6e58643acfb2a1eb04e6981f635e7b56431976673d8329ad3214a0,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,11.10798441422823,20.526805390383064,0.16211381195012708
XGBoost,1,2,42,80,20,4c2af19a050edd3d647d409b546db626ee8d7bfcb1a807705760b568d9595d58,7c144337ee6e58643acfb2a1eb04e6981f635e7b56431976673d8329ad3214a0,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",9.861769979572296,18.196675857852387,0.34154451526902174
Tanimoto_GPR,1,3,42,80,20,d9a5a02866f847f57c319ebbf49a48a4d79391a9fe080f767027eef138cd1129,67458cc0eb31d5cab434dad38f76856cbea9c23ad006e15f626433d2894937b0,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",7.316485181669718,9.350663251918672,0.524531943997318
RBF_GPR,1,3,42,80,20,d9a5a02866f847f57c319ebbf49a48a4d79391a9fe080f767027eef138cd1129,67458cc0eb31d5cab434dad38f76856cbea9c23ad006e15f626433d2894937b0,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,7.830236207691843,10.424620040575961,0.40904150504759007
XGBoost,1,3,42,80,20,d9a5a02866f847f57c319ebbf49a48a4d79391a9fe080f767027eef138cd1129,67458cc0eb31d5cab434dad38f76856cbea9c23ad006e15f626433d2894937b0,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",8.494517908287047,12.708994861129012,0.12166756864388029
Tanimoto_GPR,1,4,42,80,20,7c181611eafed73bdae112501549fa4a63c8bdf509fe246462ce460911c23f2f,629780caf2783437d9cc0259cf88cb8e4d3e9a81fd22a853309c785b55bee608,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",4.8872899312969,7.696366384438904,0.6851567213254026
RBF_GPR,1,4,42,80,20,7c181611eafed73bdae112501549fa4a63c8bdf509fe246462ce460911c23f2f,629780caf2783437d9cc0259cf88cb8e4d3e9a81fd22a853309c785b55bee608,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,5.294157393294545,8.015606880390724,0.6584960140492615
XGBoost,1,4,42,80,20,7c181611eafed73bdae112501549fa4a63c8bdf509fe246462ce460911c23f2f,629780caf2783437d9cc0259cf88cb8e4d3e9a81fd22a853309c785b55bee608,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",4.639133437347413,7.926191233066105,0.6660726040789922
Tanimoto_GPR,2,0,42,80,20,6e0bfd6f61bcd93edc1dd1e9778349ddec1f1acbf091d51bd167bad2e0fe9a93,0be682139add5d1ee01b1da8aebf14ef36bbbae2f7a7f3249cc5ab761beac09a,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",9.325767282625048,14.815468559055144,-0.1674844587580231
RBF_GPR,2,0,42,80,20,6e0bfd6f61bcd93edc1dd1e9778349ddec1f1acbf091d51bd167bad2e0fe9a93,0be682139add5d1ee01b1da8aebf14ef36bbbae2f7a7f3249cc5ab761beac09a,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,9.217810747740707,13.065874021000683,0.09197614396177423
XGBoost,2,0,42,80,20,6e0bfd6f61bcd93edc1dd1e9778349ddec1f1acbf091d51bd167bad2e0fe9a93,0be682139add5d1ee01b1da8aebf14ef36bbbae2f7a7f3249cc5ab761beac09a,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",7.788709312057496,11.09459061432263,0.34529917396487075
Tanimoto_GPR,2,1,42,80,20,10ac221ac45ff0cbdee455e9fc97cdb1714242ea4bd8209e904f6d501e1310f8,f5dc0231425e70dcd91a4073d2a3a233d3beb5ee18991ec85b8b0db84b54a994,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",12.282058812396048,19.16607145100759,0.3906218376325894
RBF_GPR,2,1,42,80,20,10ac221ac45ff0cbdee455e9fc97cdb1714242ea4bd8209e904f6d501e1310f8,f5dc0231425e70dcd91a4073d2a3a233d3beb5ee18991ec85b8b0db84b54a994,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,13.046454701435199,20.114484560566954,0.32882078731089215
XGBoost,2,1,42,80,20,10ac221ac45ff0cbdee455e9fc97cdb1714242ea4bd8209e904f6d501e1310f8,f5dc0231425e70dcd91a4073d2a3a233d3beb5ee18991ec85b8b0db84b54a994,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",11.8926457196331,19.79332191632597,0.3500827603734088
Tanimoto_GPR,2,2,42,80,20,95eb814869c8df164495cc173c5b6a7005ccb4ddb4c23e28fe06830304e4adce,847bb909f86a019ce303b07307aa397c2999d3fa39c3079430d31ee0bf5a120b,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",12.109222134903499,21.983211204367443,0.034912889563859184
RBF_GPR,2,2,42,80,20,95eb814869c8df164495cc173c5b6a7005ccb4ddb4c23e28fe06830304e4adce,847bb909f86a019ce303b07307aa397c2999d3fa39c3079430d31ee0bf5a120b,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,12.71142258709504,22.547501623374277,-0.015268949597848636
XGBoost,2,2,42,80,20,95eb814869c8df164495cc173c5b6a7005ccb4ddb4c23e28fe06830304e4adce,847bb909f86a019ce303b07307aa397c2999d3fa39c3079430d31ee0bf5a120b,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",13.618645351867679,23.787704031527554,-0.13002825625063297
Tanimoto_GPR,2,3,42,80,20,502915fc474268c26588d221cb1382864d37c1ea95efd164d51354a6dbf17238,4b1d44246192a79b8635395191085a8ca1ac7cc69a68c460dd9d1dc6c8e629e9,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",6.926797253672481,9.863686591817192,-0.048892651447111746
RBF_GPR,2,3,42,80,20,502915fc474268c26588d221cb1382864d37c1ea95efd164d51354a6dbf17238,4b1d44246192a79b8635395191085a8ca1ac7cc69a68c460dd9d1dc6c8e629e9,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,6.081547458653421,8.695309097224387,0.18487809709682734
XGBoost,2,3,42,80,20,502915fc474268c26588d221cb1382864d37c1ea95efd164d51354a6dbf17238,4b1d44246192a79b8635395191085a8ca1ac7cc69a68c460dd9d1dc6c8e629e9,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",6.9180808319091796,10.010806023309183,-0.08041500253635525
Tanimoto_GPR,2,4,42,80,20,f6ed29b767bc3f7063517607c574bd9d6b1ef5776e0df80c1785c8e7d758258a,75e294582da6d3f7ae50be6984ad24fa0cf5268f2abc91f795f2e160518b94c7,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",14.307229788987664,36.505409312827894,0.044653497238901996
