representation,repeat,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60
Morgan,0,7.671781853423685,16.82643787512305,0.21831840812486802,0.7292144844319467,0.8774401698930001,0.8232230392156863,4.360331539686434,11.093266839615842,70.79666224615914
Morgan,1,7.7403993293697555,16.82735139941232,0.21823352925625084,0.7005387750770212,0.8727844482561463,0.8144914215686274,4.4612776314326705,10.498899874017594,74.47620267595563
Morgan,2,7.5543875311172615,16.398360928010547,0.2575855880475567,0.7277350298410239,0.8795229927305399,0.85546875,4.442297470111637,10.518533066526373,68.56660909380231
Morgan,3,7.492506902531447,16.392363803328255,0.2581285127542745,0.7495873857042408,0.8973699256718124,0.8471966911764706,4.168536902289337,11.166586613594218,69.2469059916905
Morgan,4,7.0538848156104645,15.72269574739727,0.31750490781390195,0.75499294382669,0.9044351874540554,0.8707873774509803,4.149014866847782,9.601380338303587,65.47589068821499
Morgan,5,7.443397891374362,16.248918947551093,0.2710555115280713,0.7402828525421309,0.8892019929755779,0.8612898284313726,4.2822251624935275,10.635650608630892,68.20019202641079
Morgan,6,7.844123592383175,17.05494638169614,0.19694326509554594,0.7165756726836275,0.87082414440905,0.8337162990196079,4.376001960071102,11.11340595545667,76.06439016614641
Morgan,7,7.985835791933739,17.20333440757372,0.1829083453478394,0.6823270232883135,0.8565302621906395,0.7983302696078431,4.6562828626402135,10.98262936831535,74.43288365500314
Morgan,8,7.703906675571508,16.83655701419693,0.21737794487854012,0.7150934491349368,0.8771951319121131,0.8303462009803921,4.343705822250869,10.708326513249823,74.89659566606794
Morgan,9,7.633634951234269,16.328264067820587,0.2639191102492041,0.7062406319749999,0.882871845135996,0.8318780637254902,4.593171767704303,10.394682893793634,68.14721296582903
Physical,0,7.158959012746811,15.338295755923406,0.35046923348429726,0.7987975739762253,0.891121457159193,0.9229473039215687,4.2544751015809865,11.350314586071258,54.5335818535941
Physical,1,7.380059274169146,16.169946935976878,0.2781238368555966,0.7899628672896515,0.8874867271093687,0.9258578431372549,4.496459269246951,10.707756489327613,60.010549528939386
Physical,2,6.683146002779976,14.381888015777138,0.42894581643520535,0.8195961973860533,0.9089683901004655,0.9535845588235294,4.15883421325998,9.084348403078444,56.192893556867325
Physical,3,7.1158077157820685,15.475546803100972,0.3387928852781732,0.8026650464638815,0.8981458792779549,0.9318321078431372,4.598988367251511,10.357712033900809,50.786038927350724
Physical,4,7.225296710527549,15.721704343464202,0.3175909753683419,0.8068104319616036,0.9020256473086661,0.9489889705882353,4.353887278158586,11.0331239147795,56.315102152143204
Physical,5,6.6935047593407715,14.17391280292408,0.44534232700797327,0.804221111960674,0.904802744425386,0.9514399509803921,4.407347990650135,8.727150147052523,52.47910457066127
Physical,6,7.261990153808108,15.657132058039043,0.32318505320156,0.8014530807330503,0.8875275667728497,0.9178921568627451,4.036473612007728,11.91581150446547,59.878334029061456
Physical,7,7.338949943566726,15.740806325798644,0.3159317043530634,0.7708290442909943,0.8906313811974189,0.9428615196078431,4.748055272128556,10.024619077053476,56.669861504690985
Physical,8,7.394994265510269,16.237533327655942,0.2720766966508543,0.8095111257906299,0.8983092379318793,0.9367340686274509,4.349371352607602,11.34110651933386,60.08586486816406
Physical,9,6.723489638507165,15.321634952499123,0.3518795371061759,0.817213344877477,0.9063954913011516,0.9405637254901961,3.895244100838965,9.932406398549992,58.71228965759277
Morgan+Physical,0,6.8092818729820905,15.27151348849864,0.35611297734755865,0.8283096870867431,0.9091725884178714,0.9188112745098038,3.8940932706141216,9.778929651382121,62.66512187957763
Morgan+Physical,1,6.796211384585752,15.657789131793187,0.323128245011158,0.8149684809229853,0.9054153393776035,0.9200367647058822,4.107578229304723,8.204745017761882,67.2433761705671
Morgan+Physical,2,6.521406511499114,14.72621901718387,0.4012741317230476,0.8410684194578176,0.9214244874622234,0.9517463235294117,3.847037201973632,8.55814699116159,62.37975105285644
Morgan+Physical,3,6.600824881277245,14.869509759130313,0.38956586298914453,0.8352074286536945,0.9170954831332191,0.9321384803921569,4.026510691567306,8.613923796227638,60.016472527640204
Morgan+Physical,4,6.355898730858302,14.70192531504905,0.4032479269372792,0.848571649654002,0.9266519643878135,0.9496017156862745,3.8149687727393684,8.072325711189434,60.89549648829869
Morgan+Physical,5,6.446915742654315,14.473464341408103,0.42165031566009226,0.8342364870594433,0.9210977701543739,0.9537377450980392,3.9416570021325414,8.121553301547436,60.339647957938055
Morgan+Physical,6,6.8409718180009875,15.679712848530686,0.32123143397190657,0.8248055263931392,0.9049252634158296,0.9224877450980392,3.72454208845411,9.80432247178098,67.97136182512556
Morgan+Physical,7,6.988240346801887,15.661249627105446,0.322829023920605,0.7969097855258669,0.9026382422608837,0.9276960784313725,4.317149029331417,8.609446513967312,65.5513731929234
Morgan+Physical,8,7.030695722942028,15.665196661972367,0.32248765214935704,0.8285568341296998,0.9102344196683818,0.9252450980392157,3.9802310066726188,9.838373116675845,67.49123013087681
Morgan+Physical,9,6.471282936078411,15.055502814733781,0.3741993055798636,0.8292512246472116,0.9203626562117129,0.9315257352941178,3.816713689550463,8.26750250942149,63.42975192478725
