model,seed,repeat,fold,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
SizeOnlyRidge,42,6,4,80,20,c2459cc9b2b1763c009c0985b6ec6ce78f33feebce97693f0cf716860d8864f9,15f895e750701b040ea91c7416342a356be2c8e5d63506d553ec0341a1729172,15.565628973994432,20.02088519957671,-0.11413041837689342
MorganRBFGPR,42,6,4,80,20,c2459cc9b2b1763c009c0985b6ec6ce78f33feebce97693f0cf716860d8864f9,15f895e750701b040ea91c7416342a356be2c8e5d63506d553ec0341a1729172,12.844945053456692,16.497624770275646,0.24349409196311111
DummyMean,42,7,0,80,20,02bab1123e81cbd1608e8ebcb72e59a690ec4230044607f3fabd63ff17b8277b,91013776d4a7c8c568ac30ee291fd3f0c03d694a7c38adb62265adfc62916357,11.011313500000004,12.879092472517536,-1.2920677483323648
SizeOnlyRidge,42,7,0,80,20,02bab1123e81cbd1608e8ebcb72e59a690ec4230044607f3fabd63ff17b8277b,91013776d4a7c8c568ac30ee291fd3f0c03d694a7c38adb62265adfc62916357,11.050029301179473,13.668487551522952,-1.5816528938473744
MorganRBFGPR,42,7,0,80,20,02bab1123e81cbd1608e8ebcb72e59a690ec4230044607f3fabd63ff17b8277b,91013776d4a7c8c568ac30ee291fd3f0c03d694a7c38adb62265adfc62916357,10.14892977968977,13.84992329528611,-1.650645591593345
DummyMean,42,7,1,80,20,0249b501d4070adb3d2e36d4e97bff251099008039f38fd88d8f7401ed7e7250,e35c4fb96419dfc72a6ab53cba4fe4db51511920acdeba76689814c39a78206d,9.609093125000001,10.574667353393014,-0.8451979898283286
SizeOnlyRidge,42,7,1,80,20,0249b501d4070adb3d2e36d4e97bff251099008039f38fd88d8f7401ed7e7250,e35c4fb96419dfc72a6ab53cba4fe4db51511920acdeba76689814c39a78206d,7.620540800121428,9.324077281344014,-0.4345684402098138
MorganRBFGPR,42,7,1,80,20,0249b501d4070adb3d2e36d4e97bff251099008039f38fd88d8f7401ed7e7250,e35c4fb96419dfc72a6ab53cba4fe4db51511920acdeba76689814c39a78206d,5.515676241793909,7.035455395880564,0.18324091970601886
DummyMean,42,7,2,80,20,13de3a79cf4d3455572c03b40bb230003d239190fb3273b76e80fe5491f370c1,74bc02f801a0017638c4436b8033ad5e8ccdc8ad5f9560d452b7b3af35f3e5b4,18.371732937500003,28.307983480705474,-0.07367136732249313
SizeOnlyRidge,42,7,2,80,20,13de3a79cf4d3455572c03b40bb230003d239190fb3273b76e80fe5491f370c1,74bc02f801a0017638c4436b8033ad5e8ccdc8ad5f9560d452b7b3af35f3e5b4,18.322131528096136,27.68867382820995,-0.027206633218513465
MorganRBFGPR,42,7,2,80,20,13de3a79cf4d3455572c03b40bb230003d239190fb3273b76e80fe5491f370c1,74bc02f801a0017638c4436b8033ad5e8ccdc8ad5f9560d452b7b3af35f3e5b4,14.200496288424421,24.103632257835073,0.2215719264469067
DummyMean,42,7,3,80,20,89f677fedc6a32b65f5315e73cf4d64b746c2afbe67a7974d7ee5508a18d87c5,cb07b9c76a481fe8258771ef65945e90d3c646560ba483accf19e4a76ccffdca,16.969544437500005,20.87098557649928,-0.0007993685090241787
SizeOnlyRidge,42,7,3,80,20,89f677fedc6a32b65f5315e73cf4d64b746c2afbe67a7974d7ee5508a18d87c5,cb07b9c76a481fe8258771ef65945e90d3c646560ba483accf19e4a76ccffdca,17.54216606083796,20.730575659573624,0.01262112599120413
MorganRBFGPR,42,7,3,80,20,89f677fedc6a32b65f5315e73cf4d64b746c2afbe67a7974d7ee5508a18d87c5,cb07b9c76a481fe8258771ef65945e90d3c646560ba483accf19e4a76ccffdca,11.35277237162898,20.556298998869515,0.029152629188793355
DummyMean,42,7,4,80,20,aa5e0b438fb3a386d58d89bfd9828adbe8a377a915d4fed8d2af35f073a5cdd9,a28edc7d33f9c35f33431c77f455eb679906cc49d0bd492962773323f81d1b64,19.5325054375,37.617477640901676,-0.05819393942890816
SizeOnlyRidge,42,7,4,80,20,aa5e0b438fb3a386d58d89bfd9828adbe8a377a915d4fed8d2af35f073a5cdd9,a28edc7d33f9c35f33431c77f455eb679906cc49d0bd492962773323f81d1b64,18.584950111723323,36.782263353371455,-0.01172580196212425
MorganRBFGPR,42,7,4,80,20,aa5e0b438fb3a386d58d89bfd9828adbe8a377a915d4fed8d2af35f073a5cdd9,a28edc7d33f9c35f33431c77f455eb679906cc49d0bd492962773323f81d1b64,15.974855207931665,36.03285402308645,0.029080437765709344
DummyMean,42,8,0,80,20,e3f9acdfc59547ee5b403cef9817febee48b53417d9449945ad369bc871ceea8,dfe037ec8c6ced4005e21dc6cf3bbb8631a76ce0ab2a2580834aa7dbdd4f110d,17.040995875,25.79463045821602,-0.048749364421061925
SizeOnlyRidge,42,8,0,80,20,e3f9acdfc59547ee5b403cef9817febee48b53417d9449945ad369bc871ceea8,dfe037ec8c6ced4005e21dc6cf3bbb8631a76ce0ab2a2580834aa7dbdd4f110d,16.419259293453155,24.515066195259045,0.05271811933867998
MorganRBFGPR,42,8,0,80,20,e3f9acdfc59547ee5b403cef9817febee48b53417d9449945ad369bc871ceea8,dfe037ec8c6ced4005e21dc6cf3bbb8631a76ce0ab2a2580834aa7dbdd4f110d,15.411498217496112,29.243149606624478,-0.34791151050580704
DummyMean,42,8,1,80,20,78217f64b05a5730aba51018f5c0d351161e497a1c213f9fcd5b46159f353990,17f77401178f57bac90e64a0c451a2b5232805e5e2de17ce3adde93db6efe3a9,11.9215978125,17.39178961268022,-0.03928340859637891
SizeOnlyRidge,42,8,1,80,20,78217f64b05a5730aba51018f5c0d351161e497a1c213f9fcd5b46159f353990,17f77401178f57bac90e64a0c451a2b5232805e5e2de17ce3adde93db6efe3a9,12.677951073263841,18.1513664118055,-0.13204605431583083
MorganRBFGPR,42,8,1,80,20,78217f64b05a5730aba51018f5c0d351161e497a1c213f9fcd5b46159f353990,17f77401178f57bac90e64a0c451a2b5232805e5e2de17ce3adde93db6efe3a9,7.919366042960592,11.353922618603258,0.557067744522857
DummyMean,42,8,2,80,20,336f69ff3e7cc00bbc296c3b849b3eedbd907fa37b8f36e8ab2ef956c49305c3,146e832500f9a92e8f061e2c08d3a2c9772105ca5990cc5e59cd446f567526a7,11.680949437500002,14.18511225983526,-0.018799252085074825
SizeOnlyRidge,42,8,2,80,20,336f69ff3e7cc00bbc296c3b849b3eedbd907fa37b8f36e8ab2ef956c49305c3,146e832500f9a92e8f061e2c08d3a2c9772105ca5990cc5e59cd446f567526a7,10.765898698025122,14.665117311287284,-0.08891541547362913
MorganRBFGPR,42,8,2,80,20,336f69ff3e7cc00bbc296c3b849b3eedbd907fa37b8f36e8ab2ef956c49305c3,146e832500f9a92e8f061e2c08d3a2c9772105ca5990cc5e59cd446f567526a7,6.13521551473959,8.787199772525236,0.6090474382813171
DummyMean,42,8,3,80,20,6bf52265028040e7455630f2bfd8c8d0595ba4943efb81d4bc27feedf8010016,1fe332bd1bb3d715e294fcb93cad7c7eb815ed132aade7f8cd6eb03266a552ac,12.435062125000002,14.944333424160739,-0.049473223342353156
SizeOnlyRidge,42,8,3,80,20,6bf52265028040e7455630f2bfd8c8d0595ba4943efb81d4bc27feedf8010016,1fe332bd1bb3d715e294fcb93cad7c7eb815ed132aade7f8cd6eb03266a552ac,12.418237284326505,15.077000830017255,-0.06818919988575733
MorganRBFGPR,42,8,3,80,20,6bf52265028040e7455630f2bfd8c8d0595ba4943efb81d4bc27feedf8010016,1fe332bd1bb3d715e294fcb93cad7c7eb815ed132aade7f8cd6eb03266a552ac,6.807122906022312,8.681116711468539,0.6458645074686935
DummyMean,42,8,4,80,20,7943de51a41d1d9dbe2b3d4f368fad6b067bdb2d515b7dc4b1ed969f4f8a9010,28bbb95c74e3bd525dcab6052f9bd7fb43a86a1fd8480c3b02d29bb5247982c6,20.571543999999996,38.221513131740444,-0.006163854621269005
SizeOnlyRidge,42,8,4,80,20,7943de51a41d1d9dbe2b3d4f368fad6b067bdb2d515b7dc4b1ed969f4f8a9010,28bbb95c74e3bd525dcab6052f9bd7fb43a86a1fd8480c3b02d29bb5247982c6,20.216223102305996,37.58792305398367,0.02691759969244134
MorganRBFGPR,42,8,4,80,20,7943de51a41d1d9dbe2b3d4f368fad6b067bdb2d515b7dc4b1ed969f4f8a9010,28bbb95c74e3bd525dcab6052f9bd7fb43a86a1fd8480c3b02d29bb5247982c6,18.48002777430201,36.201016966269485,0.09740172030128669
DummyMean,42,9,0,80,20,491acfa2c3f13f17d6d8d3030763bf1b64476c4b89e4c22987973d7122a6a1ff,2bfbf461d0f9f08d4a572769cffeb194c8a5f54d50226ae843ae353ddf334cce,13.598563375000001,16.664559746826036,-0.002644772569065479
SizeOnlyRidge,42,9,0,80,20,491acfa2c3f13f17d6d8d3030763bf1b64476c4b89e4c22987973d7122a6a1ff,2bfbf461d0f9f08d4a572769cffeb194c8a5f54d50226ae843ae353ddf334cce,13.095157515083937,16.559448642767897,0.009963628932781798
MorganRBFGPR,42,9,0,80,20,491acfa2c3f13f17d6d8d3030763bf1b64476c4b89e4c22987973d7122a6a1ff,2bfbf461d0f9f08d4a572769cffeb194c8a5f54d50226ae843ae353ddf334cce,9.84991215107706,13.626028215936715,0.3296556206778086
DummyMean,42,9,1,80,20,ed224a69496016f25e81f3e7fb1a34c776fa5fd1f787001c8e91fa5496d80d00,200f860b000a98973bcb8e47033c6561e068e10651d10dd17ba6dda0be047ffb,13.329388374999999,14.826220189532302,-3.0049935629391538
SizeOnlyRidge,42,9,1,80,20,ed224a69496016f25e81f3e7fb1a34c776fa5fd1f787001c8e91fa5496d80d00,200f860b000a98973bcb8e47033c6561e068e10651d10dd17ba6dda0be047ffb,15.364617556451687,17.244839273449777,-4.418252411622676
MorganRBFGPR,42,9,1,80,20,ed224a69496016f25e81f3e7fb1a34c776fa5fd1f787001c8e91fa5496d80d00,200f860b000a98973bcb8e47033c6561e068e10651d10dd17ba6dda0be047ffb,12.476781406036082,16.29225049053482,-3.836187033807512
DummyMean,42,9,2,80,20,ea2fda1085ca64144c1150fdc961750d07eb1cb245ceaf992076e89b740b5695,00e95a4a7ddb256f2499ba05507bc5a9bbc33e13ba5ec0c24612271c3233186e,12.0239956875,17.536715196182527,-0.014017057054218407
SizeOnlyRidge,42,9,2,80,20,ea2fda1085ca64144c1150fdc961750d07eb1cb245ceaf992076e89b740b5695,00e95a4a7ddb256f2499ba05507bc5a9bbc33e13ba5ec0c24612271c3233186e,10.245508986316889,16.951262484495786,0.0525575042492763
MorganRBFGPR,42,9,2,80,20,ea2fda1085ca64144c1150fdc961750d07eb1cb245ceaf992076e89b740b5695,00e95a4a7ddb256f2499ba05507bc5a9bbc33e13ba5ec0c24612271c3233186e,6.12820473945577,8.985448529636512,0.7337875978639372
DummyMean,42,9,3,80,20,048f13239585b85bcfc0bcd5ada4015802519957a837c2720546c9cecd38b025,c68035aebd3a0d855d1dc9dc89949a0bf203ab9d4e22cb15eabd3d0201942434,13.042850000000001,17.71808781224237,-0.036796824599068634
SizeOnlyRidge,42,9,3,80,20,048f13239585b85bcfc0bcd5ada4015802519957a837c2720546c9cecd38b025,c68035aebd3a0d855d1dc9dc89949a0bf203ab9d4e22cb15eabd3d0201942434,12.595413812579249,16.302135930458583,0.12229417823876898
MorganRBFGPR,42,9,3,80,20,048f13239585b85bcfc0bcd5ada4015802519957a837c2720546c9cecd38b025,c68035aebd3a0d855d1dc9dc89949a0bf203ab9d4e22cb15eabd3d0201942434,13.594950902583378,23.783174834410413,-0.8680978294277157
DummyMean,42,9,4,80,20,3ee7e13111805d9cef94f71ef20c6a7a99d25e5e2ec3d469e148e222e131c154,149318cbef43f6eba00680fc8d6691c3cd96889f4663eb3adf8ade2cb84e9fe3,23.308610124999998,42.62816158197258,-0.06738357492224023
SizeOnlyRidge,42,9,4,80,20,3ee7e13111805d9cef94f71ef20c6a7a99d25e5e2ec3d469e148e222e131c154,149318cbef43f6eba00680fc8d6691c3cd96889f4663eb3adf8ade2cb84e9fe3,22.48456073643387,41.88850853336223,-0.030663992103577398
MorganRBFGPR,42,9,4,80,20,3ee7e13111805d9cef94f71ef20c6a7a99d25e5e2ec3d469e148e222e131c154,149318cbef43f6eba00680fc8d6691c3cd96889f4663eb3adf8ade2cb84e9fe3,19.932083050861188,41.13942901729429,0.005868515231652438
