model,seed,repeat,fold,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
DummyMean,42,1,3,80,20,d9a5a02866f847f57c319ebbf49a48a4d79391a9fe080f767027eef138cd1129,67458cc0eb31d5cab434dad38f76856cbea9c23ad006e15f626433d2894937b0,11.3990113125,13.82964374962531,-0.040060245146819495
SizeOnlyRidge,42,1,3,80,20,d9a5a02866f847f57c319ebbf49a48a4d79391a9fe080f767027eef138cd1129,67458cc0eb31d5cab434dad38f76856cbea9c23ad006e15f626433d2894937b0,12.0822780560629,14.525445153564203,-0.1473486589754065
MorganRBFGPR,42,1,3,80,20,d9a5a02866f847f57c319ebbf49a48a4d79391a9fe080f767027eef138cd1129,67458cc0eb31d5cab434dad38f76856cbea9c23ad006e15f626433d2894937b0,7.830236207691843,10.424620040575961,0.40904150504759007
DummyMean,42,1,4,80,20,7c181611eafed73bdae112501549fa4a63c8bdf509fe246462ce460911c23f2f,629780caf2783437d9cc0259cf88cb8e4d3e9a81fd22a853309c785b55bee608,11.92966425,14.26298916893893,-0.08129467207578944
SizeOnlyRidge,42,1,4,80,20,7c181611eafed73bdae112501549fa4a63c8bdf509fe246462ce460911c23f2f,629780caf2783437d9cc0259cf88cb8e4d3e9a81fd22a853309c785b55bee608,12.89590675879258,16.07078257986847,-0.37276756531548916
MorganRBFGPR,42,1,4,80,20,7c181611eafed73bdae112501549fa4a63c8bdf509fe246462ce460911c23f2f,629780caf2783437d9cc0259cf88cb8e4d3e9a81fd22a853309c785b55bee608,5.294157393294545,8.015606880390724,0.6584960140492615
DummyMean,42,2,0,80,20,6e0bfd6f61bcd93edc1dd1e9778349ddec1f1acbf091d51bd167bad2e0fe9a93,0be682139add5d1ee01b1da8aebf14ef36bbbae2f7a7f3249cc5ab761beac09a,11.0373238125,13.723127558926997,-0.0016742882609206422
SizeOnlyRidge,42,2,0,80,20,6e0bfd6f61bcd93edc1dd1e9778349ddec1f1acbf091d51bd167bad2e0fe9a93,0be682139add5d1ee01b1da8aebf14ef36bbbae2f7a7f3249cc5ab761beac09a,10.871904793906317,14.691423487281506,-0.1480163704204609
MorganRBFGPR,42,2,0,80,20,6e0bfd6f61bcd93edc1dd1e9778349ddec1f1acbf091d51bd167bad2e0fe9a93,0be682139add5d1ee01b1da8aebf14ef36bbbae2f7a7f3249cc5ab761beac09a,9.217810747740707,13.065874021000683,0.09197614396177423
DummyMean,42,2,1,80,20,10ac221ac45ff0cbdee455e9fc97cdb1714242ea4bd8209e904f6d501e1310f8,f5dc0231425e70dcd91a4073d2a3a233d3beb5ee18991ec85b8b0db84b54a994,18.997557187499996,24.555582636510845,-0.0002790374108343485
SizeOnlyRidge,42,2,1,80,20,10ac221ac45ff0cbdee455e9fc97cdb1714242ea4bd8209e904f6d501e1310f8,f5dc0231425e70dcd91a4073d2a3a233d3beb5ee18991ec85b8b0db84b54a994,19.26491860253753,24.10348648379952,0.03621444336555779
MorganRBFGPR,42,2,1,80,20,10ac221ac45ff0cbdee455e9fc97cdb1714242ea4bd8209e904f6d501e1310f8,f5dc0231425e70dcd91a4073d2a3a233d3beb5ee18991ec85b8b0db84b54a994,13.046454701435199,20.114484560566954,0.32882078731089215
DummyMean,42,2,2,80,20,95eb814869c8df164495cc173c5b6a7005ccb4ddb4c23e28fe06830304e4adce,847bb909f86a019ce303b07307aa397c2999d3fa39c3079430d31ee0bf5a120b,14.799995,23.588389709630796,-0.11117084787588882
SizeOnlyRidge,42,2,2,80,20,95eb814869c8df164495cc173c5b6a7005ccb4ddb4c23e28fe06830304e4adce,847bb909f86a019ce303b07307aa397c2999d3fa39c3079430d31ee0bf5a120b,13.980550318772263,22.285769561531733,0.00816479026117134
MorganRBFGPR,42,2,2,80,20,95eb814869c8df164495cc173c5b6a7005ccb4ddb4c23e28fe06830304e4adce,847bb909f86a019ce303b07307aa397c2999d3fa39c3079430d31ee0bf5a120b,12.71142258709504,22.547501623374277,-0.015268949597848636
DummyMean,42,2,3,80,20,502915fc474268c26588d221cb1382864d37c1ea95efd164d51354a6dbf17238,4b1d44246192a79b8635395191085a8ca1ac7cc69a68c460dd9d1dc6c8e629e9,9.0451738125,9.915641581698415,-0.05997141553151453
